sigma,L,Gamma,R_xi,energy,variance,relative_variance,discarded_weight,sweeps,quality_flags
1.7,32,1.3,1.0188474964660181,-51.821484076653846,9.242921805707738e-08,3.4418313530537965e-11,1.9253893981061397e-09,17,
1.7,32,1.35,0.9004400591495885,-52.737198699076274,1.4501392797683366e-07,5.214054929091783e-11,2.811538211273374e-09,17,
1.7,32,1.4,0.7784451040339122,-53.6999512771448,2.132014742528554e-07,7.393369645679266e-11,3.893169926142888e-09,17,
1.7,32,1.45,0.6529845714747259,-54.71424850631491,2.895840225392021e-07,9.673279116696047e-11,5.070381824606781e-09,17,
1.7,32,1.5,0.5296846951936407,-55.78581477927693,3.651080078270752e-07,1.1732047083535227e-10,5.965064362403404e-09,17,relative_variance
1.7,32,1.55,0.4193955681307208,-56.91947808998284,4.048911250720266e-07,1.2497307011057876e-10,6.1291645805529575e-09,17,relative_variance
1.7,32,1.6,0.3312052360739416,-58.1151378063664,3.852619556710124e-07,1.1407161255901471e-10,5.579071458886476e-09,17,relative_variance
1.7,32,1.65,0.26631256912396484,-59.366018549362344,3.180948624503799e-07,9.025698209170951e-11,4.651440194486756e-09,17,
1.7,32,1.7,0.22009985379301333,-60.66189942057615,2.4361361283808947e-07,6.62017611791179e-11,3.560864499946549e-09,17,
1.7,32,1.75,0.18698415748457353,-61.99318769059511,1.7582760847290047e-07,4.575084633087599e-11,2.6854662927237213e-09,18,
1.7,32,1.8,0.16265828205424132,-63.35249773978913,1.2417058314895257e-07,3.093792886555052e-11,2.0084176423414404e-09,17,
1.7,32,1.85,0.14425020705033945,-64.73449161781375,8.869665180100128e-08,2.1165851395418343e-11,1.5784302032511908e-09,17,
1.7,32,1.9,0.12991760714636091,-66.13530523241157,7.290236681001261e-08,1.6667670392195388e-11,1.2666668774239996e-09,15,
1.7,64,1.2,1.7549694173303374,-100.24280361023207,2.7946043701376766e-07,2.7810828355983237e-11,2.4456754916521764e-09,17,
1.7,64,1.25,1.5870409847048024,-101.90205578789227,5.431666068034247e-07,5.2307886290953044e-11,4.063005549976967e-09,18,
1.7,64,1.3,1.4225857599958394,-103.64406884850142,1.0136918717762455e-06,9.4366327965235e-11,7.04144433087018e-09,31,sweep_cap_reached
1.7,64,1.35,1.2591872315692525,-105.47209090514671,1.9581857486627996e-06,1.7602679198329327e-10,1.2267429967779143e-08,31,relative_variance;discarded_weight;sweep_cap_reached
1.7,64,1.4,1.093183927630869,-107.39024259054243,3.4447039070073515e-06,2.986910783299726e-10,2.2315954165644405e-08,22,relative_variance;discarded_weight
1.7,64,1.45,0.9175730806924618,-109.4042463633068,6.244332325877622e-06,5.216961727686677e-10,3.996844460476604e-08,23,relative_variance;discarded_weight
1.7,64,1.5,0.720986467615631,-111.52347671585791,1.1525537047418766e-05,9.26677399136173e-10,6.47095195021535e-08,19,relative_variance;discarded_weight
1.7,64,1.55,0.5068175097614468,-113.76484842398364,1.7349684640066698e-05,1.3405264889920192e-09,9.245911535582692e-08,24,relative_variance;discarded_weight
1.7,64,1.6,0.3283101770515048,-116.14681728153846,1.7161642972496338e-05,1.272167321954806e-09,8.998063872072136e-08,19,relative_variance;discarded_weight
1.7,64,1.65,0.22179127445467361,-118.65885588507078,1.1431919119786471e-05,8.119304518170259e-10,6.492347627288811e-08,19,relative_variance;discarded_weight
1.7,64,1.7,0.16406006786590585,-121.2662264376021,6.870517609058879e-06,4.672074186929432e-10,4.347183864573125e-08,19,relative_variance;discarded_weight
1.7,64,1.75,0.13040412935108373,-123.94191581376852,4.47185811935924e-06,2.9110630125138406e-10,2.995087519426829e-08,31,relative_variance;discarded_weight;sweep_cap_reached
1.7,64,1.8,0.10882884314187473,-126.67006509474142,2.7089026843896136e-06,1.6882836557858027e-10,2.0947705790093896e-08,19,relative_variance;discarded_weight
1.7,64,1.85,0.0939031679260959,-129.44077186935178,1.688582415226847e-06,1.0078132740430616e-10,1.4605897942405582e-08,19,relative_variance;discarded_weight
1.7,64,1.9,0.08297305747042923,-132.24718143336653,1.144435373134911e-06,6.543625307532905e-11,1.051248084775758e-08,19,discarded_weight
1.75,32,1.2,1.2079204864490694,-49.793230874766294,3.89709384762682e-08,1.5718107361425493e-11,9.457041540903172e-10,17,
1.75,32,1.25,1.0868464397840123,-50.63690437643516,6.393065632437356e-08,2.4933018970174862e-11,1.5362104786309392e-09,17,
1.75,32,1.3,0.9657247670129748,-51.52394446958698,1.0325584298698232e-07,3.889523767586447e-11,2.3628379350049805e-09,17,
1.75,32,1.35,0.8417611131750979,-52.45703357966571,1.6131753000081517e-07,5.86238191813303e-11,3.3979818865931626e-09,17,
1.75,32,1.4,0.7134279054146504,-53.440130204871934,2.413621587038506e-07,8.451507208459134e-11,4.6130394051417355e-09,17,
1.75,32,1.45,0.5837620729463394,-54.47875249748722,2.9874172469135374e-07,1.0065644216217799e-10,5.7254366387842095e-09,18,relative_variance
1.75,32,1.5,0.46262427765463243,-55.57887049856334,3.59204932465218e-07,1.1628477541360597e-10,6.235582892742193e-09,18,relative_variance
1.75,32,1.55,0.3618754039451642,-56.74317435103639,3.663844836410135e-07,1.1379149880906443e-10,5.937403050680225e-09,18,relative_variance
1.75,32,1.6,0.28640866083167793,-57.96737399694512,3.1345234674517997e-07,9.328337968295434e-11,5.057321822043362e-09,18,
1.75,32,1.65,0.23286503014802856,-59.24167659699542,2.4897190087358467e-07,7.094072999716599e-11,3.873877340862544e-09,17,
1.75,32,1.7,0.19506845018784952,-60.555552860708346,1.779631020326633e-07,4.85313106561445e-11,2.9718774803250557e-09,17,
1.75,32,1.75,0.16779454264583174,-61.90051640847223,1.2518376024672762e-07,3.2670775875047716e-11,2.2280099708815794e-09,17,
1.75,32,1.8,0.14749668977559086,-63.27040284120394,8.83869688550476e-08,2.207938850058242e-11,1.754770001058741e-09,17,
1.75,32,1.85,0.13191797715168455,-64.66079369681383,6.343998393276706e-08,1.51733334485472e-11,1.3847558209696053e-09,17,
1.75,32,1.9,0.11962697635888744,-66.06844672880491,4.545199772110209e-08,1.0412734209236744e-11,1.1154140789934192e-09,17,
1.75,64,1.2,1.6890369981374662,-99.58909253400832,3.297718649264425e-07,3.3249877543788756e-11,2.9119449881083127e-09,18,
1.75,64,1.25,1.5178702615917372,-101.27545766807603,6.413411028916016e-07,6.252887936616753e-11,4.89233496516199e-09,18,
1.75,64,1.3,1.3490053554509045,-103.04739083147423,1.232532667927444e-06,1.1607119058689755e-10,8.749578684030617e-09,31,relative_variance;sweep_cap_reached
1.75,64,1.35,1.1792746530866403,-104.9087251541854,2.305745510966517e-06,2.095019900745411e-10,1.5487118541443636e-08,19,relative_variance;discarded_weight
1.75,64,1.4,1.0030630113133618,-106.8645495985906,4.0768354665488005e-06,3.569898473580167e-10,2.5875450693037516e-08,19,relative_variance;discarded_weight
1.75,64,1.45,0.8095360190305176,-108.92260905681697,8.00473935669288e-06,6.747006432491565e-10,4.5864573182496385e-08,21,relative_variance;discarded_weight
1.75,64,1.5,0.5904510078099497,-111.09692221369293,1.3742397641181014e-05,1.1134185580494668e-09,7.559766589988972e-08,31,relative_variance;discarded_weight;sweep_cap_reached
1.75,64,1.55,0.3831356897689369,-113.40900966885026,1.6444993889308535e-05,1.2786114828111232e-09,8.60508139208881e-08,21,relative_variance;discarded_weight
1.75,64,1.6,0.2482957594806043,-115.86270668398153,1.2092164979549125e-05,9.007758291132461e-10,6.719236845551719e-08,20,relative_variance;discarded_weight
1.75,64,1.65,0.17648335190371656,-118.42650513877288,7.242926585604437e-06,5.164357007464957e-10,4.564416685148405e-08,19,relative_variance;discarded_weight
1.75,64,1.7,0.13655516191492303,-121.06808740359727,4.592275217873976e-06,3.1330587917018e-10,3.14007967080815e-08,31,relative_variance;discarded_weight;sweep_cap_reached
1.75,64,1.75,0.11195136640928903,-123.76807255082835,2.726355887716636e-06,1.779775773838429e-10,2.152902661539715e-08,20,relative_variance;discarded_weight
1.75,64,1.8,0.09541440404158397,-126.51479105933808,1.65397250384558e-06,1.0333458038571084e-10,1.5109023192896696e-08,19,relative_variance;discarded_weight
1.75,64,1.85,0.08355718445865469,-129.30038939834705,1.0821422620210797e-06,6.472688287739563e-11,1.0739527994685213e-08,19,discarded_weight
1.75,64,1.9,0.0746371812849668,-132.11911710974513,7.372145773842931e-07,4.223403626598342e-11,7.973118769565912e-09,19,
1.8,32,1.2,1.1622305896523055,-49.49191405552057,4.269486453267746e-08,1.7430391417032122e-11,1.1397501077150697e-09,17,
1.8,32,1.25,1.037899232959137,-50.349142376340076,7.082189767970704e-08,2.7937233957800924e-11,1.8392244524363535e-09,17,
1.8,32,1.3,0.9120235736980775,-51.251495638957124,1.1451402315287851e-07,4.359589374871472e-11,2.7880999028545303e-09,17,
1.8,32,1.35,0.7819114572794129,-52.20232891859459,1.774119482433889e-07,6.510331569142052e-11,3.950550813647792e-09,18,
1.8,32,1.4,0.6478510189898425,-53.20658176061797,2.3698021323070861e-07,8.37107761193341e-11,5.180373745174885e-09,18,
1.8,32,1.45,0.5170142854153194,-54.2705900949005,3.0243654691730626e-07,1.0268456869669862e-10,6.011188475997118e-09,18,relative_variance
1.8,32,1.5,0.4024854021611409,-55.399475040035114,3.338741407787893e-07,1.0878561832086514e-10,6.150685508920293e-09,18,relative_variance
1.8,32,1.55,0.3137818094869599,-56.59236802724369,3.0839964892948046e-07,9.629375921947259e-11,5.412075195287515e-09,18,
1.8,32,1.6,0.2504670390332919,-57.841073456362174,2.5445524443057366e-07,7.605691709706519e-11,4.286755050845787e-09,18,
1.8,32,1.65,0.20632634806092362,-59.134465214384,1.8415948943584226e-07,5.2663868182598575e-11,3.271890034025974e-09,17,
1.8,32,1.7,0.17507637082921304,-60.46278295651412,1.2873806554125622e-07,3.52152449280381e-11,2.4354132733214807e-09,17,
1.8,32,1.75,0.15225923223211324,-61.81879818669615,9.009772838908248e-08,2.357614130923652e-11,1.8879505157962075e-09,17,
1.8,32,1.8,0.13503872804550324,-63.197366854753525,6.319442036328837e-08,1.582270632659872e-11,1.4940948024711037e-09,17,
1.8,32,1.85,0.12164334040951703,-64.59476801228648,4.5152773964218795e-08,1.0821556984708066e-11,1.1819803385175692e-09,17,
1.8,32,1.9,0.11094810401167837,-66.00821815254847,3.297554940218106e-08,7.56825961254563e-12,9.49517416863963e-10,17,
1.8,64,1.2,1.6242956752225703,-98.98570903634939,3.833938535535708e-07,3.9129126187157353e-11,3.501484751733266e-09,18,
1.8,64,1.25,1.4493721020896104,-100.6988792695088,7.060971256578341e-07,6.96330101201887e-11,6.091581591990722e-09,18,
1.8,64,1.3,1.275260368066711,-102.5005957524821,1.4067809388507158e-06,1.338978784965647e-10,1.1197594645190852e-08,19,relative_variance;discarded_weight
1.8,64,1.35,1.0975176255809767,-104.39542764544174,2.5682966224849224e-06,2.3565802047723825e-10,1.961215890864254e-08,22,relative_variance;discarded_weight
1.8,64,1.4,0.9073510416027126,-106.3898455764651,5.18659726367332e-06,4.5822857644887414e-10,3.4645845917088116e-08,19,relative_variance;discarded_weight
1.8,64,1.45,0.6912179221816819,-108.49483335818006,9.97242023004219e-06,8.471931914141859e-10,6.261441721865086e-08,20,relative_variance;discarded_weight
1.8,64,1.5,0.46171409114176676,-110.73040529795537,1.462983709643595e-05,1.193179302355088e-09,8.404889166297061e-08,20,relative_variance;discarded_weight
1.8,64,1.55,0.28931846567689173,-113.11372296435378,1.278026684303768e-05,9.988708243533749e-10,7.481055375625764e-08,23,relative_variance;discarded_weight
1.8,64,1.6,0.19560231532844552,-115.62461112747432,7.890030246926472e-06,5.901713161939577e-10,5.1131810428269675e-08,19,relative_variance;discarded_weight
1.8,64,1.65,0.1460469502190055,-118.22606411161104,4.8660713218851015e-06,3.4813846235231675e-10,3.4563479618583013e-08,31,relative_variance;discarded_weight;sweep_cap_reached
1.8,64,1.7,0.1169847809633931,-120.89361829509009,2.8217691578902304e-06,1.9306997050479333e-10,2.3546776312026206e-08,22,relative_variance;discarded_weight
1.8,64,1.75,0.09815157988299872,-123.61306600920622,1.6696922102710232e-06,1.0927169103484029e-10,1.6341049379138733e-08,19,relative_variance;discarded_weight
1.8,64,1.8,0.08499968459034368,-126.37520815549891,1.0557087080087513e-06,6.610287308043695e-11,1.1434048692485234e-08,19,discarded_weight
1.8,64,1.85,0.07529793104049931,-129.17346501490547,7.127855496946722e-07,4.271813341000628e-11,8.417771413075945e-09,19,
1.8,64,1.9,0.06784088451865215,-132.00282816156053,4.726134648080915e-07,2.7123118315607392e-11,6.313712799584747e-09,19,
1.9,32,1.2,1.0722090110055382,-48.95608009744803,5.154697646503337e-08,2.1507499580163168e-11,1.705567153209241e-09,17,
1.9,32,1.25,0.9395123834269047,-49.840299426365966,8.565348252886906e-08,3.448130863400117e-11,2.6391328792008097e-09,18,
1.9,32,1.3,0.802179903052398,-50.7738103985604,1.3171666068956256e-07,5.109297580440466e-11,3.829814639476358e-09,17,
1.9,32,1.35,0.6599866521280484,-51.76174465498592,1.9119761418551207e-07,7.13616127997865e-11,5.1169601280556785e-09,17,
1.9,32,1.4,0.5206899624998808,-52.810949200313075,2.49054664891446e-07,8.929902845008513e-11,6.170319430394205e-09,17,
1.9,32,1.45,0.39943625740788796,-53.92726946475209,2.76671471510781e-07,9.513657625104452e-11,6.332927982348507e-09,18,
1.9,32,1.5,0.3071402503177788,-55.11001776596687,2.569440766819753e-07,8.460139190070564e-11,5.504041524844119e-09,18,
1.9,32,1.55,0.24269937874930103,-56.35032946716681,2.043293534370605e-07,6.434841314933638e-11,4.293233179334978e-09,17,
1.9,32,1.6,0.1986166839907055,-57.63632442790114,1.4476881915470585e-07,4.357952350621761e-11,3.1919795366373268e-09,17,
1.9,32,1.65,0.16782304299862616,-58.957864480450105,9.993527783080935e-08,2.8749833585452e-11,2.355770735143592e-09,17,
1.9,32,1.7,0.14553694343201817,-60.307601537154426,6.899836080265231e-08,1.89711937691796e-11,1.8141937814689179e-09,17,
1.9,32,1.75,0.12881508440141518,-61.68035964928103,4.671073838835582e-08,1.2277867374239757e-11,1.4091027119602864e-09,17,
1.9,32,1.8,0.11585936768620282,-63.07239997759297,3.276090865256265e-08,8.235258298888017e-12,1.118043710976499e-09,17,
1.9,32,1.85,0.10554475302749139,-64.48091632295836,2.5075678422581404e-08,6.031013362349966e-12,8.550682443375132e-10,17,
1.9,32,1.9,0.09714351791622577,-65.90372585513552,1.849002728704363e-08,4.25713689650077e-12,6.725982965302416e-10,17,
1.9,64,1.2,1.4975721612649602,-97.91259141946088,4.6199602365959436e-07,4.819046840043883e-11,5.3878928037744414e-09,18,
1.9,64,1.25,1.3132506952804823,-99.6786527717556,9.498180588707328e-07,9.559520380791041e-11,1.0332043792462032e-08,18,discarded_weight
1.9,64,1.3,1.125043466591162,-101.53988709579474,1.967540811165236e-06,1.90831646326173e-10,1.898489660064421e-08,19,relative_variance;discarded_weight
1.9,64,1.35,0.9230678009523624,-103.50314277047147,4.0178092604037374e-06,3.7504401694379806e-10,3.553233011502322e-08,21,relative_variance;discarded_weight
1.9,64,1.4,0.6914200656091166,-105.5801493929636,8.13103724794928e-06,7.294262800609656e-10,6.729119010549171e-08,19,relative_variance;discarded_weight
1.9,64,1.45,0.44652521904448245,-107.79282080967604,1.2020020221825689e-05,1.034488159536455e-09,9.228787765873821e-08,19,relative_variance;discarded_weight
1.9,64,1.5,0.27183048139676863,-110.15887783927732,9.93676258076448e-06,8.188529291443297e-10,7.97246549958173e-08,19,relative_variance;discarded_weight
1.9,64,1.55,0.18210304595902754,-112.65387743794473,5.893678462598473e-06,4.644020733698179e-10,5.239997854735391e-08,19,relative_variance;discarded_weight
1.9,64,1.6,0.13573272886171425,-115.23947044147974,3.514434865792282e-06,2.646384785145333e-10,3.4502208187404465e-08,21,relative_variance;discarded_weight
1.9,64,1.65,0.10868264728243994,-117.8919209505133,1.935823092935607e-06,1.392828285774286e-10,2.3319540309419113e-08,20,relative_variance;discarded_weight
1.9,64,1.7,0.09116367704028346,-120.59741867045454,1.1095507943537086e-06,7.629062355858936e-11,1.537252437483563e-08,18,discarded_weight
1.9,64,1.75,0.0789256853436143,-123.34683067559489,7.099570211721584e-07,4.6663366605296155e-11,1.1270539968063656e-08,18,discarded_weight
1.9,64,1.8,0.06989505251661554,-126.13351304698875,4.567937139654532e-07,2.8711715056725185e-11,7.807860203734723e-09,19,
1.9,64,1.85,0.06295255357367388,-128.9523539786075,3.1354647944681346e-07,1.8855731265549835e-11,5.846374326271532e-09,17,
1.9,64,1.9,0.057444042682561286,-131.79928116242647,2.1267624106258154e-07,1.2243142168043477e-11,4.529895854061214e-09,17,
2.0,32,1.2,0.982776744483971,-48.497280420922856,6.211121217347682e-08,2.6407983157492418e-11,2.255228597838611e-09,17,
2.0,32,1.25,0.8393213449357578,-49.40868512537317,9.783980203792453e-08,4.007827051587158e-11,3.3816032384671416e-09,17,
2.0,32,1.3,0.6898215530821282,-50.37465782633979,1.4835723050055094e-07,5.846345794638941e-11,4.671727823331288e-09,17,
2.0,32,1.35,0.5412033944063871,-51.40233456057009,2.019037310674321e-07,7.641500688786317e-11,5.902036635010031e-09,17,
2.0,32,1.4,0.41020144143107834,-52.498664700521545,2.3297025109059177e-07,8.452865393268525e-11,6.222706722892131e-09,17,
2.0,32,1.45,0.31060632336005023,-53.66427124368742,2.1670712158083916e-07,7.524934283825194e-11,5.415326692816247e-09,17,
2.0,32,1.5,0.2420692526730112,-54.890478941441465,1.7059073798009194e-07,5.661889739427774e-11,4.286370610187439e-09,17,
2.0,32,1.55,0.19604650337486787,-56.16469897922996,1.1970359992119484e-07,3.7947252776819116e-11,3.0877026438562918e-09,17,
2.0,32,1.6,0.1644170330509048,-57.476105305082626,8.035976861719973e-08,2.432562536679342e-11,2.2467164450619815e-09,17,
2.0,32,1.65,0.14181182643171125,-58.816930900288924,5.357605914468877e-08,1.5486955386936934e-11,1.7150984199985553e-09,17,
2.0,32,1.7,0.12500952097645432,-60.18175698485446,3.6216988519299775e-08,9.999599591094607e-12,1.3185167340209845e-09,15,
2.0,32,1.75,0.1120841489232019,-61.566687497965695,2.5388544599991292e-08,6.698016765932596e-12,9.991212411461875e-10,15,
2.0,32,1.8,0.10185075558963402,-62.96880080039418,1.9033905118703842e-08,4.800395887689993e-12,7.781010218390015e-10,15,
2.0,32,1.85,0.09355268108517895,-64.38582208288162,1.3536009646486491e-08,3.265202834665518e-12,5.885949409396817e-10,15,
2.0,32,1.9,0.08668857762787131,-65.81592679130145,9.852556104306132e-09,2.2745050957132134e-12,4.483193314588091e-10,15,
2.0,64,1.2,1.3732134655421386,-96.99327998357563,5.820384103571996e-07,6.186832439766127e-11,8.844733570740217e-09,18,
2.0,64,1.25,1.1759587317467697,-98.81165252066286,1.3010430848225951e-06,1.3325249633065948e-10,1.6655971932251537e-08,19,relative_variance;discarded_weight
