beta,cell_id,cohort,g_b_over_g_a,m,measure_every,measurement_sweeps,mu,pair_id,paired_budget,pilot_acceptance_max,pilot_acceptance_min,pilot_replicas,production_replicas,projected_ess_per_replica,reason,required_measurement_sweeps,required_warmup_sweeps,status,t,warmup_sweeps,worst_tau_int
8.0,half_filled_core_m08_b08_g025_t050_mu000,half_filled_core,0.25,8,2,2738,0.0,,,0.7459895833333333,0.74515625,2,4,40.01710386237667,pilot audit passed,,,RUN,0.5,686,17.105185881368943
4.0,half_filled_core_m04_b04_g025_t100_mu000,half_filled_core,0.25,4,2,826,0.0,,,0.739375,0.738125,2,4,40.03226465542465,pilot audit passed,,,RUN,1.0,240,5.158339199079456
8.0,half_filled_core_m04_b08_g025_t100_mu000,half_filled_core,0.25,4,2,3038,0.0,,,0.8708854166666666,0.8695833333333334,2,4,40.002519487020066,pilot audit passed,,,RUN,1.0,760,18.986304106331126
4.0,half_filled_core_m06_b04_g025_t100_mu000,half_filled_core,0.25,6,2,2296,0.0,,,0.6359375,0.6286458333333333,2,4,40.01485597243026,pilot audit passed,,,RUN,1.0,574,14.344672398558147
8.0,half_filled_core_m06_b08_g025_t100_mu000,half_filled_core,0.25,6,,,0.0,,,0.81828125,0.8159375,2,,,autocorrelation budget cap exceeded,3450,864,STOP,1.0,,21.551902139415596
4.0,half_filled_core_m08_b04_g025_t100_mu000,half_filled_core,0.25,8,2,1670,0.0,,,0.52375,0.5225,2,4,40.01051500822564,pilot audit passed,,,RUN,1.0,418,10.434756961118033
8.0,half_filled_core_m08_b08_g025_t100_mu000,half_filled_core,0.25,8,,,0.0,,,0.7697916666666667,0.7577083333333333,2,,,autocorrelation budget cap exceeded,4486,1122,STOP,1.0,,28.03167227364286
4.0,half_filled_core_m04_b04_g050_t025_mu000,half_filled_core,0.5,4,2,1658,0.0,,,0.7305208333333333,0.7221875,2,4,40.010789292190694,pilot audit passed,,,RUN,0.25,416,10.359705652717581
8.0,half_filled_core_m04_b08_g050_t025_mu000,half_filled_core,0.5,4,,,0.0,,,0.86734375,0.8666145833333333,2,,,autocorrelation budget cap exceeded,3384,846,STOP,0.25,,21.14855517557087
4.0,half_filled_core_m06_b04_g050_t025_mu000,half_filled_core,0.5,6,2,2678,0.0,,,0.6058333333333333,0.5945833333333334,2,4,40.02058423104446,pilot audit passed,,,RUN,0.25,670,16.72889121595233
8.0,half_filled_core_m06_b08_g050_t025_mu000,half_filled_core,0.5,6,2,2372,0.0,,,0.8,0.7990104166666666,2,4,40.014969810122416,pilot audit passed,,,RUN,0.25,594,14.819453889728821
4.0,half_filled_core_m08_b04_g050_t025_mu000,half_filled_core,0.5,8,2,1604,0.0,,,0.5025,0.48885416666666665,2,4,40.0392340170688,pilot audit passed,,,RUN,0.25,402,10.015176609748652
8.0,half_filled_core_m08_b08_g050_t025_mu000,half_filled_core,0.5,8,,,0.0,,,0.7340104166666667,0.73296875,2,,,autocorrelation budget cap exceeded,3706,928,STOP,0.25,,23.150866865827822
4.0,half_filled_core_m04_b04_g050_t050_mu000,half_filled_core,0.5,4,2,926,0.0,,,0.7377083333333333,0.7304166666666667,2,4,40.01319770538667,pilot audit passed,,,RUN,0.5,240,5.785591086833705
8.0,half_filled_core_m04_b08_g050_t050_mu000,half_filled_core,0.5,4,2,3148,0.0,,,0.86765625,0.8659895833333333,2,4,40.00208019641574,pilot audit passed,,,RUN,0.5,788,19.67397685659649
4.0,half_filled_core_m06_b04_g050_t050_mu000,half_filled_core,0.5,6,2,1190,0.0,,,0.6163541666666666,0.6054166666666667,2,4,40.05500862586814,pilot audit passed,,,RUN,0.5,298,7.4272858802449475
8.0,half_filled_core_m06_b08_g050_t050_mu000,half_filled_core,0.5,6,2,3126,0.0,,,0.8053645833333334,0.8032291666666667,2,4,40.00882677762198,pilot audit passed,,,RUN,0.5,782,19.533189621973975
4.0,half_filled_core_m08_b04_g050_t050_mu000,half_filled_core,0.5,8,2,1532,0.0,,,0.5040625,0.4979166666666667,2,4,40.02250867151708,pilot audit passed,,,RUN,0.5,384,9.569615016975948
8.0,half_filled_core_m08_b08_g050_t050_mu000,half_filled_core,0.5,8,,,0.0,,,0.7495833333333334,0.7416666666666667,2,,,autocorrelation budget cap exceeded,3642,912,STOP,0.5,,22.759864626390982
4.0,half_filled_core_m04_b04_g050_t100_mu000,half_filled_core,0.5,4,2,1022,0.0,,,0.7298958333333333,0.7295833333333334,2,4,40.00828766430773,pilot audit passed,,,RUN,1.0,256,6.386176837753973
8.0,half_filled_core_m04_b08_g050_t100_mu000,half_filled_core,0.5,4,2,2904,0.0,,,0.86984375,0.86625,2,4,40.01320314431507,pilot audit passed,,,RUN,1.0,726,18.144011050091287
4.0,half_filled_core_m06_b04_g050_t100_mu000,half_filled_core,0.5,6,2,2296,0.0,,,0.6288541666666667,0.6282291666666666,2,4,40.033617833299786,pilot audit passed,,,RUN,1.0,574,14.337949729902984
8.0,half_filled_core_m06_b08_g050_t100_mu000,half_filled_core,0.5,6,2,2296,0.0,,,0.80875,0.8052604166666667,2,4,40.010636690824775,pilot audit passed,,,RUN,1.0,574,14.346185101613978
4.0,half_filled_core_m08_b04_g050_t100_mu000,half_filled_core,0.5,8,2,1634,0.0,,,0.5189583333333333,0.5177083333333333,2,4,40.024580486899566,pilot audit passed,,,RUN,1.0,410,10.206228148567504
8.0,half_filled_core_m08_b08_g050_t100_mu000,half_filled_core,0.5,8,2,2858,0.0,,,0.7517708333333334,0.7503125,2,4,40.01121161020625,pilot audit passed,,,RUN,1.0,716,17.85749471824897
4.0,half_filled_core_m04_b04_g100_t025_mu000,half_filled_core,1.0,4,2,3140,0.0,,,0.7102083333333333,0.7086458333333333,2,4,40.00160846477273,pilot audit passed,,,RUN,0.25,786,19.624210878702726
8.0,half_filled_core_m04_b08_g100_t025_mu000,half_filled_core,1.0,4,2,3122,0.0,,,0.85328125,0.85234375,2,4,40.002670566656825,pilot audit passed,,,RUN,0.25,782,19.51119735117298
4.0,half_filled_core_m06_b04_g100_t025_mu000,half_filled_core,1.0,6,2,2674,0.0,,,0.5902083333333333,0.578125,2,4,40.02505850976879,pilot audit passed,,,RUN,0.25,670,16.702036796194598
8.0,half_filled_core_m06_b08_g100_t025_mu000,half_filled_core,1.0,6,,,0.0,,,0.7877083333333333,0.7868229166666667,2,,,autocorrelation budget cap exceeded,4524,1132,STOP,0.25,,28.270974382451413
4.0,half_filled_core_m08_b04_g100_t025_mu000,half_filled_core,1.0,8,,,0.0,,,0.46270833333333333,0.45729166666666665,2,,,autocorrelation budget cap exceeded,4510,1128,STOP,0.25,,28.177874723519693
8.0,half_filled_core_m08_b08_g100_t025_mu000,half_filled_core,1.0,8,,,0.0,,,0.7201041666666667,0.7183333333333334,2,,,autocorrelation budget cap exceeded,4844,1212,STOP,0.25,,30.27454937536796
4.0,half_filled_core_m04_b04_g100_t050_mu000,half_filled_core,1.0,4,2,2350,0.0,,,0.7176041666666667,0.7036458333333333,2,4,40.00252282545576,pilot audit passed,,,RUN,0.5,588,14.68657370844976
8.0,half_filled_core_m04_b08_g100_t050_mu000,half_filled_core,1.0,4,2,2830,0.0,,,0.8611458333333334,0.8521875,2,4,40.01491822794247,pilot audit passed,,,RUN,0.5,708,17.680905805424132
4.0,half_filled_core_m06_b04_g100_t050_mu000,half_filled_core,1.0,6,2,3078,0.0,,,0.5853125,0.5628125,2,4,40.007361968970635,pilot audit passed,,,RUN,0.5,770,19.233960004581597
8.0,half_filled_core_m06_b08_g100_t050_mu000,half_filled_core,1.0,6,,,0.0,,,0.78640625,0.784375,2,,,autocorrelation budget cap exceeded,3580,896,STOP,0.5,,22.367261893817677
4.0,half_filled_core_m08_b04_g100_t050_mu000,half_filled_core,1.0,8,,,0.0,,,0.4786458333333333,0.46260416666666665,2,,,autocorrelation budget cap exceeded,4670,1168,STOP,0.5,,29.179818408316105
8.0,half_filled_core_m08_b08_g100_t050_mu000,half_filled_core,1.0,8,,,0.0,,,0.7261979166666667,0.7243229166666667,2,,,autocorrelation budget cap exceeded,4214,1054,STOP,0.5,,26.32557207620757
4.0,half_filled_core_m04_b04_g100_t100_mu000,half_filled_core,1.0,4,2,2596,0.0,,,0.7105208333333334,0.7047916666666667,2,4,40.00163668209338,pilot audit passed,,,RUN,1.0,650,16.22433614798874
8.0,half_filled_core_m04_b08_g100_t100_mu000,half_filled_core,1.0,4,,,0.0,,,0.8557291666666667,0.85515625,2,,,autocorrelation budget cap exceeded,4630,1158,STOP,1.0,,28.93504630027823
4.0,half_filled_core_m06_b04_g100_t100_mu000,half_filled_core,1.0,6,2,1974,0.0,,,0.5872916666666667,0.58,2,4,40.013747240324285,pilot audit passed,,,RUN,1.0,494,12.333261292325805
8.0,half_filled_core_m06_b08_g100_t100_mu000,half_filled_core,1.0,6,2,2530,0.0,,,0.7865104166666667,0.785625,2,4,40.00920537956058,pilot audit passed,,,RUN,1.0,634,15.808861835659549
4.0,half_filled_core_m08_b04_g100_t100_mu000,half_filled_core,1.0,8,2,2958,0.0,,,0.4688541666666667,0.45489583333333333,2,4,40.01556898388052,pilot audit passed,,,RUN,1.0,740,18.480307009951375
8.0,half_filled_core_m08_b08_g100_t100_mu000,half_filled_core,1.0,8,,,0.0,,,0.7223958333333333,0.72140625,2,,,autocorrelation budget cap exceeded,4904,1226,STOP,1.0,,30.638500765308983
8.0,paired_competition_m04_b08_g075_t050_mun15,paired_competition,0.75,4,2,3084,-1.5,g075_t050_m04_b08,True,0.8741145833333334,0.8730729166666666,2,4,40.022872885501805,paired member failed pilot audit,,,STOP,0.5,772,19.263984427247177
8.0,paired_competition_m04_b08_g075_t050_mup15,paired_competition,0.75,4,,,1.5,g075_t050_m04_b08,True,0.8765104166666666,0.87625,2,,,paired member failed pilot audit,3600,900,STOP,0.5,,22.497457221999902
8.0,paired_competition_m06_b08_g075_t050_mun15,paired_competition,0.75,6,,,-1.5,g075_t050_m06_b08,True,0.8416666666666667,0.83421875,2,,,paired member failed pilot audit,3682,922,STOP,0.5,,23.007010697897346
8.0,paired_competition_m06_b08_g075_t050_mup15,paired_competition,0.75,6,2,3076,1.5,g075_t050_m06_b08,True,0.8290625,0.8279166666666666,2,4,40.017854326704864,paired member failed pilot audit,,,STOP,0.5,770,19.216422592823225
8.0,paired_competition_m08_b08_g075_t050_mun15,paired_competition,0.75,8,,,-1.5,g075_t050_m08_b08,True,0.78515625,0.77515625,2,,,paired member failed pilot audit,4366,1092,STOP,0.5,,27.28686828659136
8.0,paired_competition_m08_b08_g075_t050_mup15,paired_competition,0.75,8,,,1.5,g075_t050_m08_b08,True,0.7818229166666667,0.7766145833333333,2,,,paired member failed pilot audit,3794,950,STOP,0.5,,23.70916338288366
8.0,paired_competition_m04_b08_g075_t100_mun15,paired_competition,0.75,4,,,-1.5,g075_t100_m04_b08,True,0.8742708333333333,0.87359375,2,,,paired member failed pilot audit,3294,824,STOP,1.0,,20.58672573126137
8.0,paired_competition_m04_b08_g075_t100_mup15,paired_competition,0.75,4,2,2558,1.5,g075_t100_m04_b08,True,0.8763020833333334,0.8715625,2,4,40.019753863123945,paired member failed pilot audit,,,STOP,1.0,640,15.979608525010569
8.0,paired_competition_m06_b08_g075_t100_mun15,paired_competition,0.75,6,,,-1.5,g075_t100_m06_b08,True,0.8181770833333334,0.8096875,2,,,paired member failed pilot audit,3452,864,STOP,1.0,,21.574988662610448
8.0,paired_competition_m06_b08_g075_t100_mup15,paired_competition,0.75,6,,,1.5,g075_t100_m06_b08,True,0.8149479166666667,0.8090625,2,,,paired member failed pilot audit,3690,924,STOP,1.0,,23.05795346172798
8.0,paired_competition_m08_b08_g075_t100_mun15,paired_competition,0.75,8,2,2618,-1.5,g075_t100_m08_b08,True,0.7627083333333333,0.7528125,2,4,40.01242200390983,paired member failed pilot audit,,,STOP,1.0,656,16.357420201557538
8.0,paired_competition_m08_b08_g075_t100_mup15,paired_competition,0.75,8,,,1.5,g075_t100_m08_b08,True,0.7583854166666667,0.7527083333333333,2,,,paired member failed pilot audit,3678,920,STOP,1.0,,22.98686688049398
8.0,paired_competition_m04_b08_g100_t050_mun15,paired_competition,1.0,4,2,3034,-1.5,g100_t050_m04_b08,True,0.8645833333333334,0.8633854166666667,2,4,40.02340657383986,paired member failed pilot audit,,,STOP,0.5,760,18.951410310380016
8.0,paired_competition_m04_b08_g100_t050_mup15,paired_competition,1.0,4,,,1.5,g100_t050_m04_b08,True,0.86984375,0.86265625,2,,,paired member failed pilot audit,3812,954,STOP,0.5,,23.816802903043026
8.0,paired_competition_m06_b08_g100_t050_mun15,paired_competition,1.0,6,2,3144,-1.5,g100_t050_m06_b08,True,0.82359375,0.8172395833333334,2,4,40.00108385516813,paired member failed pilot audit,,,STOP,0.5,786,19.649467570575563
8.0,paired_competition_m06_b08_g100_t050_mup15,paired_competition,1.0,6,,,1.5,g100_t050_m06_b08,True,0.8238541666666667,0.82078125,2,,,paired member failed pilot audit,4096,1024,STOP,0.5,,25.594867246428723
8.0,paired_competition_m08_b08_g100_t050_mun15,paired_competition,1.0,8,,,-1.5,g100_t050_m08_b08,True,0.7646354166666667,0.76015625,2,,,paired member failed pilot audit,3364,842,STOP,0.5,,21.017049092590398
8.0,paired_competition_m08_b08_g100_t050_mup15,paired_competition,1.0,8,,,1.5,g100_t050_m08_b08,True,0.7739583333333333,0.7591145833333334,2,,,paired member failed pilot audit,3222,806,STOP,0.5,,20.13004935398255
8.0,paired_competition_m04_b08_g100_t100_mun15,paired_competition,1.0,4,2,2370,-1.5,g100_t100_m04_b08,True,0.8658854166666666,0.8625520833333333,2,4,40.00424305582833,pilot audit passed,,,RUN,1.0,594,14.81092891004413
8.0,paired_competition_m04_b08_g100_t100_mup15,paired_competition,1.0,4,2,2370,1.5,g100_t100_m04_b08,True,0.8649479166666667,0.86484375,2,4,40.03137784039943,pilot audit passed,,,RUN,1.0,594,11.028848463827813
8.0,paired_competition_m06_b08_g100_t100_mun15,paired_competition,1.0,6,,,-1.5,g100_t100_m06_b08,True,0.8031770833333334,0.8016666666666666,2,,,paired member failed pilot audit,3552,888,STOP,1.0,,22.197668600267118
8.0,paired_competition_m06_b08_g100_t100_mup15,paired_competition,1.0,6,2,3024,1.5,g100_t100_m06_b08,True,0.80046875,0.7995833333333333,2,4,40.006333157627154,paired member failed pilot audit,,,STOP,1.0,756,18.89700805673238
8.0,paired_competition_m08_b08_g100_t100_mun15,paired_competition,1.0,8,2,2468,-1.5,g100_t100_m08_b08,True,0.74234375,0.7404166666666666,2,4,40.01639788889418,pilot audit passed,,,RUN,1.0,618,15.418679155307904
8.0,paired_competition_m08_b08_g100_t100_mup15,paired_competition,1.0,8,2,2468,1.5,g100_t100_m08_b08,True,0.7479166666666667,0.7396354166666667,2,4,40.00189519109239,pilot audit passed,,,RUN,1.0,618,14.78679940473708
8.0,paired_competition_m04_b08_g125_t050_mun15,paired_competition,1.25,4,2,2758,-1.5,g125_t050_m04_b08,True,0.85609375,0.8523958333333334,2,4,40.02428751542627,pilot audit passed,,,RUN,0.5,690,14.516185947746587
8.0,paired_competition_m04_b08_g125_t050_mup15,paired_competition,1.25,4,2,2758,1.5,g125_t050_m04_b08,True,0.86234375,0.8586458333333333,2,4,40.01725657271958,pilot audit passed,,,RUN,0.5,690,17.230066702524617
8.0,paired_competition_m06_b08_g125_t050_mun15,paired_competition,1.25,6,,,-1.5,g125_t050_m06_b08,True,0.80453125,0.7988541666666666,2,,,paired member failed pilot audit,3596,900,STOP,0.5,,22.464754819199204
8.0,paired_competition_m06_b08_g125_t050_mup15,paired_competition,1.25,6,,,1.5,g125_t050_m06_b08,True,0.8071875,0.8038541666666666,2,,,paired member failed pilot audit,3658,916,STOP,0.5,,22.85424570128915
8.0,paired_competition_m08_b08_g125_t050_mun15,paired_competition,1.25,8,,,-1.5,g125_t050_m08_b08,True,0.7484895833333334,0.7430729166666666,2,,,paired member failed pilot audit,3724,932,STOP,0.5,,23.265163849339306
8.0,paired_competition_m08_b08_g125_t050_mup15,paired_competition,1.25,8,,,1.5,g125_t050_m08_b08,True,0.7438541666666667,0.7415104166666666,2,,,paired member failed pilot audit,4618,1156,STOP,0.5,,28.850438230591706
8.0,paired_competition_m04_b08_g125_t100_mun15,paired_competition,1.25,4,2,2010,-1.5,g125_t100_m04_b08,True,0.8582291666666667,0.85359375,2,4,40.01294498912575,paired member failed pilot audit,,,STOP,1.0,504,12.558435779634905
8.0,paired_competition_m04_b08_g125_t100_mup15,paired_competition,1.25,4,,,1.5,g125_t100_m04_b08,True,0.8552083333333333,0.8548958333333333,2,,,paired member failed pilot audit,4196,1050,STOP,1.0,,26.21928396845598
8.0,paired_competition_m06_b08_g125_t100_mun15,paired_competition,1.25,6,,,-1.5,g125_t100_m06_b08,True,0.7836979166666667,0.7836458333333334,2,,,paired member failed pilot audit,3600,900,STOP,1.0,,22.490654338911835
8.0,paired_competition_m06_b08_g125_t100_mup15,paired_competition,1.25,6,,,1.5,g125_t100_m06_b08,True,0.7805208333333333,0.7775,2,,,paired member failed pilot audit,4162,1042,STOP,1.0,,26.009136182681186
8.0,paired_competition_m08_b08_g125_t100_mun15,paired_competition,1.25,8,,,-1.5,g125_t100_m08_b08,True,0.7296354166666666,0.7201041666666667,2,,,paired member failed pilot audit,4026,1008,STOP,1.0,,25.155312517576643
8.0,paired_competition_m08_b08_g125_t100_mup15,paired_competition,1.25,8,,,1.5,g125_t100_m08_b08,True,0.7278645833333334,0.7240625,2,,,paired member failed pilot audit,3258,816,STOP,1.0,,20.35251214986899
