path,source_role,delta,level,block_size,certified_lower,bethe_lower,bethe_upper,certified_upper,lower_error,upper_error,width,lower_method,upper_method,generator,solver,git_commit,sha256,byte_count
outputs/final/grid/delta_0/level_5_block_6.json,xxz-grid,0,5,6,-0.33333336,-0.3183098861837907467275954331853426992893218994140625,-0.31830988618379063570529297066968865692615509033203125,-0.2911632672862444826151900738856493286317,0.01502347381620925327240456681,0.02714661889754615309010289678,0.04217009271375551738480992611,lti-rational-dual,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,ebcbdc3397d254de3909af863584ff1dde1cf3ce70c945b95ea80410508da1de,4419
outputs/final/grid/delta_0/level_7_block_8.json,xxz-grid,0,7,8,-0.33333336,-0.3183098861837907467275954331853426992893218994140625,-0.31830988618379063570529297066968865692615509033203125,-0.2974231551964770074015680238244320445057,0.01502347381620925327240456681,0.02088673098731362830372494685,0.03591020480352299259843197618,lti-rational-dual,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,7ee7d6e2819d24d0f15e37190d3519be86518e8bce39ec0895d7c4da16299545,6477
outputs/final/grid/delta_0p5/level_3_block_4.json,xxz-grid,0.5,3,4,-0.4215351655,-0.375,-0.375,-0.3390214995012655337193446685919871708466,0.0465351655,0.03597850049873446628065533141,0.08251366599873446628065533141,anderson-rational-ldl,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,158cecebc3b895e6599afb1ee8e507c675c97b236054bc59f380224a27175e8f,1125
outputs/final/grid/delta_0p5/level_5_block_6.json,xxz-grid,0.5,5,6,-0.39467236,-0.375,-0.375,-0.3496479397096417770829652269247377115287,0.01967236,0.02535206029035822291703477308,0.04502442029035822291703477308,lti-rational-dual,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,8157acf18d7a5d0800e86cbc87f985d4589ee51721ef0681e007d3cd006cbcce,4328
outputs/final/grid/delta_0p5/level_7_block_8.json,xxz-grid,0.5,7,8,-0.39467236,-0.375,-0.375,-0.3554061282509380765728763421899845711673,0.01967236,0.01959387174906192342712365781,0.03926623174906192342712365781,lti-rational-dual,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,d84d02e6275e819e9cc864b3644adad9aa509a68f772de57a0b2d77ac7328821,6374
outputs/final/grid/delta_0p9/level_3_block_4.json,xxz-grid,0.9,3,4,-0.48352055205,-0.428701729768520778396379000696470029652118682861328125,-0.428515074368918280622864358520018868148326873779296875,-0.3906286175663933422670200002514623243030,0.05481882228147922160362099930,0.03788645680252493835584435827,0.09289193448360665773297999975,anderson-rational-ldl,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,58caffdbde890af8ff27cebf71eebca1acaac963abf47f117b9a07733ac2e0a6,1230
outputs/final/grid/delta_0p9/level_5_block_6.json,xxz-grid,0.9,5,6,-0.45177141,-0.428701729768520778396379000696470029652118682861328125,-0.428515074368918280622864358520018868148326873779296875,-0.4018705586855709273285776947296756387200,0.02306968023147922160362099930,0.02664451568334735329428666379,0.04990085131442907267142230527,lti-rational-dual,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,a2c1b12470a4314349c0e9a861ac16c1ae18fe8c947b5cf10b6a0cf81d14c963,4464
outputs/final/grid/delta_0p9/level_7_block_8.json,xxz-grid,0.9,7,8,-0.45177141,-0.428701729768520778396379000696470029652118682861328125,-0.428515074368918280622864358520018868148326873779296875,-0.4079537415327251146427611031646832815601,0.02306968023147922160362099930,0.02056133283619316598010325536,0.04381766846727488535723889684,lti-rational-dual,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,3000ae25ebbcf8f89ace65e2c8f2e91a2d2c9c9091a3872cd573197f3749060d,6517
outputs/final/grid/delta_1/level_3_block_4.json,xxz-grid,1,3,4,-0.50000000005,-0.443147180559945341737915214253007434308528900146484375,-0.443147180559945230715612751737353391945362091064453125,-0.4040063509461096416674469183428714054510,0.05685281949005465826208478575,0.03914082961383558904816583339,0.09599364910389035833255308166,anderson-rational-ldl,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,cbb839a0149e5d67d90326273e4b09ab4efaada555ac74760d09a2c68aa4d549,1229
outputs/final/grid/delta_1/level_5_block_6.json,xxz-grid,1,5,6,-0.4671293,-0.443147180559945341737915214253007434308528900146484375,-0.443147180559945230715612751737353391945362091064453125,-0.4155961889813208897873195805125906933388,0.02398211944005465826208478575,0.02755099157862434092829317122,0.05153311101867911021268041949,lti-rational-dual,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,6261be00a7f6f9883d90d55e461275dd263868826ed3502ff13d8adf528f8ced,4463
outputs/final/grid/delta_1/level_7_block_8.json,xxz-grid,1,7,8,-0.4671293,-0.443147180559945341737915214253007434308528900146484375,-0.443147180559945230715612751737353391945362091064453125,-0.4218665748359860260982827662416950574479,0.02398211944005465826208478575,0.02128060572395920461732998550,0.04526272516401397390171723376,lti-rational-dual,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,8ad3067d598b1256e2deb1b30045f4fb293d719e155292478bbbdd0ab5154e39,6506
outputs/final/xxx_best/level_47_rg_d6_mps_d32_block_1000.json,xxx-strongest,1,47,1000,-0.443976567,-0.443147180559945341737915214253007434308528900146484375,-0.443147180559945230715612751737353391945362091064453125,-0.4428702958784947210360110613724028607783,0.0008293864400546582620847857470,0.0002768846814505096796016903650,0.001106271121505278963988938628,rg-lti-rational-dual,rational-mps-repeated-block,xxzcert.rg_u1_conic+exact-rational-repair,CVXOPT,1e85543e5bf7a92750e9e315fe5036e38a9d1c18,1f7c684b3c2f62506f9b30f11e80197045f26a3cfcf464b608f1d2cab998e0c7,5410891
outputs/final/grid/delta_1p1/level_3_block_4.json,xxz-grid,1.1,3,4,-0.5168497727,-0.458156328584094441058738311767228879034519195556640625,-0.458156328584094330036435849251574836671352386474609375,-0.4175602242478999817868751388520358851647,0.05869344411590555894126168823,0.04059610433619434824956071040,0.09928954845210001821312486115,anderson-rational-ldl,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,2f0920c719a862c1adff70f851dbd466eca094e6749507b7f47acbef2d94213d,1228
outputs/final/grid/delta_1p1/level_5_block_6.json,xxz-grid,1.1,5,6,-0.4829115,-0.458156328584094441058738311767228879034519195556640625,-0.458156328584094330036435849251574836671352386474609375,-0.4295746961779997562923890465207484068772,0.02475517141590555894126168823,0.02858163240609457374404680273,0.05333680382200024370761095348,lti-rational-dual,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,68a61bcd496efee8aae4d5f16e9ee18e7109fc8b06304b3b669f4e90533c2560,4473
outputs/final/grid/delta_1p1/level_7_block_8.json,xxz-grid,1.1,7,8,-0.4829115,-0.458156328584094441058738311767228879034519195556640625,-0.458156328584094330036435849251574836671352386474609375,-0.4360761780287509799447929702531862131370,0.02475517141590555894126168823,0.02208015055534335009164287900,0.04683532197124902005520702975,lti-rational-dual,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,af6b2849564795ed43448660ed1fee06a9b496e1c8ef88be64b21d9d9c368e58,6517
outputs/final/grid/delta_2/level_3_block_4.json,xxz-grid,2,3,4,-0.68301270195,-0.61722204597586571850342807010747492313385009765625,-0.6172220459758654964588231450761668384075164794921875,-0.5465351654086267653970509730644794968235,0.06579065597413428149657192989,0.07068688056723873106177217201,0.1364775365413732346029490269,anderson-rational-ldl,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,2864ac13d50ca18d35917fe2583b926ad0887d90758add883fa1d05c14e68a22,1221
outputs/final/grid/delta_2/level_5_block_6.json,xxz-grid,2,5,6,-0.64262879,-0.61722204597586571850342807010747492313385009765625,-0.6172220459758654964588231450761668384075164794921875,-0.5657381433561790787834413645925329298867,0.02540674402413428149657192989,0.05148390261968641767538178048,0.07689064664382092121655863541,lti-rational-dual,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,f54d69ba7433747d09be9f9ae1daf883e63c9c46011d45e57af3bf3c5c7ecac7,4450
outputs/final/grid/delta_2/level_7_block_8.json,xxz-grid,2,7,8,-0.64262879,-0.61722204597586571850342807010747492313385009765625,-0.6172220459758654964588231450761668384075164794921875,-0.5764092677061445258297593197390613578354,0.02540674402413428149657192989,0.04081277826972097062906382534,0.06621952229385547417024068026,lti-rational-dual,rational-repeated-block,xxzcert,CLARABEL,ca462ccfd84affa158e7f53fd83d524b8444f24e,584a77f65209ffb2d863efb552134e43dbf6161dd59fb6992ca7ad24beb88650,6488
