beta,peps_energy,peps_stat_se,qmc_energy,qmc_se,qmc_within_se,delta,abs_delta,combined_se,z,qmc_error_calibration,wall_seconds,cutoff_touched
3.2,-1.7061039647559537,3.391929357353477e-7,-1.7061232531236583,6.882218629060657e-5,5.266748182698187e-5,1.928836770459519e-5,1.928836770459519e-5,6.882302214859943e-5,0.2802603998259282,1.3067301473933113,94.7318011,false
3.3,-1.7061048129380467,1.396028810958468e-7,-1.7060896487348345,3.8480571491879994e-5,5.173062332706747e-5,-1.5164203212236771e-5,1.5164203212236771e-5,3.8480824722270407e-5,-0.39407167912024077,0.7438644465694165,97.085489579,false
4.5,-1.7061054446517463,2.7819572559581196e-9,-1.706091990588618,4.25364521252718e-5,4.687037646244645e-5,-1.3454063128248706e-5,1.3454063128248706e-5,4.2536452216244195e-5,-0.3162949053637988,0.9075338270293799,235.687743441,false
4.6,-1.706105447872199,1.839858407705084e-9,-1.7060676372569077,5.020338965615519e-5,4.5507426891261574e-5,-3.7810615291400396e-5,3.7810615291400396e-5,5.020338968986884e-5,-0.7531486524112269,1.1031911291340302,235.137952498,false
4.7,-1.7061054525749895,7.655763830111635e-10,-1.7061327580300627,3.537904051615501e-5,4.605723888738716e-5,2.730545507323434e-5,2.730545507323434e-5,3.5379040524438265e-5,0.7717975012457715,0.7681537445755049,238.788055832,false
4.8,-1.7061054535828937,5.16364686630937e-10,-1.706011681645012,4.082439827087135e-5,4.502790042192906e-5,-9.377193788173699e-5,9.377193788173699e-5,4.082439827413695e-5,-2.296958236887066,0.9066467209958881,241.167961362,false
4.9,-1.7061054544794643,2.474007154780593e-10,-1.7060946877581131,3.5463608515777775e-5,4.6313216733628035e-5,-1.0766721351140873e-5,1.0766721351140873e-5,3.546360851664073e-5,-0.30359914857758374,0.7657340823408546,245.071326405,false
5.0,-1.7061054547795405,1.7027344966801953e-10,-1.7061318877008376,3.244912639630434e-5,4.583831987180584e-5,2.643292129711483e-5,2.643292129711483e-5,3.2449126396751085e-5,0.814595775982474,0.7079039215890436,249.902269289,false
5.1,-1.7061054550634496,1.17613593866894e-10,-1.706075770403018,4.431567226222663e-5,4.508351239245772e-5,-2.9684660431517074e-5,2.9684660431517074e-5,4.43156722623827e-5,-0.669845653153159,0.9829684935914721,247.250882716,false
5.2,-1.70610545507166,1.3083120564037753e-10,-1.7061247904586054,3.407671529870111e-5,4.425882358596514e-5,1.9335386945540378e-5,1.9335386945540378e-5,3.407671529895226e-5,0.5674075912514629,0.769941732240419,250.073320867,false
5.3,-1.7061054552771138,7.028615744256416e-11,-1.7060913254879864,3.730658320972878e-5,4.40442278319566e-5,-1.4129789127403924e-5,1.4129789127403924e-5,3.730658320979499e-5,-0.3787478753533798,0.8470254797533474,255.247252199,false
5.4,-1.7061054553293016,5.762743471895606e-11,-1.7061205857084645,5.0054222636135146e-5,4.383195980060226e-5,1.5130379162897611e-5,1.5130379162897611e-5,5.005422263616832e-5,0.3022797751325911,1.1419572125873183,258.429842786,false
5.5,-1.7061054554345916,2.5801926579965083e-11,-1.7060849784600634,4.741188702054858e-5,4.2869004573013706e-5,-2.0476974528227387e-5,2.0476974528227387e-5,4.74118870205556e-5,-0.43189537086658286,1.105971260419577,262.056269045,false
5.6,-1.7061054553956712,6.161313020117014e-11,-1.706091060997926,3.8202641912930245e-5,4.3106384515369866e-5,-1.4394397745087772e-5,1.4394397745087772e-5,3.820264191297993e-5,-0.376790636047531,0.8862409209779317,265.4634465,false
5.7,-1.706105455460228,2.123559581172588e-11,-1.7061597592184854,5.198633256455437e-5,4.296234328500137e-5,5.430375825743461e-5,5.430375825743461e-5,5.198633256455871e-5,1.0445775952746432,1.2100441593627733,269.527832027,false
5.8,-1.706105455506367,9.18733545054134e-12,-1.7061182687565606,3.192984456181571e-5,4.254904425528245e-5,1.2813250193532966e-5,1.2813250193532966e-5,3.192984456181703e-5,0.4012938481027106,0.7504244835734855,272.075825222,false
5.9,-1.7061054555108828,7.527426515444134e-12,-1.7061069552732306,4.021061670203162e-5,4.291527865481401e-5,1.4997623478674171e-6,1.4997623478674171e-6,4.0210616702032326e-5,0.03729767088579908,0.9369767123141121,277.662591071,false
6.0,-1.7061054555107156,8.251044709302574e-12,-1.7061785614048943,4.5753295184944536e-5,4.312712029376591e-5,7.31058941787488e-5,7.31058941787488e-5,4.575329518494528e-5,1.5978279571610756,1.0608938151513503,176.02198525,false
6.1,-1.706105455515893,6.175182503076454e-12,-1.7060749773987567,4.649458670708501e-5,4.271351549651679e-5,-3.0478117136301108e-5,3.0478117136301108e-5,4.649458670708542e-5,-0.6555196915355412,1.0885216579955015,173.967128258,false
6.2,-1.7061054555223112,3.97018860215865e-12,-1.7060953026177117,2.964997606372931e-5,4.085132450694079e-5,-1.0152904599491919e-5,1.0152904599491919e-5,2.9649976063729573e-5,-0.34242538940568773,0.7258020742679144,176.37151666,false
7.5,-1.7061054555320938,1.1338413988623406e-13,-1.7061479377746422,4.483927766444079e-5,3.988206493157219e-5,4.248224254843613e-5,4.248224254843613e-5,4.483927766444079e-5,0.9474336956620094,1.1242967920887235,217.532347745,false
7.6,-1.7061054555319999,1.0126133968562421e-13,-1.7061359896297232,4.774307783452369e-5,3.9073804733242856e-5,3.053409772335591e-5,3.053409772335591e-5,4.774307783452369e-5,0.6395502575092944,1.2218691821916505,216.631228504,false
7.7,-1.7061054555321349,7.06146121518663e-14,-1.706077996442471,3.227434895824471e-5,3.842386396595911e-5,-2.7459089663839364e-5,2.7459089663839364e-5,3.227434895824471e-5,-0.8508022795243635,0.8399558406420955,214.337564108,false
7.8,-1.7061054555319881,7.880490281993853e-14,-1.7060915263969378,3.0366382701831014e-5,3.7730278014713233e-5,-1.3929135050272379e-5,1.3929135050272379e-5,3.0366382701831014e-5,-0.45870247987859575,0.8048279604510041,224.875055833,false
7.9,-1.7061054555319555,5.625593862265612e-14,-1.7060952421314481,2.9116989217140307e-5,3.8253430972244425e-5,-1.0213400507330661e-5,1.0213400507330661e-5,2.9116989217140307e-5,-0.35077117455943335,0.7611602012448699,231.717318205,false
8.0,-1.706105455532066,3.5737386511553273e-14,-1.7060889752374664,3.493703410809984e-5,3.8102337889365164e-5,-1.648029459966338e-5,1.648029459966338e-5,3.493703410809984e-5,-0.4717141858313202,0.9169262581614763,238.440157662,false
8.1,-1.7061054555320223,3.846192940156343e-14,-1.70608401560159,4.242665201603243e-5,3.716427371696018e-5,-2.143993043235426e-5,2.143993043235426e-5,4.242665201603243e-5,-0.5053410866417745,1.14159777045961,248.447496292,false
8.2,-1.706105455532005,2.6125611575958245e-14,-1.7060780478364053,3.123839732842717e-5,3.707032524891733e-5,-2.740769559972378e-5,2.740769559972378e-5,3.123839732842717e-5,-0.8773720146898373,0.8426793430775068,251.478785765,false
8.3,-1.7061054555319866,2.1640326581638762e-14,-1.7061385891364211,3.865011109885012e-5,3.812890852562986e-5,3.313360443457647e-5,3.313360443457647e-5,3.865011109885012e-5,0.8572706130089811,1.0136694857884514,260.196377202,false
8.4,-1.7061054555319533,3.209576982038986e-14,-1.706120008198664,4.222769743006694e-5,3.754953959644002e-5,1.455266671079869e-5,1.455266671079869e-5,4.222769743006694e-5,0.34462373267922747,1.1245862901091455,257.236973143,false
8.5,-1.7061054555319608,1.9575562600460276e-14,-1.7060755773307192,4.221613644034645e-5,3.800352604488236e-5,-2.9878201241562152e-5,2.9878201241562152e-5,4.221613644034645e-5,-0.7077436203519375,1.1108478826540722,261.835705899,false
8.6,-1.7061054555319846,1.5062985863030283e-14,-1.7061415796747952,3.965187234155793e-5,3.677336649216993e-5,3.612414281062293e-5,3.612414281062293e-5,3.965187234155793e-5,0.9110324601938735,1.078276919520026,273.665663134,false
8.7,-1.7061054555319652,1.3911232014917644e-14,-1.706084202684798,4.260925560147104e-5,3.7164295788062695e-5,-2.1252847167252398e-5,2.1252847167252398e-5,4.260925560147104e-5,-0.4987847562049093,1.1465105068708792,265.865376194,false
8.8,-1.7061054555319783,9.103877215070618e-15,-1.7060739036762498,3.584119843906947e-5,3.646523365423031e-5,-3.155185572856212e-5,3.155185572856212e-5,3.584119843906947e-5,-0.880323680643679,0.9828868444645644,278.523239767,false
