eta,sigma_F,seed,success,final_infidelity,median_fitted_curvature,nonpositive_fit_fraction
0.06,0.0001,8,True,7.087645298697876e-06,0.027186348924115165,0.0
0.06,0.0001,9,True,6.812347952178666e-06,0.020370091243867773,0.0
0.06,0.001,0,False,0.0006399529833516993,0.015884095838330864,0.2
0.06,0.001,1,False,0.00021520262172648464,0.01948565719593196,0.2
0.06,0.001,2,False,0.000638042092256741,0.026661075999209066,0.1
0.06,0.001,3,False,0.0012859934039004429,0.026024585609104603,0.225
0.06,0.001,4,False,0.0006702076204022745,0.024087689303937516,0.15
0.06,0.001,5,False,0.0003790667147853255,0.025636853208073903,0.175
0.06,0.001,6,False,0.000969582503996358,0.022540574136101423,0.1
0.06,0.001,7,False,0.00025820856935426795,0.023200305504447755,0.225
0.06,0.001,8,False,0.00036726478838028376,0.018770655112888834,0.175
0.06,0.001,9,False,0.0010788828457001798,0.02544053857881575,0.175
0.35,0.0,0,True,7.787686926774562e-07,0.012559938753873729,0.0
0.35,0.0,1,True,5.912797732976483e-06,0.006742305236777663,0.09090909090909091
0.35,0.0,2,True,2.5135876881576813e-06,0.007651932979297888,0.043478260869565216
0.35,0.0,3,True,6.445652128073132e-06,0.00986459460746602,0.058823529411764705
0.35,0.0,4,True,7.086539522782598e-06,0.013612757863381824,0.0
0.35,0.0,5,True,9.305542692084057e-06,0.010572396316268693,0.0
0.35,0.0,6,True,1.6367811990547489e-06,0.01241340350676469,0.07692307692307693
0.35,0.0,7,True,1.4822878781628468e-06,0.014645218686359892,0.0
0.35,0.0,8,True,7.95153445091179e-06,0.00741525904438148,0.058823529411764705
0.35,0.0,9,True,1.2290507635071002e-06,0.011640594185759402,0.0
0.35,1e-06,0,True,7.573574087316182e-07,0.012560012675948992,0.0
0.35,1e-06,1,True,5.917447680958699e-06,0.00674231431227181,0.09090909090909091
0.35,1e-06,2,True,2.50962348816719e-06,0.007651977088825577,0.043478260869565216
0.35,1e-06,3,True,6.365275821751393e-06,0.009864685079358665,0.058823529411764705
0.35,1e-06,4,True,7.002684363877076e-06,0.013612595052070131,0.0
0.35,1e-06,5,True,9.314053533715505e-06,0.010572715218415556,0.0
0.35,1e-06,6,True,1.649397396386032e-06,0.012413323907132349,0.07692307692307693
0.35,1e-06,7,True,1.5084461457148812e-06,0.014644988289630227,0.0
0.35,1e-06,8,True,7.9771725999378e-06,0.007414415268163494,0.058823529411764705
0.35,1e-06,9,True,1.2749575842518902e-06,0.011638865792232068,0.0
0.35,1e-05,0,True,8.132294540330598e-07,0.012557902320337518,0.0
0.35,1e-05,1,True,6.021859236626792e-06,0.006742450752025324,0.09090909090909091
0.35,1e-05,2,True,2.5804202075874195e-06,0.007649251176300108,0.043478260869565216
0.35,1e-05,3,True,7.480034513684953e-06,0.009860785009464487,0.058823529411764705
0.35,1e-05,4,True,7.806145155109245e-06,0.013609144796274984,0.0
0.35,1e-05,5,True,9.789132264381717e-06,0.010575256895627185,0.0
0.35,1e-05,6,True,1.9462365762890066e-06,0.012413849855736743,0.07692307692307693
0.35,1e-05,7,True,1.5011194345659896e-06,0.014635944395759083,0.0
0.35,1e-05,8,True,8.060509498386547e-06,0.007422347403083763,0.058823529411764705
0.35,1e-05,9,True,1.920913460240481e-06,0.011621952028694782,0.0
0.35,0.0001,0,True,6.960413550183287e-06,0.012793627780839723,0.0
0.35,0.0001,1,True,8.920721604910309e-06,0.006744259475962167,0.09090909090909091
0.35,0.0001,2,True,7.939238492349343e-06,0.007011961938003938,0.043478260869565216
0.35,0.0001,3,True,3.6904367927248496e-06,0.00850177766573911,0.05
0.35,0.0001,4,True,8.467071515327884e-06,0.013545217505297956,0.038461538461538464
0.35,0.0001,5,True,7.012784571303055e-06,0.010094094576571448,0.0
0.35,0.0001,6,True,2.280736173732034e-06,0.01243081501687352,0.07692307692307693
0.35,0.0001,7,True,3.273712567286591e-06,0.014621188182795886,0.0
0.35,0.0001,8,False,0.00012719377315212332,0.01454067931182269,0.1
0.35,0.0001,9,False,8.832292065713565e-05,0.018032020596429426,0.075
0.35,0.001,0,False,0.0005437121264353251,0.012658668109228634,0.25
0.35,0.001,1,False,0.0001385144243291392,0.020747356535757325,0.225
0.35,0.001,2,False,0.00840512156622969,0.012680955608972259,0.175
0.35,0.001,3,False,0.000513494964065353,0.017507243531861755,0.175
0.35,0.001,4,False,0.002108074494736678,0.015536482652157976,0.225
0.35,0.001,5,False,0.0007671972849453979,0.013476271780255476,0.175
0.35,0.001,6,False,0.00045993131744305195,0.013698857907830233,0.25
0.35,0.001,7,False,0.0011336482467771858,0.030391261728405193,0.15
0.35,0.001,8,False,0.00033146555661728305,0.017169551273516024,0.2
0.35,0.001,9,False,0.006008215347270019,0.012730200809599522,0.225
