eta,p_parallel,seed,initial_infidelity,nonlinear_channel_error,quadratic_infidelity,quadratic_absolute_residual,quadratic_relative_residual,success,cycles,steps,final_infidelity,improvement_factor
0.06,0.0,4,5.531271773351332e-06,2.8648015483591396e-06,6.633349849535763e-20,2.864801548359073e-06,0.9999999999999768,True,0,0,5.531271773351332e-06,1.0
0.06,0.0,5,1.0204102240807257e-05,8.258694232993072e-07,-1.236777934022553e-19,8.258694232994309e-07,1.0000000000001497,True,1,1,8.778330796788136e-06,1.1624194254038354
0.06,0.0,6,2.9094434845278183e-05,8.872963503005371e-06,-6.492135859765089e-20,8.872963503005435e-06,1.0000000000000073,True,2,8,8.643849175038465e-06,3.365911905230428
0.06,0.0,7,7.374701755347158e-06,5.193485363975593e-07,5.0118081349206807e-20,5.193485363975092e-07,0.9999999999999035,True,0,0,7.374701755347158e-06,1.0
0.06,0.0,8,1.0471233618092324e-05,6.689067960818474e-07,1.451755085362039e-19,6.689067960817022e-07,0.999999999999783,True,1,2,8.24536315254809e-06,1.2699542063051967
0.06,0.0,9,1.2756692112370072e-05,1.1100083329516082e-06,-1.3660249520101675e-20,1.110008332951622e-06,1.0000000000000124,True,2,8,8.001455608430686e-06,1.5942964301306701
0.06,0.5,0,0.008370500727096386,0.00839430591417042,0.008624719515143629,-0.0002304136009732092,0.027448797235784344,True,2,8,8.676977720456503e-06,964.6792923488118
0.06,0.5,1,0.008321075467383332,0.008732566091918827,0.0083741703302418,0.00035839576167702794,0.04104128819691267,True,2,8,8.548613976999686e-06,973.3829939884345
0.06,0.5,2,0.006898603823053884,0.006975991526420642,0.006629338218265297,0.0003466533081553456,0.04969233503831565,True,2,8,7.722368402285352e-06,893.3274694603169
0.06,0.5,3,0.011939033608574635,0.011857276675286495,0.011798751897250012,5.852477803648323e-05,0.004935768949244761,True,2,8,9.028597251459214e-06,1322.3575352909925
0.06,0.5,4,0.00540804396282647,0.005514879487797311,0.005407517963866913,0.00010736152393039759,0.019467610156841106,True,2,8,8.92458033744381e-06,605.971794565687
0.06,0.5,5,0.010127086650929885,0.009684296188330633,0.009852618409161223,-0.0001683222208305902,0.01738094514637159,True,2,8,7.763679570460536e-06,1304.4184215770194
0.06,0.5,6,0.008460721872138722,0.008750952844869531,0.009209835984013747,-0.00045888313914421545,0.05243807700475125,True,2,8,8.168052332757636e-06,1035.8310068861026
0.06,0.5,7,0.0019443347830259028,0.0019890817638614795,0.001907334301183551,8.174746267792837e-05,0.04109809066834384,True,2,8,8.390457210383229e-06,231.7316844926853
0.06,0.5,8,0.00772173845166092,0.007466150379982603,0.007463317686722833,2.832693259770258e-06,0.0003794047957251108,True,2,8,9.53497060182107e-06,809.8334828831204
0.06,0.5,9,0.003837939347544983,0.0037857025778756446,0.003968736454441787,-0.00018303387656614213,0.04834872069343916,True,2,8,7.155186142371318e-06,536.3856748348747
0.06,1.0,0,0.016690274710924536,0.016756074055420078,0.01724943903028725,-0.0004933649748671727,0.02944394810117136,True,2,8,7.731126447418912e-06,2158.8412535273815
0.06,1.0,1,0.017042767282721572,0.017591902696571585,0.016748340660483606,0.0008435620360879789,0.04795172248493492,True,2,7,8.881728644938303e-06,1918.8570112907296
0.06,1.0,2,0.013912949238191297,0.014021571288857868,0.013258676436530597,0.0007628948523272713,0.05440865624906816,True,2,8,7.636724990811584e-06,1821.8476185709437
0.06,1.0,3,0.023708101615430924,0.023567407234332323,0.02359750379450004,-3.0096560167718056e-05,0.0012770416307770272,True,2,8,8.454879786456981e-06,2804.0731759908094
0.06,1.0,4,0.010641609703876698,0.010791908150529774,0.010815035927733838,-2.3127777204064517e-05,0.0021430665348026686,True,2,8,7.660325599390117e-06,1389.1850373467073
0.06,1.0,5,0.019235045469065015,0.018612213260317076,0.019705236818322446,-0.0010930235580053696,0.05872614625235328,True,2,8,8.557805464926017e-06,2247.6609859734995
0.06,1.0,6,0.01798012040450411,0.01838643334114545,0.018419671968027504,-3.323862688205462e-05,0.0018077800226579397,True,2,8,7.345392354041192e-06,2447.8093936822916
0.06,1.0,7,0.003974082661099965,0.0040410555924693895,0.003814668602367105,0.0002263869901022843,0.0560217460319433,True,2,8,7.682852075363567e-06,517.2665856529463
0.06,1.0,8,0.015391231696991293,0.015038411677378473,0.014926635373445681,0.00011177630393279132,0.0074327200458896075,True,2,7,7.26355541219581e-06,2118.9666524948343
0.06,1.0,9,0.007331977986175298,0.0072637171576077535,0.007937472908883579,-0.0006737557512758252,0.09275633076793993,True,2,8,7.295074498026022e-06,1005.0586855774072
0.1,0.0,0,1.946558033226742e-05,1.616646187562333e-05,-1.7822175196434644e-19,1.616646187562351e-05,1.000000000000011,True,1,2,2.4337518151340554e-06,7.998178043965926
0.1,0.0,1,1.3646315990223368e-05,3.910878978441723e-06,8.367505573622887e-20,3.9108789784416395e-06,0.9999999999999786,True,1,2,8.370486207576188e-06,1.6302895258189407
0.1,0.0,2,4.2747031127043925e-05,1.814956430547773e-05,1.419473587417334e-19,1.814956430547759e-05,0.9999999999999921,True,2,8,7.750553562979601e-06,5.515352004174831
0.1,0.0,3,1.8734162337474827e-05,4.103106619023051e-06,1.7670590859369496e-19,4.103106619022874e-06,0.9999999999999568,True,2,8,9.318718107687031e-06,2.010379766936074
0.1,0.0,4,1.74372818224966e-05,2.1651252675793717e-05,1.5141255900630923e-19,2.1651252675793564e-05,0.999999999999993,True,2,10,8.009755269122731e-06,2.1770055684118823
0.1,0.0,5,2.0176748767697372e-05,6.1192539876426355e-06,-2.0243407606364427e-19,6.119253987642838e-06,1.000000000000033,True,1,2,9.687118951740016e-06,2.08284308969626
0.1,0.0,6,0.00011038414633789407,6.648437785351052e-05,-4.557326682702011e-20,6.648437785351056e-05,1.0000000000000007,True,2,8,8.42742156391685e-06,13.098211060251073
0.1,0.0,7,1.1226359571858691e-05,3.906536659709877e-06,-7.795977013076016e-20,3.906536659709955e-06,1.00000000000002,True,1,1,6.565470340491597e-06,1.7099094184649237
0.1,0.0,8,2.046881615752616e-05,5.0957110900172096e-06,1.674334646295407e-19,5.095711090017042e-06,0.9999999999999671,True,2,10,6.851417532638404e-06,2.987530107458485
0.1,0.0,9,2.907210824959483e-05,8.516227713893322e-06,-5.767521486701788e-20,8.51622771389338e-06,1.0000000000000067,True,2,8,7.623848390936328e-06,3.813311435227048
0.1,0.5,0,0.02265997551357847,0.022724910592100033,0.023957554208732305,-0.0012326436166322716,0.05424195671250655,True,2,10,6.6115161616919774e-06,3427.3493340110767
0.1,0.5,1,0.023997279826565555,0.02458821632395625,0.023261584250671673,0.0013266320732845775,0.05395397762106243,True,2,7,1.3584869498983743e-06,17664.711338125657
0.1,0.5,2,0.01969834046597393,0.019818736029898355,0.01841482838407027,0.0014039076458280848,0.070837395669944,True,2,8,7.98767258446409e-06,2466.092626816843
0.1,0.5,3,0.032939318820398654,0.03273972704911674,0.03277431082569448,-3.458377657773737e-05,0.001056324523593436,True,2,8,9.95729022447156e-06,3308.0605343254183
0.1,0.5,4,0.015295241579717834,0.015469968693548268,0.01502088323296365,0.00044908546058461743,0.029029500284115505,True,2,9,9.411594449504346e-06,1625.1488163648346
0.1,0.5,5,0.026956786311872472,0.026217189550506902,0.027368384469892284,-0.0011511949193853815,0.04390992852867113,True,2,7,9.497140076264455e-06,2838.410942178657
0.1,0.5,6,0.022908138819797887,0.023352489488469495,0.025582877733371527,-0.0022303882449020325,0.09550965630466537,True,2,8,7.226803662641057e-06,3169.885317103805
0.1,0.5,7,0.005584046699084711,0.005668884304532409,0.005298150836620976,0.0003707334679114325,0.0653979598093089,True,2,8,7.982027990516283e-06,699.5774389314727
0.1,0.5,8,0.021137786536523196,0.0207171774303499,0.020731438018674542,-1.4260588324641055e-05,0.0006883461018077597,True,2,7,4.7165663415227325e-06,4481.604838340705
0.1,0.5,9,0.01022075678321398,0.010158684227174695,0.011024267929004966,-0.0008655837018302706,0.08520628089952988,True,2,8,5.880592947293817e-06,1738.0486755026052
0.1,1.0,0,0.0448543958547725,0.04504119795173421,0.04791510841746459,-0.0028739104657303782,0.06380626174308325,True,2,8,7.190739887563691e-06,6237.79980309783
0.1,1.0,1,0.04865235396721749,0.049165222974383575,0.04652316850134335,0.002642054473040223,0.0537382790761837,True,2,8,7.963249623921255e-06,6109.610556608441
0.1,1.0,2,0.039512266255035955,0.039642566038241754,0.03682965676814055,0.0028129092701012007,0.07095679092487829,True,2,8,8.297844358773343e-06,4761.750708575231
0.1,1.0,3,0.0648495681039351,0.06436454579958717,0.065548621651389,-0.0011840758518018302,0.01839639877967452,True,2,7,4.949836595480317e-06,13101.355338305324
0.1,1.0,4,0.029563945039314223,0.02978306303350362,0.03004176646592733,-0.00025870343242371044,0.008686260111415985,True,2,8,9.443392713082144e-06,3130.648691371124
0.1,1.0,5,0.049678547611639645,0.048584860594415774,0.05473676893978458,-0.0061519083453688075,0.12662192028756986,True,2,8,8.527741670094624e-06,5825.5221057943245
0.1,1.0,6,0.04993082705997155,0.05044026211155916,0.05116575546674306,-0.0007254933551839038,0.014383219373034262,True,2,9,6.802006825823437e-06,7340.6023161299945
0.1,1.0,7,0.011501160005947086,0.011639862835904407,0.010596301673241961,0.0010435611626624462,0.08965407731811664,True,2,8,6.623974957820078e-06,1736.2927968755591
0.1,1.0,8,0.04239850204883057,0.04176946789397779,0.041462876037349106,0.00030659185662868654,0.007340094860841886,True,2,8,7.2393695359607164e-06,5856.656693406932
0.1,1.0,9,0.018913276970170347,0.01885676743881189,0.022048535858009945,-0.003191768419198056,0.16926381626941037,True,2,6,9.822768704859098e-06,1925.4527453969656
0.2,0.0,0,0.00024720079386350016,0.0002501189073197208,-7.128870078573857e-19,0.0002501189073197215,1.0000000000000029,True,2,8,7.747977982341947e-06,31.905200870070086
0.2,0.0,1,9.240261197417388e-05,7.072750329388397e-05,3.3470022294491546e-19,7.072750329388364e-05,0.9999999999999952,True,2,8,8.565695065188006e-06,10.78752060060006
0.2,0.0,2,0.0003811768931038073,0.0003019994548662182,5.677894349669336e-19,0.00030199945486621767,0.9999999999999982,True,2,8,7.907206601609485e-06,48.20626452661804
0.2,0.0,3,0.00010243425243258165,6.408958569241077e-05,7.068236343747798e-19,6.408958569241006e-05,0.999999999999989,True,2,8,9.431702106199592e-06,10.86063271286422
0.2,0.0,4,0.00028991849713436716,0.00032538620585787,6.056502360252369e-19,0.0003253862058578694,0.9999999999999981,True,2,10,8.814605612827986e-06,32.89069413524818
0.2,0.0,5,0.000122246605026477,8.8316470301986e-05,-8.097363042545771e-19,8.831647030198681e-05,1.000000000000009,True,2,10,9.101475426953609e-06,13.431515143627065
0.2,0.0,6,0.0011259517165171373,0.0009760962424362874,-1.8229306730808045e-19,0.0009760962424362876,1.0000000000000002,True,2,8,4.9478642777045506e-06,227.56317742803913
0.2,0.0,7,6.807913894023576e-05,5.83933726579626e-05,-3.1183908052304063e-19,5.8393372657962914e-05,1.0000000000000053,True,2,10,7.864037189031503e-06,8.657021489571575
0.2,0.0,8,0.00011911493456769896,7.873783856883524e-05,6.697338585181628e-19,7.873783856883457e-05,0.9999999999999916,True,2,10,7.133165842654332e-06,16.69874739984665
0.2,0.0,9,0.00019507343488202046,0.00013346045852987782,-2.307008594680715e-19,0.00013346045852987806,1.0000000000000018,True,2,8,5.960154895612302e-06,32.729591478508056
0.2,0.5,0,0.0827192072827493,0.08291367720553662,0.09583021683492922,-0.012916539629392598,0.15578297893330062,True,3,11,7.608626921873363e-06,10871.765448894232
0.2,0.5,1,0.09751048423380193,0.09707027965990118,0.09304633700268669,0.004023942657214494,0.04145391021137386,True,2,10,3.7738611081805653e-06,25838.387115633195
0.2,0.5,2,0.08073486484239338,0.08065027410364625,0.07365931353628108,0.006990960567365173,0.08668241546681993,True,2,10,7.85560680197639e-06,10277.355636242044
0.2,0.5,3,0.12657003113495915,0.1253852733204097,0.13109724330277792,-0.005711969982368226,0.04555534977199316,True,2,10,7.225169404045939e-06,17517.932667998437
0.2,0.5,4,0.06252457308689964,0.06268211512446448,0.0600835329318546,0.0025985821926098746,0.04145651734071211,True,3,11,6.394273123377925e-06,9778.214330305234
0.2,0.5,5,0.09496750968677604,0.0931023343588951,0.10947353787956914,-0.016371203520674033,0.17584095644224745,True,2,10,8.675024005755372e-06,10947.23307091377
0.2,0.5,6,0.08253682988213575,0.08309508287584258,0.10233151093348611,-0.01923642805764353,0.23149899358528647,True,2,8,4.580546721244527e-06,18018.990942572596
0.2,0.5,7,0.02365480680950819,0.02397749835378608,0.021192603346483905,0.0027848950073021753,0.11614618698795308,True,2,8,7.71268596023722e-06,3066.999866383855
0.2,0.5,8,0.08325405056820591,0.08204865748480472,0.08292575207469817,-0.0008770945898934485,0.010689932252162504,True,2,10,8.013866408995706e-06,10388.749489853208
0.2,0.5,9,0.03673947043197673,0.036825462755015484,0.04409707171601986,-0.007271608961004379,0.19746144154058226,True,2,7,4.05676565170543e-06,9056.345272626671
0.2,1.0,0,0.15770990365864637,0.15758048825050516,0.19166043366985835,-0.03407994541935319,0.21627008392800776,True,2,10,7.189642921134887e-06,21935.707432011353
0.2,1.0,1,0.1884688664871113,0.1820471262531601,0.1860926740053734,-0.004045547752213302,0.02222253015182148,True,3,13,5.329100177475787e-07,353659.8303850662
0.2,1.0,2,0.15646496578377495,0.15485775737448826,0.1473186270725622,0.007539130301926045,0.04868422757598364,True,2,9,4.295845533819343e-06,36422.39101755257
0.2,1.0,3,0.23863502452272933,0.23605055413157078,0.262194486605556,-0.02614393247398522,0.11075564965381532,True,3,11,7.073763456533211e-06,33735.22821184104
0.2,1.0,4,0.1152860550279152,0.11498475044167894,0.12016706586370932,-0.005182315422030376,0.04506958881176928,True,2,10,5.61661209589337e-06,20525.906553562334
0.2,1.0,5,0.15534870886208316,0.14990481905223016,0.21894707575913833,-0.06904225670690817,0.46057396382201904,True,2,8,8.943972858632687e-06,17369.09439658476
0.2,1.0,6,0.18979002884859902,0.18898922146420946,0.20466302186697224,-0.015673800402762783,0.08293489057909616,True,3,13,4.942264254181872e-07,384014.3284285318
0.2,1.0,7,0.049471227443118285,0.05043339651942697,0.042385206692967844,0.008048189826459128,0.1595805633150042,True,2,9,3.0752779863418845e-06,16086.74977118588
0.2,1.0,8,0.16518534468832774,0.16233399398236145,0.16585150414939642,-0.0035175101670349707,0.021668352270179277,True,2,9,2.6492242562681235e-06,62352.344954375054
0.2,1.0,9,0.06152055032418383,0.062161981659823895,0.08819414343203978,-0.026032161772215887,0.41877947062039717,True,2,10,7.858312961361858e-06,7828.722351307605
0.35,0.0,0,0.002171347141668656,0.002182840146684192,-5.679849043652448e-19,0.0021828401466841923,1.0000000000000002,True,2,9,9.320393009148998e-06,232.9673372718552
0.35,0.0,1,0.0008369560324440584,0.0007728422064113222,5.389149482853421e-19,0.0007728422064113217,0.9999999999999993,True,2,8,8.925382464697318e-06,93.77256781482268
0.35,0.0,2,0.0031605484051764224,0.0029302740173051153,-5.394895774876094e-19,0.0029302740173051157,1.0000000000000002,True,2,8,8.747236917316936e-06,361.31962985013854
0.35,0.0,3,0.0006770830555168473,0.0005754423419784993,-1.6557056894369503e-18,0.000575442341978501,1.0000000000000029,True,2,8,7.515934815793823e-06,90.08633950550497
0.35,0.0,4,0.002582092870134412,0.002698392294680468,1.3884208244529828e-18,0.0026983922946804666,0.9999999999999996,True,3,11,9.790075651083808e-06,263.74595684033983
0.35,0.0,5,0.0007873053154610843,0.0007073262492540535,6.296411773955912e-18,0.0007073262492540472,0.9999999999999911,True,3,13,5.493878524498452e-06,143.3059198433877
0.35,0.0,6,0.008245436725432797,0.00781349292958821,1.3115329899504055e-19,0.00781349292958821,1.0,True,2,10,6.910322054254348e-06,1193.205853605113
0.35,0.0,7,0.000507862507546919,0.00048987906574164,-2.85848451013671e-18,0.0004898790657416428,1.0000000000000058,True,2,10,8.527193917318155e-06,59.55798736035362
0.35,0.0,8,0.0007996458184059363,0.0006960606892093865,4.6878159407842144e-18,0.0006960606892093818,0.9999999999999933,True,2,8,9.103202187732418e-06,87.84225615504272
0.35,0.0,9,0.0013615270031685058,0.0011908949749981888,-2.568552553319444e-19,0.001190894974998189,1.0000000000000002,True,2,7,7.120241310454301e-06,191.21922190606693
0.35,0.5,0,0.20808740016378802,0.20542646887416863,0.2934800390569707,-0.08805357018280205,0.4286378998060768,True,4,16,4.496023643640879e-06,46282.54134252704
0.35,0.5,1,0.27243901949086313,0.2624363355115393,0.28495440707072794,-0.022518071559188668,0.08580393989763872,True,4,17,3.9581474930883155e-06,68829.93116517106
0.35,0.5,2,0.23430548684150207,0.22909969514418366,0.22558164770486078,0.00351804743932288,0.015355967353465052,True,3,12,9.244876095537703e-06,25344.362046625607
