beta,Lmin,Lmax,rho,delta_AICc_ordered_minus_decaying,ordered_chi2,ordered_reduced_chi2,ordered_gof_p,decaying_chi2,decaying_reduced_chi2,decaying_gof_p,decaying_p
2,64,8192,-0.6000000000000001,1045.215359199191,1080.012713626955,56.84277440141869,4.3040157049703726e-217,34.79735442776406,1.8314397067244244,0.014772410267839316,0.1012849978379543
2,64,8192,-0.4,799.7309672431448,829.3896654331422,43.652087654375904,1.2116431933465772e-163,29.65869818999742,1.5609841152630222,0.056305891178742594,0.10158139640063599
2,64,8192,-0.19999999999999996,703.1503393109392,730.9440761492742,38.4707408499618,9.893479169706313e-143,27.793736838335064,1.462828254649214,0.08747939801303221,0.10187848840431477
2,64,8192,0.0,678.8159221422286,706.385126920651,37.17816457477111,1.5938688081093487e-137,27.569204778422524,1.4510107778117118,0.09207727240195036,0.10217684022910895
2,64,8192,0.19999999999999996,711.6475774994892,740.3631066640219,38.966479298106414,9.934980339157011e-145,28.715529164532736,1.5113436402385652,0.07059337096379936,0.10247662154625213
2,64,8192,0.40000000000000013,819.1734871811088,850.9194702941359,44.78523527863873,3.1813534747698526e-168,31.745983113027002,1.6708412164751054,0.03337539349720878,0.10277782973307083
2,64,8192,0.6000000000000001,1083.5596619252362,1122.4024236383534,59.073811770439654,3.723245834504264e-226,38.84276171311719,2.044355879637747,0.00462852495108082,0.10308024729959893
2,64,8192,0.8,1940.7788993068425,2002.2623407424217,105.38222846012745,0.0,61.48344143557915,3.235970601872587,2.249235590077533e-06,0.10338253963489358
4,64,4096,-0.8,931.2729200274692,959.5569538012797,56.44452669419292,4.00216184650079e-193,28.28403377381046,1.663766692577086,0.04172684846497989,0.04413446981632825
4,64,4096,-0.6000000000000001,518.9632766464408,535.3697131837173,31.49233606963043,6.579946927377568e-103,16.40643653727642,0.9650845021927306,0.4952268988852978,0.0441463369450994
4,64,4096,-0.4,391.0474415129758,403.92040196920647,23.76002364524744,2.8083314954430163e-75,12.872960456230668,0.7572329680135688,0.7446481448552671,0.044158520980588756
4,64,4096,-0.19999999999999996,338.2108916492742,349.79599553789,20.57623503164059,5.4372169244556635e-64,11.585103888615835,0.6814766993303433,0.8245838106338423,0.044170849957257834
4,64,4096,0.0,320.8201666514126,332.24538800186605,19.543846353050945,2.3976717447063745e-60,11.425221350453437,0.6720718441443199,0.8336248393621594,0.044183317788476846
4,64,4096,0.19999999999999996,330.11631982463496,342.3283877299424,20.13696398411426,1.9367657861171186e-62,12.212067905307459,0.7183569356063211,0.787128989324761,0.04419596700602885
4,64,4096,0.40000000000000013,372.5591929129224,386.86418162610215,22.756716566241302,1.0288716674556781e-71,14.304988713179725,0.8414699243046897,0.6454076444800685,0.044208930099476865
4,64,4096,0.6000000000000001,482.63142078521753,501.8521608847695,29.520715346162913,7.703915927700062e-96,19.220740099552025,1.1306317705618838,0.31601002935291045,0.044222620999878094
4,64,4096,0.8,845.667202313135,880.5842458966349,51.79907328803735,2.9639278694074945e-176,34.91704358349983,2.0539437402058724,0.006379108938773841,0.044239089497440154
8,64,4096,-0.8,683.9847436346043,696.8907608154561,40.993574165615065,3.9841194366616394e-137,12.906017180851817,0.7591774812265775,0.7424545279107934,0.0206884703466567
8,64,4096,-0.6000000000000001,393.3678395091074,404.2721861335342,23.780716831384364,2.3707214877742177e-75,10.904346624426818,0.6414321543780481,0.8614930540699373,0.02065205322156495
8,64,4096,-0.4,306.1374985872561,317.07295841320007,18.65135049489412,3.335519081808846e-57,10.935459825943926,0.6432623427025839,0.8598993442919671,0.0206151778551028
8,64,4096,-0.19999999999999996,273.40774752349574,285.14422852899344,16.7731899134702,1.2974062082074131e-50,11.7364810054977,0.6903812356175117,0.8158249341396284,0.020578203483311408
8,64,4096,0.0,267.7110290083296,280.9330405614118,16.525472974200696,9.537106647185626e-50,13.222011553082222,0.7777653854754248,0.7212014895856639,0.020541230948324895
8,64,4096,0.19999999999999996,284.2473269260414,299.9243656511434,17.642609744184906,1.1669294378247989e-53,15.677038725101962,0.9221787485354095,0.5468342393743715,0.020504357248377916
8,64,4096,0.40000000000000013,330.9202974647819,350.85991767266955,20.63881868662762,3.267251417013183e-64,19.939620207887597,1.172918835758094,0.2773292386138664,0.020467762622549908
8,64,4096,0.6000000000000001,442.1905627334218,470.8088709918345,27.694639470107912,2.633710911226073e-89,28.61830825841269,1.6834298975536877,0.038212002956923626,0.020431961765916357
8,64,4096,0.8,799.9476925255889,854.7505330027396,50.27944311780821,9.656662890858373e-171,54.80284047715073,3.2236964986559253,7.37007119922719e-06,0.020399484699765727
