AICc,L0,Lmax,Lmin,beta,chi2,delta_AICc_OP_minus_DP,dof,g0,gof_p,heldout1_rms_z,heldout2_rms_z,logL0,model,p,reduced_chi2
23.782973212810624,0.0037771684337365415,8192,128,1,13.782973212810623,4.00408648877789,7,0.23725852478686704,0.05517879583466269,1.9477059880804357,3.7467715211019925,-5.578780641664039,OP,,1.9689961732586603
19.778886724032734,0.20413626583999653,8192,128,1,9.778886724032734,4.00408648877789,7,,0.20145386743036384,2.6979488227847175,2.055506923756007,-1.5889675383265496,DP,0.3377668211407127,1.396983817718962
20.863857729203605,0.003329998435831975,8192,192,1,10.063857729203606,0.3964121073342426,6,0.23492186235315843,0.12198846303805393,2.1903945416655914,2.936542149923609,-5.7047834447100225,OP,,1.6773096215339345
20.467445621869363,0.2000780406867224,8192,192,1,9.667445621869364,0.3964121073342426,6,,0.1393733639716565,2.766227024557849,1.9978901211001254,-1.60904778511005,DP,0.3385632683395466,1.6112409369782272
21.801244585735276,0.0031843636015766803,8192,256,1,9.801244585735278,0.2981608635128197,5,0.23411540710922987,0.08106680380489197,2.284429284014354,2.8768922459757116,-5.749502821044834,OP,,1.9602489171470556
21.503083722222456,0.20662533830682087,8192,256,1,9.503083722222456,0.2981608635128197,5,,0.09060356200192997,2.75401083686132,2.0803777735633133,-1.5768480855437006,DP,0.3373144156414204,1.9006167444444912
22.3247537300146,0.002626317997821663,8192,384,1,8.324753730014598,-0.982091125640423,4,0.23071287358919984,0.0803808143453117,2.594710898208337,2.0156160519046975,-5.942172414537518,OP,,2.0811884325036494
23.306844855655022,0.19376679488797832,8192,384,1,9.306844855655024,-0.982091125640423,4,,0.05387108902930945,2.9225868798914703,22.421174985622347,-1.6410999312126688,DP,0.3397648805868374,2.326711213913756
25.749795346109096,0.0022558064091558086,8192,512,1,7.749795346109096,-1.401592954746544,3,0.22808898762396476,0.05147585164046628,2.8396782340477325,,-6.094247760572757,OP,,2.5832651153696986
27.15138830085564,0.18024258243472072,8192,512,1,9.15138830085564,-1.401592954746544,3,,0.027344361776788662,3.0962167782115957,,-1.7134516552049044,DP,0.342474253395387,3.05046276695188
461.70917330778747,0.004365885417872208,8192,16,2,453.5273551259693,421.120273005057,12,0.6319787971165985,1.6831068062956928e-89,3.070634332059361,17.405461190304994,-5.433934265387453,OP,,37.79394626049744
40.58890030273046,0.5306576224345918,8192,16,2,32.40708212091228,421.120273005057,12,,0.001197030679718767,0.795977166110936,4.509969015183493,-0.6336382445420493,DP,0.10160934298743254,2.70059017674269
167.87879165215924,0.0028456272637472427,8192,32,2,159.47879165215923,141.24238933681332,11,0.6270044196982032,1.7107389170094735e-28,1.3928698103256498,11.560482444410836,-5.861971756357075,OP,,14.498071968378111
26.63640231534593,0.49845090655861257,8192,32,2,18.23640231534593,141.24238933681332,11,,0.0762548658131338,1.1917943517690381,3.404922757144845,-0.6962501767597112,DP,0.10258281076691134,1.6578547559405392
83.48141167023101,0.0021884801275446233,8192,48,2,74.81474500356434,64.29350039318169,10,0.6240794809787902,5.169605896251681e-12,0.59988513803027,8.766002150524296,-6.1245479817745405,OP,,7.481474500356434
19.187911277049327,0.47356247057700457,8192,48,2,10.52124461038266,64.29350039318169,10,,0.3960115084202241,1.4437780127874218,2.6266560034558677,-0.7474714414217237,DP,0.10334484870799299,1.0521244610382658
56.06209378626224,0.0017954825814926047,8192,64,2,47.06209378626224,37.664260804440616,9,0.621944790255161,3.8215085579493973e-07,0.11566679381386429,7.261923818425708,-6.32248144554675,OP,,5.229121531806915
18.397832981821626,0.4617365316388042,8192,64,2,9.397832981821626,37.664260804440616,9,,0.4013900112201399,1.551083143528469,2.418811873736041,-0.7727608284087385,DP,0.10370861791034879,1.0442036646468473
26.220918440408287,0.0013048086864884305,8192,96,2,16.79234701183686,10.755087694653934,8,0.6185788200494363,0.03234546945410525,0.5505964636196481,4.94991795190777,-6.641698849346375,OP,,2.0990433764796075
15.465830745754353,0.4313884498745709,8192,96,2,6.037259317182924,10.755087694653934,8,,0.6430581466219638,1.7906852594272844,1.7826332435098935,-0.8407463189724936,DP,0.10466411536581502,0.7546574146478655
18.31564818307228,0.001082777087316886,8192,128,2,8.31564818307228,3.201384665422953,7,0.61666246274617,0.3055848887742967,0.8741581624364014,3.8600150234550283,-6.828226161034564,OP,,1.1879497404388972
15.114263517649327,0.4148932882497442,8192,128,2,5.114263517649328,3.201384665422953,7,,0.646021335825919,1.9110197464762928,1.544694984777075,-0.8797339285643649,DP,0.10519791721033923,0.730609073949904
15.763085660329974,0.000884731965697961,8192,192,2,4.963085660329974,-0.1461031270791544,6,0.6146289742110493,0.5485563310876298,1.1873151522865912,3.0637648046418895,-7.030225822446916,OP,,0.827180943388329
15.909188787409128,0.412830824694218,8192,192,2,5.109188787409127,-0.1461031270791544,6,,0.5298871632085109,1.9632724135069766,34.79374994368568,-0.8847173953782506,DP,0.10526477069249594,0.8515314645681878
16.5730529088103,0.0008128283577926581,8192,256,2,4.5730529088103005,-0.42584989240463145,5,0.6137955306533948,0.4701691042867151,1.3159753116773456,2.995653945512898,-7.114990592732107,OP,,0.9146105817620601
16.998902801214932,0.424691493890808,8192,256,2,4.998902801214934,-0.42584989240463145,5,,0.4160141054958324,1.9530262917272783,1.6935808860578816,-0.8563922703758277,DP,0.10489346250734799,0.9997805602429868
18.528945746476342,0.0007732664092547578,8192,384,2,4.528945746476342,-0.06504059966899334,4,0.6133134955502413,0.339129048075402,1.4385341028953613,3.663602436522622,-7.164886925473588,OP,,1.1322364366190856
18.593986346145336,0.46710491759928274,8192,384,2,4.5939863461453365,-0.06504059966899334,4,,0.33154813388727533,1.8940130434420592,21.619040713187005,-0.7612013835926856,DP,0.10366683764835902,1.1484965865363341
22.26361007154965,0.0006653030953506506,8192,512,2,4.263610071549651,-0.3257819162828639,3,0.6118908777843538,0.2343699735112141,1.655397958831345,,-7.315267838663524,OP,,1.4212033571832172
22.589391987832514,0.46135574323424894,8192,512,2,4.589391987832514,-0.3257819162828639,3,,0.20445398158587144,2.009870922898442,,-0.7735858562776087,DP,0.10382325416003733,1.5297973292775044
234.1634633370223,0.003227736487121715,4096,16,4,225.7634633370223,213.4190191450779,11,0.8149748062987547,3.247438141406097e-42,15.704374205803216,20.416958353751145,-5.7359741653881295,OP,,20.523951212456574
20.74444419194441,0.6040267085718142,4096,16,4,12.34444419194441,213.4190191450779,11,,0.3383171203925622,1.1649446398673888,0.8655165346394171,-0.5041368625352163,DP,0.04418498418699731,1.1222221992676735
57.354480928776844,0.0020293844246338055,4096,32,4,48.68781426211018,41.75654222413184,10,0.8122151481741426,4.646407499408147e-07,9.022909218160654,11.254963866273,-6.20002277101136,OP,,4.868781426211018
15.597938704645001,0.5753341996325056,4096,32,4,6.931272037978335,41.75654222413184,10,,0.7319169775669017,33.91956641711263,30.352979050139204,-0.5528041902736404,DP,0.04452024765889304,0.6931272037978335
31.79341579767673,0.0016532910983343581,4096,48,4,22.79341579767673,15.894173837472731,9,0.8110441203215477,0.006677327807236216,6.909504644928375,8.22319220637802,-6.404987372601982,OP,,2.5326017552974145
15.899241960203998,0.5777572689707468,4096,48,4,6.899241960203998,15.894173837472731,9,,0.6476090345948516,0.17550360346168742,2.1406896908041446,-0.5486014483910051,DP,0.04449254512372119,0.7665824400226664
21.224668916928444,0.0014140573707551057,4096,64,4,11.796097488357017,4.910261454308799,8,0.8101764365335697,0.16053600435484253,5.608495854165548,6.1235130226097,-6.561292138953814,OP,,1.474512186044627
16.314407462619645,0.5759527338119855,4096,64,4,6.885836034048218,4.910261454308799,8,,0.5489988273829001,0.25853986073747415,2.7340523851999707,-0.5517296810074906,DP,0.04451252476035113,0.8607295042560272
20.010069548178514,0.0012814317522216736,4096,96,4,10.010069548178516,5.617273683147692,7,0.8096413600404774,0.18800355306259955,5.399354379453649,6.520854514238374,-6.659777269745555,OP,,1.4300099354540736
14.392795865030822,0.6156828650562222,4096,96,4,4.392795865030822,5.617273683147692,7,,0.7335850241616576,0.9866823090325341,0.7279423207700199,-0.4850232774729881,DP,0.044096305511676114,0.6275422664329745
20.332009230499256,0.0011993549806486802,4096,128,4,9.532009230499257,6.513294629235851,6,0.8092909780225458,0.14579432303709686,5.652472855719957,8.457794473559739,-6.725971382827863,OP,,1.5886682050832095
13.818714601263405,0.6561399510247279,4096,128,4,3.018714601263406,6.513294629235851,6,,0.806494310983808,2.170322955712547,2.4623161183107647,-0.4213811728150653,DP,0.04371007036535736,0.5031191002105676
19.953732934883934,0.0010180440210460979,4096,192,4,7.953732934883933,4.992735153522286,5,0.8084379775576301,0.1588039973936406,5.441516761599955,10.8420604857053,-6.889872119110848,OP,,1.5907465869767867
14.960997781361648,0.667953134484474,4096,192,4,2.960997781361649,4.992735153522286,5,,0.7059989550624711,2.940697791496485,11.847739185055845,-0.4035372658640502,DP,0.04360368560647265,0.5921995562723298
16.689733304246108,0.0006816054007055389,4096,256,4,2.6897333042461082,1.8796154941071457,4,0.8063997605820692,0.611012344281473,3.756482640327701,7.219780948265422,-7.291059658910227,OP,,0.6724333260615271
14.810117810138962,0.5783256261941322,4096,256,4,0.8101178101389617,1.8796154941071457,4,,0.937086506799963,1.8155639353080928,3.6092713240049634,-0.5476182018235628,DP,0.044441200108633644,0.20252945253474042
18.38817617221273,0.0004009845041514645,4096,384,4,0.3881761722127291,0.31394894656884986,3,0.8037532917278498,0.9426740438284187,2.06742292744597,,-7.82158777441817,OP,,0.12939205740424303
18.07422722564388,0.48840743102554146,4096,384,4,0.07422722564388318,0.31394894656884986,3,,0.9947396669782476,5.038153233679556,,-0.7166053218213237,DP,0.045404696633245416,0.02474240854796106
120.39071214335257,0.0027711668832246378,4096,16,8,111.99071214335257,105.95114284367396,11,0.9071039452247516,7.3287495132032255e-19,11.60913902091167,15.376586519931934,-5.888486790005094,OP,,10.18097383121387
14.439569299678604,0.6318250525046347,4096,16,8,6.039569299678604,105.95114284367396,11,,0.87071105615439,0.6080712825271145,1.1775631300870033,-0.45914273881302914,DP,0.020844694524108885,0.5490517545162367
44.698554033967184,0.0019341802630505828,4096,32,8,36.03188736730052,30.299434945026196,10,0.9060204531840014,8.312055350806591e-05,7.593290277751677,10.280952733888586,-6.248071678926121,OP,,3.603188736730052
14.399119088940989,0.6401927184606202,4096,32,8,5.7324524222743225,30.299434945026196,10,,0.8372181964671292,0.33674175972783027,0.9631317111456824,-0.44598602536200954,DP,0.02080153232789108,0.5732452422274322
27.643859978540466,0.0015812693744135283,4096,48,8,18.643859978540466,13.026095464728527,9,0.905438189448433,0.028397242281739368,5.948685629003063,8.157782892449111,-6.44952735296997,OP,,2.0715399976156075
14.617764513811938,0.6460455438420868,4096,48,8,5.617764513811939,13.026095464728527,9,,0.7774801113533668,0.17708215110494724,28.391427667729584,-0.43688527638109537,DP,0.020773046093311542,0.6241960570902154
25.818430369362236,0.0014393067618258656,4096,64,8,16.38985894079081,12.935049475919586,8,0.9051743005575684,0.037128046176637015,5.650533175401721,8.519802671063077,-6.54359369671053,OP,,2.048732367598851
12.88338089344265,0.6794323448868379,4096,64,8,3.454809464871221,12.935049475919586,8,,0.9026684449876314,0.692774562457892,0.8868156422418357,-0.38649761637174945,DP,0.02062054791235016,0.43185118310890264
21.724358836647912,0.0011831943229057883,4096,96,8,11.724358836647912,8.456561714750718,7,0.9046354163954768,0.10999567724054644,4.779738584439276,8.190691189658756,-6.739537444664228,OP,,1.674908405235416
13.267797121897194,0.6942425000899045,4096,96,8,3.267797121897194,8.456561714750718,7,,0.8591734220591042,1.1644290428885908,22.2418604227472,-0.364933955748928,DP,0.02055670205637501,0.4668281602710277
15.502538810849302,0.0008871671126048007,4096,128,8,4.702538810849301,2.747392870883928,6,0.9038624994080813,0.5824905414085035,3.279468340219196,5.5170225291339365,-7.027477191365405,OP,,0.7837564684748836
12.755145939965374,0.6487896341515664,4096,128,8,1.9551459399653746,2.747392870883928,6,,0.9237772224999589,0.41865369236981664,0.6873953412569762,-0.4326467532636123,DP,0.020751924809292163,0.3258576566608958
14.861461667144194,0.0007063060297322347,4096,192,8,2.8614616671441953,0.9204878306250492,5,0.9032612536638177,0.7213340693186245,2.448562064819955,4.527703450517479,-7.255461944516272,OP,,0.572292333428839
13.940973836519145,0.6417583222207182,4096,192,8,1.9409738365191442,0.9204878306250492,5,,0.8572506861408598,0.3808855019856181,0.8339150194161674,-0.4435434913045027,DP,0.020782740661087245,0.38819476730382885
16.809679462467635,0.000671543175042483,4096,256,8,2.809679462467633,1.0890946774143284,4,0.9031312129289999,0.5901630232143843,2.6859713114739767,7.354924322951351,-7.30593224765319,OP,,0.7024198656169083
15.720584785053306,0.6787385421444645,4096,256,8,1.720584785053307,1.0890946774143284,4,,0.7869750632704209,1.020743121510016,4.027581051935656,-0.38751928869494306,DP,0.020628192928366425,0.43014619626332673
20.41734593909503,0.0005244817969999323,4096,384,8,2.4173459390950276,0.6981808552886406,3,0.9025053190285792,0.49041384976911684,2.555473476358613,,-7.553099836164045,OP,,0.8057819796983425
19.719165083806388,0.6733232047510762,4096,384,8,1.7191650838063892,0.6981808552886406,3,,0.6326813982653066,1.4267454548875198,,-0.3955298198170317,DP,0.020649886632259855,0.573055027935463
