model,sigma,L,Gamma,chi,poles,MPO_bond_dimension,MPO_error,E0,E1,gap,ground_variance,excited_variance,normalized_ground_variance,normalized_excited_variance,discarded_weight,convergence_residual,correlation_ratio,ed_E0,ed_E1,ed_gap,ed_correlation_ratio,ed_energy_relative_error,correlation_ratio_absolute_error,runtime,git_commit
long_range,2.0,64,1.4,64,12,26,"{""max_absolute"":2.1959350327699356e-9,""max_relative"":4.1315078897799463e-7,""rms_relative"":1.4830553177602834e-7}",-104.94251352841137,,,1.0082121661980636e-5,,9.154803138811129e-10,,,1.8964940728949387e-11,0.4608962334183294,,,,,,,4997.538249015808,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,8,1.54,64,16,34,"{""max_absolute"":2.0816681711721685e-17,""max_relative"":4.3903717715005326e-16,""rms_relative"":2.0239724628135877e-16}",-14.269721746714668,,,8.322018629769445e-9,,4.086934470964766e-11,,,8.881784197001252e-16,0.33818704538420485,-14.269721747426738,-13.79312766542249,0.47659408200424735,0.33818653459215425,4.990079100669165e-11,5.107920506008945e-7,198.0160629749298,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,64,1.56,64,12,26,"{""max_absolute"":1.9563988519488706e-9,""max_relative"":2.7012645553327474e-7,""rms_relative"":1.0146514055660403e-7}",-113.88907258969442,,,1.6537951523787342e-5,,1.2750217746747554e-9,,,2.1812329720205526e-11,0.3494772246913544,,,,,,,12959.885194063187,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,64,1.46,64,16,34,"{""max_absolute"":7.90776333303711e-10,""max_relative"":7.907690720178257e-10,""rms_relative"":3.074909114644415e-10}",-107.75812492808456,,,7.780150554026477e-6,,6.700202825386014e-10,,,1.462596710410935e-11,0.24703145758110004,,,,,,,5503.245638847351,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,64,1.01,64,,4,,-81.90770260001545,,,7.836615623091348e-7,,1.168097397104591e-10,,,8.083866909203152e-12,0.3263108271203231,,,,,,,296.28244519233704,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,48,0.99,64,,4,,-60.82413156173735,,,1.1925976650672965e-7,,3.2236072290392666e-11,,,3.4404257220899126e-11,0.4554029263771544,,,,,,,228.11569499969482,5b254486579d4041e900f3266df067a8f85edfc4
nn,,24,1.0,64,,4,,-30.579576597346307,-30.51410337605298,0.06547322129332755,1.248281478183344e-10,2.3146640160121024e-9,1.3349026362963558e-13,2.4859176262851768e-12,,4.551914400963142e-15,0.39832215176066227,,,,,,,242.8138599395752,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,64,1.6,64,12,26,"{""max_absolute"":1.9563988519488706e-9,""max_relative"":2.7012645553327474e-7,""rms_relative"":1.0146514055660403e-7}",-115.86270620702909,,,1.24241596495267e-5,,9.255069559838565e-10,,,3.644129442648136e-11,0.2481958194488219,,,,,,,290.5483829975128,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,32,1.42,64,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-52.95690062391026,,,2.4810879040160216e-7,,8.847020476674573e-11,,,1.1349809980742975e-12,0.3657088640306768,,,,,,,252.5003309249878,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,64,1.42,64,16,34,"{""max_absolute"":7.90776333303711e-10,""max_relative"":7.907690720178257e-10,""rms_relative"":3.074909114644415e-10}",-105.85624284874538,,,1.014127155940514e-5,,9.050226765968857e-10,,,1.8530177392506175e-11,0.37174308383174504,,,,,,,6174.106067895889,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,24,1.52,64,16,34,"{""max_absolute"":6.956102360788918e-13,""max_relative"":1.946358190301128e-10,""rms_relative"":7.76745793951071e-11}",-42.05439373950143,,,3.87810814572731e-8,,2.1927906094919064e-11,,,2.3647750424515834e-13,0.39784884577538987,,,,,,,230.05793404579163,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,32,1.58,32,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-57.4710634886117,,,4.1452118693996454e-5,,1.2550131188541853e-8,,,3.912236090641841e-10,0.31314123882609207,,,,,,,208.08186888694763,5b254486579d4041e900f3266df067a8f85edfc4
nn,,16,1.0,64,,4,,-20.40459447365191,,,1.0031044439529069e-8,,2.4092963273644567e-11,,,4.5145731597528993e-10,0.40080352136022507,-20.40459447475665,-20.306340775217688,0.09825369953896157,0.4007898597107898,5.414178599753538e-11,1.3661649435281475e-5,208.68291401863098,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,64,1.44,64,16,34,"{""max_absolute"":7.90776333303711e-10,""max_relative"":7.907690720178257e-10,""rms_relative"":3.074909114644415e-10}",-106.79554884429233,,,9.211236829287373e-6,,8.076285155943712e-10,,,1.6709300609818456e-11,0.30063692349042775,,,,,,,6647.125044107437,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,16,1.54,32,16,34,"{""max_absolute"":2.7067237340361316e-13,""max_relative"":4.164404413474493e-13,""rms_relative"":2.384603445333114e-13}",-28.319898163479145,,,3.4824984140868764e-7,,4.3421773005463543e-10,,,4.094280470212652e-12,0.35636194160880186,-28.31989818147313,-26.740245687901446,1.5796524935716825,0.35636198839819555,6.353830468262929e-10,4.6789393692847625e-8,200.0877809524536,5b254486579d4041e900f3266df067a8f85edfc4
nn,,24,0.99,64,,4,,-30.428093865563177,,,1.1527845344971865e-10,,1.2450839844761514e-13,,,3.885780586188048e-15,0.42836464681006914,,,,,,,210.95243501663208,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,24,1.58,64,16,34,"{""max_absolute"":6.956102360788918e-13,""max_relative"":1.946358190301128e-10,""rms_relative"":7.76745793951071e-11}",-43.13112797240954,,,3.12675183522515e-8,,1.680783520657881e-11,,,5.486995302561581e-10,0.31782252810866873,,,,,,,215.52808213233948,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,64,1.56,64,16,34,"{""max_absolute"":6.560996190785318e-11,""max_relative"":2.2741813590818206e-10,""rms_relative"":1.1039770919103901e-10}",-113.88907259186041,,,1.6537984265596606e-5,,1.275024298912273e-9,,,2.1813106876322763e-11,0.3494772249283094,,,,,,,9964.757112026215,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,8,1.38,64,16,34,"{""max_absolute"":1.1102230246251565e-15,""max_relative"":1.1884295861105445e-15,""rms_relative"":1.1088955911826598e-15}",-13.129770466786457,,,2.1245227799226996e-9,,1.2323870451977237e-11,,,1.1102230246251565e-15,0.3732867352011364,-13.12977046701196,-12.777637325588314,0.3521331414236464,0.373286591003206,1.7174951554401623e-11,1.4419793042952378e-7,198.24112010002136,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,64,1.57,64,16,34,"{""max_absolute"":6.560996190785318e-11,""max_relative"":2.2741813590818206e-10,""rms_relative"":1.1039770919103901e-10}",-114.37476273011184,,,1.574156885908451e-5,,1.2033379162461201e-9,,,4.506739426091144e-11,0.31937042734622995,,,,,,,323.71414017677307,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,16,1.38,64,16,34,"{""max_absolute"":1.5942802633617248e-13,""max_relative"":1.5933259852848795e-13,""rms_relative"":8.303178676580583e-14}",-26.076411363828743,,,1.3392309483606368e-10,,1.9695174352864955e-13,,,2.103450746915314e-11,0.40561309108107785,-26.07641136383669,-24.72339032416847,1.3530210396682207,0.4056130911070825,3.047743183902356e-13,2.600464288349258e-11,219.80454206466675,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,64,1.6,64,16,34,"{""max_absolute"":6.560996190785318e-11,""max_relative"":2.2741813590818206e-10,""rms_relative"":1.1039770919103901e-10}",-115.86270620905705,,,1.2423890439094976e-5,,9.254869017881017e-10,,,3.616962285235559e-11,0.248195820127632,,,,,,,331.1085011959076,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,32,1.38,64,12,26,"{""max_absolute"":3.1881164375135995e-12,""max_relative"":2.1688410609001813e-9,""rms_relative"":1.037366766481375e-9}",-52.05163479657936,,,2.411024979664944e-7,,8.898831057891486e-11,,,1.6284751325201796e-12,0.45858933517767636,,,,,,,229.55565404891968,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,32,1.46,32,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-53.905058214694904,,,2.781471084745135e-5,,9.572282578866176e-9,,,9.448762883224049e-10,0.29416537524867,,,,,,,208.01183581352234,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,32,1.54,32,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-56.50527395453286,,,4.183202781860018e-5,,1.310179946648274e-8,,,1.3517076347113743e-10,0.37940062548960374,,,,,,,216.98143100738525,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,24,1.46,64,16,34,"{""max_absolute"":1.3103074181231023e-11,""max_relative"":1.3420947604436945e-10,""rms_relative"":4.667881506728346e-11}",-40.44955693896459,,,2.201295501436107e-8,,1.3453980941441763e-11,,,2.9820201863373086e-10,0.30720695871675,,,,,,,219.18882298469543,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,64,1.4249999999999998,64,16,34,"{""max_absolute"":7.90776333303711e-10,""max_relative"":7.907690720178257e-10,""rms_relative"":3.074909114644415e-10}",-106.08873676526794,,,9.986846635001712e-6,,8.873395198024529e-10,,,5.110600831415013e-11,0.3522142839700314,,,,,,,374.8770339488983,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,32,1.54,64,12,26,"{""max_absolute"":4.722298940773584e-12,""max_relative"":1.7332795807236662e-9,""rms_relative"":7.178614507620418e-10}",-56.50527699722746,,,3.7990503187756985e-7,,1.1898631903530254e-10,,,1.3752332606031814e-12,0.3794046331638035,,,,,,,242.5632359981537,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,32,1.4,32,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-52.49866235123277,,,2.7014392344426597e-5,,9.80163954566867e-9,,,1.397543192283024e-10,0.409538608153957,,,,,,,215.9115490913391,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,32,1.427,128,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-53.11985981549103,,,8.758433978073299e-10,,3.1039350144167317e-13,,,3.552713678800501e-15,0.3516532593116312,,,,,,,313.59568309783936,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,64,1.4208,128,16,34,"{""max_absolute"":7.90776333303711e-10,""max_relative"":7.907690720178257e-10,""rms_relative"":3.074909114644415e-10}",-105.89333533617729,,,1.3887984096072614e-7,,1.2385169522814302e-11,,,1.3893330930159209e-12,0.36854312083294843,,,,,,,636.6850960254669,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,16,0.99,64,,4,,-20.303411413248583,,,5.579124717769446e-9,,1.353405820933535e-11,,,5.251654666693639e-10,0.4210696150325606,-20.303411414107078,-20.21529551953009,0.08811589457698688,0.4210540615175898,4.228331285831371e-11,1.5553514970789717e-5,210.69136714935303,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,32,1.4,64,12,26,"{""max_absolute"":3.1881164375135995e-12,""max_relative"":2.1688410609001813e-9,""rms_relative"":1.037366766481375e-9}",-52.49866459429409,,,2.474153006915003e-7,,8.976975522211847e-11,,,1.6997514507011147e-12,0.4095427353202557,,,,,,,229.73097801208496,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,32,1.0,64,,4,,-40.760032493847845,,,3.6679921322502196e-9,,2.2077980851643267e-12,,,6.59472476627343e-14,0.39681767226300496,,,,,,,210.87157702445984,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,16,1.57,64,16,34,"{""max_absolute"":2.7067237340361316e-13,""max_relative"":4.164404413474493e-13,""rms_relative"":2.384603445333114e-13}",-28.680993723310163,,,1.9031176634598523e-10,,2.3135412708139814e-13,,,6.908806859939887e-12,0.32959831114270943,-28.68099372331609,-27.06196739640143,1.6190263269146605,0.3295983111623208,2.066151010458811e-13,1.9611368085037384e-11,220.29564595222473,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,24,1.43,64,16,34,"{""max_absolute"":1.3103074181231023e-11,""max_relative"":1.3420947604436945e-10,""rms_relative"":4.667881506728346e-11}",-39.914126407640815,,,2.372121343796607e-8,,1.488962103600067e-11,,,8.993552569336316e-10,0.34798448889930944,,,,,,,233.92156195640564,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,32,1.43,64,12,26,"{""max_absolute"":3.1881164375135995e-12,""max_relative"":2.1688410609001813e-9,""rms_relative"":1.037366766481375e-9}",-53.19009814274702,,,2.438168849039357e-7,,8.617914775829615e-11,,,1.3115064589896974e-12,0.34583379004416437,,,,,,,250.9827320575714,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,32,1.6,64,12,26,"{""max_absolute"":4.722298940773584e-12,""max_relative"":1.7332795807236662e-9,""rms_relative"":7.178614507620418e-10}",-57.96737366940565,,,3.4198956200270914e-7,,1.0177605256967081e-10,,,1.2949641359227826e-12,0.28594862351464007,,,,,,,228.40446019172668,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,32,1.42,64,12,26,"{""max_absolute"":3.1881164375135995e-12,""max_relative"":2.1688410609001813e-9,""rms_relative"":1.037366766481375e-9}",-52.95690062713982,,,2.481137926224619e-7,,8.847198843924572e-11,,,1.13420384195706e-12,0.36570886431469524,,,,,,,233.08981204032898,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,16,1.4,32,16,34,"{""max_absolute"":1.5942802633617248e-13,""max_relative"":1.5933259852848795e-13,""rms_relative"":8.303178676580583e-14}",-26.30193977250642,,,2.1734649635618553e-7,,3.1417895134615814e-10,,,1.1121770171484968e-11,0.3815328864870269,-26.301939785345215,-24.936818973036246,1.3651208123089695,0.3815329390487953,4.88131171967883e-10,5.256176843770888e-8,203.21128392219543,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,64,1.56395,128,16,34,"{""max_absolute"":6.560996190785318e-11,""max_relative"":2.2741813590818206e-10,""rms_relative"":1.1039770919103901e-10}",-114.08026276057511,,,2.428332663839683e-7,,1.8658948070295886e-11,,,1.755373624234835e-12,0.337181527341488,,,,,,,699.3665211200714,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,16,1.44,32,16,34,"{""max_absolute"":1.5942802633617248e-13,""max_relative"":1.5933259852848795e-13,""rms_relative"":8.303178676580583e-14}",-26.766464571358927,,,1.9380706817173632e-7,,2.705126561715917e-10,,,4.680034138004885e-12,0.33871510008974925,-26.76646458267631,-25.360140192587615,1.4063243900886953,0.3387151415961761,4.2281947814522046e-10,4.150642685107897e-8,201.14405703544617,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,64,1.42,64,12,26,"{""max_absolute"":2.1959350327699356e-9,""max_relative"":4.1315078897799463e-7,""rms_relative"":1.4830553177602834e-7}",-105.8562428759869,,,1.0141236998606473e-5,,9.050195918722364e-10,,,1.8530066370203713e-11,0.37174308718825827,,,,,,,4717.270359992981,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,64,1.427,128,16,34,"{""max_absolute"":7.90776333303711e-10,""max_relative"":7.907690720178257e-10,""rms_relative"":3.074909114644415e-10}",-106.18217929559981,,,1.3699172995984554e-7,,1.2150414139520318e-11,,,1.6264767310758543e-12,0.3447343822018308,,,,,,,609.9922881126404,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,16,1.52,64,16,34,"{""max_absolute"":2.7067237340361316e-13,""max_relative"":4.164404413474493e-13,""rms_relative"":2.384603445333114e-13}",-28.084066479933384,,,2.2089352569309995e-10,,2.800676854041086e-13,,,1.300937135795266e-11,0.3759326936730763,-28.08406647994049,-26.524412898731754,1.5596535812087353,0.37593269370046867,2.5300564512892645e-13,2.7392366153122794e-11,219.97028493881226,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,64,1.38,64,12,26,"{""max_absolute"":2.1959350327699356e-9,""max_relative"":4.1315078897799463e-7,""rms_relative"":1.4830553177602834e-7}",-104.0548802554835,,,8.983712177723646e-6,,8.297187834271542e-10,,,1.7608581259764833e-11,0.5633037617011649,,,,,,,4899.264230012894,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,32,0.99,64,,4,,-40.55826536130839,,,3.5513494367478415e-9,,2.1589106180657697e-12,,,6.661338147750939e-14,0.4367967379324667,,,,,,,219.64419984817505,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,16,1.46,64,16,34,"{""max_absolute"":1.5942802633617248e-13,""max_relative"":1.5933259852848795e-13,""rms_relative"":8.303178676580583e-14}",-27.005085700594147,,,1.1789325071731582e-10,,1.6165823139438174e-13,,,5.037414929631723e-12,0.31984066021833657,-27.005085700600784,-25.570206712351528,1.434878988249256,0.3198406602368099,2.457488646981666e-13,1.8473333973645367e-11,217.81670308113098,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,48,1.01,64,,4,,-61.435362430638975,,,1.1390557119739242e-7,,3.0179227357263364e-11,,,1.7668089213884741e-12,0.34267828944168943,,,,,,,232.3992781639099,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,16,1.43,64,16,34,"{""max_absolute"":1.5942802633617248e-13,""max_relative"":1.5933259852848795e-13,""rms_relative"":8.303178676580583e-14}",-26.648705777003997,,,1.3085355021758005e-10,,1.8426093317576065e-13,,,1.223487977597415e-11,0.34877046283156393,-26.64870577701127,-25.254727640461375,1.3939781365498938,0.3487704628540338,2.7289899034339695e-13,2.2469859306539774e-11,222.85575890541077,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,32,1.46,64,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-53.90506032560834,,,2.2177573555381969e-7,,7.632291614445247e-11,,,7.706272286966964e-10,0.2941695380471177,,,,,,,223.5149281024933,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,8,1.42,64,16,34,"{""max_absolute"":1.1102230246251565e-15,""max_relative"":1.1884295861105445e-15,""rms_relative"":1.1088955911826598e-15}",-13.360051821282527,,,1.8193304640590213e-9,,1.0192842330102127e-11,,,8.881784197001252e-16,0.34930211295391184,-13.36005182147458,-12.954278749807992,0.40577307166658727,0.34930194102305434,1.4375138555967083e-11,1.7193085749545034e-7,192.29861402511597,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,16,1.54,64,16,34,"{""max_absolute"":2.7067237340361316e-13,""max_relative"":4.164404413474493e-13,""rms_relative"":2.384603445333114e-13}",-28.319898181466467,,,2.092974682454951e-10,,2.609639995374555e-13,,,7.702283255639486e-12,0.3563619883743067,-28.31989818147313,-26.740245687901446,1.5796524935716825,0.35636198839819555,2.352175881800587e-13,2.3888835354313187e-11,223.7250599861145,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,24,1.54,64,16,34,"{""max_absolute"":6.956102360788918e-13,""max_relative"":1.946358190301128e-10,""rms_relative"":7.76745793951071e-11}",-42.40662412794215,,,3.668719728011638e-8,,2.0400796950577816e-11,,,1.493360990423298e-12,0.3685762793454495,,,,,,,224.79601001739502,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,32,1.46,64,12,26,"{""max_absolute"":3.1881164375135995e-12,""max_relative"":2.1688410609001813e-9,""rms_relative"":1.037366766481375e-9}",-53.90506032865797,,,2.217789187852759e-7,,7.632401162765154e-11,,,7.706273397189989e-10,0.2941695382589983,,,,,,,219.7738709449768,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,32,1.38,32,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-52.051632620600934,,,2.559623726483551e-5,,9.447293665666699e-9,,,1.192258514137734e-10,0.45858530244950835,,,,,,,215.74105405807495,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,32,1.415,128,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-52.84130975489589,,,9.044924809131771e-10,,3.2393495444161405e-13,,,4.6629367034256575e-15,0.3761587395002915,,,,,,,315.5688190460205,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,16,1.6,32,16,34,"{""max_absolute"":2.7067237340361316e-13,""max_relative"":4.164404413474493e-13,""rms_relative"":2.384603445333114e-13}",-29.05036287727896,,,2.851149929483654e-7,,3.378445615098727e-10,,,1.794564497004103e-12,0.3057551652277296,-29.05036289181218,-27.381541540273815,1.6688213515383659,0.3057551982856254,5.002767401947044e-10,3.305789580965168e-8,199.00634908676147,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,24,1.4,64,16,34,"{""max_absolute"":1.3103074181231023e-11,""max_relative"":1.3420947604436945e-10,""rms_relative"":4.667881506728346e-11}",-39.395019345086034,,,2.43014710576972e-8,,1.5658491745029492e-11,,,1.0680345496894006e-13,0.3961727919882647,,,,,,,227.59453916549683,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,24,1.0,128,,4,,-30.57957659735705,-30.51410337622052,0.06547322113653209,-5.684341886080801e-13,2.3424036044161767e-9,6.078791604259646e-16,2.515709566376097e-12,,3.3306690738754696e-15,0.39832215257753584,,,,,,,271.52666997909546,5b254486579d4041e900f3266df067a8f85edfc4
nn,,64,0.99,64,,4,,-81.09279441200269,,,7.417775123030879e-7,,1.1280000806523956e-10,,,6.2062577299570876e-12,0.4753469521941328,,,,,,,288.15061497688293,486b2673baa11d44a1048fbf9fd36751189889d7
