source_cell_id,model,sigma,L,Gamma,chi,poles,excited,normalized_ground_variance,convergence_residual,reason,recommended_action
stage2-first-pass-f451db451a062d331aa9ca1cfdb3c970,long_range,1.75,32,1.52,64,12,false,1.2070104668404854e-10,1.3222756223285614e-12,finite_chi_limit,chi128_manual_review
stage2-first-pass-fb788adac77c2271498ad9a3e9b240fb,long_range,2.0,48,1.44,64,16,false,3.808912910608345e-10,8.942624418750711e-12,finite_chi_limit,chi128_manual_review
stage2-followup-r1-04ec8ad99efc0f54e41d0095c0be4053,long_range,2.0,48,1.43,64,16,false,4.024858552794046e-10,1.0564771280030527e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-0ca68e073d38b5428d88502c11740422,long_range,1.75,48,1.52,64,16,false,6.271783487171264e-10,7.765454945740657e-12,finite_chi_limit,chi128_manual_review
stage2-followup-r1-0fa1cf230e83e86086d968b92de33506,long_range,1.75,64,1.52,64,16,false,1.2949166090255189e-9,2.2435941993137476e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-0faf4b53a067d9e9ea23988dd50daccb,long_range,2.0,64,1.46,64,16,false,6.700202825386014e-10,1.462596710410935e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-108c0ff99e5548c52ebe9f9ac84860ac,long_range,1.75,32,1.58,64,16,false,1.0737132484096876e-10,1.8038903704109543e-12,finite_chi_limit,chi128_manual_review
stage2-followup-r1-1dadbdf97d52f0552f44e568ca79ac71,long_range,2.0,64,1.4,64,16,false,9.154651188732262e-10,1.8965273795856774e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-2a6cd7a25f49308ac6b6ce283c01d60b,nn,,64,0.99,64,,false,1.1280000806523956e-10,6.2062577299570876e-12,finite_chi_limit,chi128_manual_review
stage2-followup-r1-305e9cf413ded0f582dea86424e073e7,long_range,1.75,32,1.57,64,16,false,1.1060663631439115e-10,1.4913625889789728e-12,finite_chi_limit,chi128_manual_review
stage2-followup-r1-39edf4166a47370dcc4a0275c7581d00,long_range,2.0,64,1.42,64,12,false,9.050195918722364e-10,1.8530066370203713e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-426922945df116288a6804893e3119b1,long_range,2.0,64,1.43,64,16,false,8.647788904160397e-10,1.7724599565838162e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-4700c06b9b334632307c086ca099deca,long_range,1.75,32,1.57,64,12,false,1.1028100655964873e-10,2.109872276889746e-10,finite_chi_limit,chi128_manual_review
stage2-followup-r1-48c9c751248cff66c3b1885319cdc88b,long_range,1.75,48,1.57,64,16,false,5.643228207382757e-10,1.026612128640636e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-5729a9ea20755fb17724248565d94586,long_range,2.0,64,1.4249999999999998,64,16,false,8.873395198024529e-10,5.110600831415013e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-597f05940368b9e54e57535589fa1382,long_range,1.75,64,1.56,64,12,false,1.2750217746747554e-9,2.1812329720205526e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-5998e79400a69ca9b7e1f468417986f5,long_range,2.0,64,1.4,64,12,false,9.154803138811129e-10,1.8964940728949387e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-72d0c8e59107a981a6d013569aada72d,long_range,2.0,48,1.4,64,16,false,4.29909576657608e-10,7.715938998842375e-12,finite_chi_limit,chi128_manual_review
stage2-followup-r1-74173d78403c77191abf3faf0140b811,long_range,2.0,48,1.38,64,16,false,4.099191760817293e-10,6.3160587870925156e-12,finite_chi_limit,chi128_manual_review
stage2-followup-r1-7cb2e443ecc87b419131b9e926da5dcc,long_range,1.75,48,1.56,64,16,false,5.92613900540783e-10,7.041256466777668e-12,finite_chi_limit,chi128_manual_review
stage2-followup-r1-827cd55d683a87ddf3fe455352e7bc7b,long_range,1.75,64,1.56,64,16,false,1.275024298912273e-9,2.1813106876322763e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-8797b91ec52333672051fbb88a0bbc20,nn,,64,1.01,64,,false,1.168097397104591e-10,8.083866909203152e-12,finite_chi_limit,chi128_manual_review
stage2-followup-r1-91521a430a68e550a722d1c1c77e790a,long_range,2.0,64,1.43,64,12,false,8.648733428965763e-10,4.789713070607604e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-96d077bf72b262cc07750d0d9db8c5b5,long_range,2.0,64,1.44,64,16,false,8.076285155943712e-10,1.6709300609818456e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-9dc5974e565ee3a2799f201ab776af30,long_range,1.75,32,1.565,64,16,false,1.1206684614021577e-10,2.22472040789512e-10,finite_chi_limit,chi128_manual_review
stage2-followup-r1-a34eb6a0d23afb39b1b1a9d6142a0e74,long_range,1.75,32,1.58,64,12,false,1.0737504220332026e-10,1.805555704947892e-12,finite_chi_limit,chi128_manual_review
stage2-followup-r1-a6b8151c9f843b618a6a592ae13ab118,long_range,2.0,48,1.42,64,16,false,4.185633819167373e-10,6.194045276686211e-12,finite_chi_limit,chi128_manual_review
stage2-followup-r1-a7689365bd094662fc1928adf226a588,long_range,2.0,64,1.44,64,12,false,8.07636808495351e-10,1.6709300609818456e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-bfdac8c93613eb0b1940c51e8bbf2eda,long_range,1.75,64,1.54,64,12,false,1.343520800102343e-9,2.3199775434079584e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-c5b4db115411c63e2d154eee60974b7a,long_range,1.75,64,1.565,64,16,false,1.2412324502030557e-9,4.527700436796067e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-c5eb44f5c19407a4f2b59a870a53afdc,long_range,2.0,64,1.42,64,16,false,9.050226765968857e-10,1.8530177392506175e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-cfbfa52e74bd0c65c271138044694578,long_range,1.75,32,1.56,64,12,false,1.1402317073357393e-10,1.4014345239843351e-12,finite_chi_limit,chi128_manual_review
stage2-followup-r1-e23f2a8d57d7122639b6c2702c51ca5a,long_range,1.75,32,1.56,64,16,false,1.1401490799724392e-10,1.4016565685892601e-12,finite_chi_limit,chi128_manual_review
stage2-followup-r1-e57ef6cb31b4748f15fc90f8251c49ca,long_range,1.75,64,1.57,64,12,false,1.2033003728974714e-9,4.361344618786234e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-f0db04ed87d2384d14f73dbf41160e3c,long_range,2.0,64,1.46,64,12,false,6.700188723760258e-10,1.4624967903387187e-11,finite_chi_limit,chi128_manual_review
stage2-followup-r1-f4728dd6b892ca710905e91893cf6571,long_range,1.75,48,1.54,64,16,false,6.269089262761537e-10,7.6234574208911e-12,finite_chi_limit,chi128_manual_review
stage2-followup-r1-ff9823552df594e7c7bdee8e8a8ebe8a,long_range,2.0,64,1.38,64,12,false,8.297187834271542e-10,1.7608581259764833e-11,finite_chi_limit,chi128_manual_review
