epsilon,perturbation_seed,threshold,required_k
0.0,503,0.9,15
0.0,503,0.95,15
0.0,503,0.99,15
0.01,503,0.9,15
0.01,503,0.95,15
0.01,503,0.99,15
0.02,503,0.9,15
0.02,503,0.95,15
0.02,503,0.99,15
0.03,503,0.9,15
0.03,503,0.95,15
0.03,503,0.99,15
0.05,503,0.9,15
0.05,503,0.95,15
0.05,503,0.99,15
0.075,503,0.9,15
0.075,503,0.95,15
0.075,503,0.99,15
0.1,503,0.9,15
0.1,503,0.95,15
0.1,503,0.99,15
0.125,503,0.9,15
0.125,503,0.95,15
0.125,503,0.99,33
0.15,503,0.9,15
0.15,503,0.95,15
0.15,503,0.99,34
0.175,503,0.9,15
0.175,503,0.95,15
0.175,503,0.99,36
0.2,503,0.9,15
0.2,503,0.95,15
0.2,503,0.99,37
0.25,503,0.9,15
0.25,503,0.95,28
0.25,503,0.99,40
0.3,503,0.9,15
0.3,503,0.95,34
0.3,503,0.99,40
0.35,503,0.9,21
0.35,503,0.95,35
0.35,503,0.99,40
0.4,503,0.9,33
0.4,503,0.95,36
0.4,503,0.99,40
0.5,503,0.9,35
0.5,503,0.95,38
0.5,503,0.99,40
0.6,503,0.9,37
0.6,503,0.95,40
0.6,503,0.99,40
0.75,503,0.9,38
0.75,503,0.95,40
0.75,503,0.99,40
1.0,503,0.9,40
1.0,503,0.95,40
1.0,503,0.99,40
1.5,503,0.9,40
1.5,503,0.95,40
1.5,503,0.99,40
2.0,503,0.9,40
2.0,503,0.95,40
2.0,503,0.99,40
