eta,sigma_F,seed,success,final_infidelity,median_fitted_curvature,nonpositive_fit_fraction
0.35,0.0001,9,False,8.83229206354641e-05,0.01803202059640275,0.075
0.35,0.001,0,False,0.0005437121264337264,0.012658668109228628,0.25
0.35,0.001,1,False,0.0001385144243266523,0.020747356535764448,0.225
0.35,0.001,2,False,0.00840512156622667,0.012680955608983295,0.175
0.35,0.001,3,False,0.0005134949640662412,0.01750724353186641,0.175
0.35,0.001,4,False,0.0021080744947350794,0.015536482652158026,0.225
0.35,0.001,5,False,0.000767197284946286,0.013476271780255403,0.175
0.35,0.001,6,False,0.00045993131744305195,0.013698857907831014,0.25
0.35,0.001,7,False,0.0011336482467778964,0.030391261728450157,0.15
0.35,0.001,8,False,0.00033146555661799364,0.01716955127342169,0.2
0.35,0.001,9,False,0.006008215347269131,0.012730200809599287,0.225
