sigma,observable,Lmin,Lmax,n,model,limit,p1,p2,chi2,AICc,BIC,LOO_chi2,loo_failures,limit_boot_p16,limit_boot_p84,bootstrap_failures
1.875,Qm,128,2048,7,power,0.856921182917,-0.314494257587,0.238726822895,1.75675678811,15.7567567881,7.59448723528,4.30128472014,0,0.832031491806,0.938171463965,0
1.875,Qm,128,2048,7,marginal,0.926987487796,-1.18182765451,0.117133239614,1.75734342451,15.7573434245,7.59507387167,4.27990230321,0,0.878771742162,1.03633037664,0
1.875,Qm,256,2048,6,power,0.873313619592,-0.285163530471,0.189592105497,1.66513741759,19.6651374176,7.04041582528,14.6391054483,0,0.829651108432,1.52744114687,0
1.875,Qm,256,2048,6,marginal,0.959306177889,-1.82003933192,0.0141318328203,1.68586734467,19.6858673447,7.06114575235,17.2348982133,0,0.875181912699,1.04182526349,0
1.875,Qm,512,2048,5,power,0.826701994182,-0.909216153616,0.494489505639,1.14628407123,31.1462840712,5.97459780854,43.1944066232,0,0.811342519367,1.25630036663,0
1.875,Qm,512,2048,5,marginal,0.856850709149,-0.246114829446,16.566378443,1.15416734685,31.1541673469,5.98248108415,106.452758705,0,0.825600085502,1.02445311017,0
2,Rp,64,2048,8,power,0.25675196634,-0.929489978571,0.134803266513,7.05906546636,19.0590654664,13.2973900914,56.7086901192,0,0.136449800684,0.524036164326,0
2,Rp,64,2048,8,marginal,0.688397633527,-12.8639959752,0.0001,7.11873146556,19.1187314656,13.3570560906,60.6128475824,0,0.449419524629,0.700305553867,0
2,Rp,128,2048,7,power,0.069675399854,-1.11552274544,0.266649076069,6.47052965513,20.4705296551,12.3082601023,36.0733432149,0,-0.00963762005959,0.391644865424,0
2,Rp,128,2048,7,marginal,0.297175975857,-3.45506907955,0.196322045307,6.56743601683,20.5674360168,12.405166464,36.038759858,0,0.142340830896,0.675721523849,0
2,Rp,256,2048,6,power,-0.01877134864,-2.82774367136,0.508354644068,3.9985667481,21.9985667481,9.37384515578,77.0776312849,0,-0.0526911411423,0.076935314594,0
2,Rp,256,2048,6,marginal,0.0765824850239,-0.768271747043,13.9797650235,3.80072577456,21.8007257746,9.17600418225,63.3180823966,0,0.00868739729803,0.265385412047,0
2,Rp,512,2048,5,power,1.94288129864,-2.35293341256,0.02,2.37691788718,32.3769178872,7.20523162449,20.4865088022,0,1.44860635017,2.18095449137,0
2,Rp,512,2048,5,marginal,0.556222976662,-10.6672331554,0.0001,2.64222145821,32.6422214582,7.47053519551,23.8865420017,0,0.431066192423,0.639500906848,0
2,Qm,64,2048,8,power,0.922216745779,-0.273384514293,0.149188738684,8.94867332656,20.9486733266,15.1869979516,56.7329396366,0,0.899204062224,0.96139159529,0
2,Qm,64,2048,8,marginal,1.03844404687,-3.13133328022,0.000436212558248,9.04428744692,21.0442874469,15.282612072,69.8642744055,0,0.986125575356,1.06469676806,0
2,Qm,128,2048,7,power,0.885298653334,-0.304254890721,0.234366071731,8.35540006403,22.355400064,14.1931305112,61.3719594296,0,0.86400591366,0.951111258899,0
2,Qm,128,2048,7,marginal,0.955245432484,-1.20069912554,0.0993837775626,8.39571512653,22.3957151265,14.2334455737,40.4825005277,0,0.911720835589,1.05626980923,0
2,Qm,256,2048,6,power,0.867705568381,-0.395815753193,0.323599689975,6.46443210474,24.4644321047,11.8397105124,115.780058754,0,0.852863603007,0.90261140885,0
2,Qm,256,2048,6,marginal,0.913536376403,-0.572162649659,1.5230860062,6.28402724378,24.2840272438,11.6593056515,90.4589726229,0,0.884453512783,0.994002258604,0
2,Qm,512,2048,5,power,1.49446222256,-0.769119792741,0.02,4.24293503204,34.242935032,9.07124876934,52.8748548465,0,1.43543089877,1.54166476486,0
2,Qm,512,2048,5,marginal,1.04044766713,-3.474737067,0.0001,4.86143897376,34.8614389738,9.68975271106,62.8692335929,0,1.0223793443,1.05733282804,0
2.5,Rp,64,2048,8,power,0.0240210369671,-4.36895474823,1.0337515621,77.3804942828,89.3804942828,83.6188189078,284.011334803,0,0.021687643898,0.0272322444376,0
2.5,Rp,64,2048,8,marginal,0.0393312875088,-0.0718763143519,24.489076939,80.0582019304,92.0582019304,86.2965265554,1693.11880964,0,0.0342356132775,0.0468805484096,0
2.5,Rp,128,2048,7,power,0.0229678645349,-12.6466830652,1.25453907412,77.0297489165,91.0297489165,82.8674793636,1473.54309072,0,0.0207747400208,0.0255099700897,0
2.5,Rp,128,2048,7,marginal,0.0301336093765,-0.0276106530741,58.9307658887,78.8634965275,92.8634965275,84.7012269747,359.272866509,0,0.0254277335724,0.0367300520884,0
2.5,Rp,256,2048,6,power,0.0223087294934,-55423.5049129,2.6714667282,73.099275221,91.099275221,78.4745536287,6842.26171246,0,0.0205289235428,0.0244755286386,0
2.5,Rp,256,2048,6,marginal,0.0222579263098,-0.000985879127441,243.45037266,74.2165095656,92.2165095656,79.5917879733,335.280151555,0,0.0203695092587,0.0257691650232,0
2.5,Rp,512,2048,5,power,0.0233283994959,-524425503787,5,69.2519164071,99.2519164071,74.0802301444,570.99742801,0,-0.556254358873,0.0250878147145,0
2.5,Rp,512,2048,5,marginal,0.0228042203126,-1.36087872227e-05,511.488,69.9181871206,99.9181871206,74.7465008579,521.264399181,0,-0.155335372018,0.02441506317,0
2.5,Qm,64,2048,8,power,0.85622651841,-0.345805437329,0.689086392651,22.1459279578,34.1459279578,28.3842525829,56.2365489522,0,0.854943943255,0.858506148888,0
2.5,Qm,64,2048,8,marginal,0.863541148374,-0.0461159889809,11.7252829961,22.6717871404,34.6717871404,28.9101117654,53.7143564398,0,0.860726723857,0.867958070842,0
2.5,Qm,128,2048,7,power,0.856631910999,-0.271135688104,0.634226705948,22.1008438527,36.1008438527,27.9385742998,154.450792798,0,0.854927183213,0.860306401515,0
2.5,Qm,128,2048,7,marginal,0.863031533581,-0.0424682547163,13.4295107906,22.6619265787,36.6619265787,28.4996570259,5157.74048067,0,0.859086039277,0.870800306525,0
2.5,Qm,256,2048,6,power,0.854797678313,-9.97388460099,1.28971546862,20.0836225281,38.0836225281,25.4589009358,191.464208044,0,0.853952612852,0.856433548675,0
2.5,Qm,256,2048,6,marginal,0.857055972321,-0.00788660804525,116.27471823,20.5565790728,38.5565790728,25.9318574805,589.232732898,0,0.854899683837,0.860970136049,0
2.5,Qm,512,2048,5,power,0.854463231938,-9652.2512084,2.34803424815,19.2435503606,49.2435503606,24.0718640979,260.615032077,0,0.853819829904,0.855383539205,0
2.5,Qm,512,2048,5,marginal,0.85578565605,-0.00284862562078,290.024139707,20.0131542597,50.0131542597,24.841467997,118.27150043,0,0.854336497781,0.857684770041,0
