L,U,Delta,delta,n,E_n,E_n_minus_E0,D_n,Delta_D_n,method
6,12.0,2.0,-0.5,17,-0.07031853283810535,2.3437676311075326,0.00775802408625435,-0.20676724837808813,full_ed
6,12.0,2.0,-0.5,18,-0.07031853283809764,2.3437676311075406,0.007758024086254331,-0.20676724837808813,full_ed
6,12.0,2.0,-0.5,19,8.986003130831421e-16,2.414086163945639,3.0775514138681247e-29,-0.21452527246434247,full_ed
6,12.0,2.0,-0.5,20,5.620113704097413,8.034199868043052,1.0846300178527764,0.8701047453884339,full_ed
6,12.0,2.0,-0.5,21,5.778768495898352,8.19285465984399,1.0791561103865477,0.8646308379222052,full_ed
6,12.0,2.0,-0.5,22,5.867715658843956,8.281801822789594,1.0825910944582646,0.8680658219939221,full_ed
6,12.0,2.0,-0.5,23,5.867715658843958,8.281801822789596,1.082591094458265,0.8680658219939226,full_ed
6,12.0,2.0,-0.5,24,5.941339045227081,8.355425209172719,1.0699581693630436,0.8554328968987011,full_ed
6,12.0,2.0,-0.5,25,5.9413390452270844,8.355425209172722,1.069958169363045,0.8554328968987026,full_ed
6,12.0,2.0,-0.5,26,6.142651076948615,8.556737240894254,1.0639508034096379,0.8494255309452954,full_ed
6,12.0,2.0,-0.5,27,6.1903645040077615,8.6044506679534,1.0573783642842087,0.8428530918198662,full_ed
6,12.0,2.0,-0.5,28,6.190364504007776,8.604450667953413,1.0573783642842085,0.842853091819866,full_ed
6,12.0,2.0,-0.5,29,6.299904424766457,8.713990588712095,1.0569399252984248,0.8424146528340823,full_ed
6,12.0,2.0,-0.5,30,6.29990442476646,8.713990588712099,1.0569399252984246,0.8424146528340821,full_ed
6,12.0,2.0,-0.5,31,6.449249324925165,8.863335488870803,1.0497111919283886,0.8351859194640461,full_ed
6,12.0,2.0,-0.5,32,6.659989505618799,9.074075669564436,1.0063652362533368,0.7918399637889943,full_ed
6,12.0,2.0,-0.5,33,6.65998950561881,9.074075669564449,1.0063652362533362,0.7918399637889937,full_ed
6,12.0,2.0,-0.5,34,6.6809356124829975,9.095021776428636,0.9938264316124181,0.7793011591480756,full_ed
6,12.0,2.0,-0.5,35,6.7037026696675355,9.117788833613174,1.0170120176767012,0.8024867452123587,full_ed
6,12.0,2.0,-0.5,36,6.7528570061366615,9.1669431700823,1.0252109018477973,0.8106856293834548,full_ed
6,12.0,2.0,-0.5,37,6.798574692101646,9.212660856047284,0.9987447042883159,0.7842194318239734,full_ed
6,12.0,2.0,-0.5,38,6.798574692101651,9.21266085604729,0.9987447042883131,0.7842194318239706,full_ed
6,12.0,2.0,-0.5,39,6.808588546860438,9.222674710806077,1.0108440250641944,0.7963187525998519,full_ed
6,12.0,2.0,-0.5,40,6.808588546860442,9.22267471080608,1.0108440250641944,0.7963187525998519,full_ed
6,12.0,2.0,-0.5,41,6.8472627493433444,9.261348913288982,1.0379567524204063,0.8234314799560638,full_ed
6,12.0,2.0,-0.5,42,6.847262749343353,9.261348913288991,1.0379567524204063,0.8234314799560638,full_ed
6,12.0,2.0,-0.5,43,6.903565645890344,9.317651809835983,1.0010925857718187,0.7865673133074762,full_ed
6,12.0,2.0,-0.5,44,6.903658442107367,9.317744606053004,1.0387343898481383,0.8242091173837958,full_ed
6,12.0,2.0,-0.5,45,6.903658442107371,9.31774460605301,1.0387343898481367,0.8242091173837942,full_ed
6,12.0,2.0,-0.5,46,6.966659067259256,9.380745231204894,1.0020842982722546,0.7875590258079121,full_ed
6,12.0,2.0,-0.5,47,7.052677640136307,9.466763804081944,1.011641839105668,0.7971165666413256,full_ed
6,12.0,2.0,-0.5,48,7.052677640136309,9.466763804081948,1.0116418391056672,0.7971165666413247,full_ed
6,12.0,2.0,-0.5,49,7.076470528630834,9.490556692576472,1.0073914073357555,0.792866134871413,full_ed
6,12.0,2.0,-0.5,50,7.076470528630836,9.490556692576474,1.0073914073357542,0.7928661348714117,full_ed
6,12.0,2.0,-0.5,51,7.126035179338119,9.540121343283758,1.0198351388451132,0.8053098663807707,full_ed
6,12.0,2.0,-0.5,52,7.158865176654747,9.572951340600385,0.9937448695012459,0.7792195970369034,full_ed
6,12.0,2.0,-0.5,53,7.158865176654755,9.572951340600394,0.9937448695012452,0.7792195970369027,full_ed
6,12.0,2.0,-0.5,54,7.184170786589715,9.598256950535353,0.991256996225678,0.7767317237613355,full_ed
6,12.0,2.0,-0.5,55,7.204168476687286,9.618254640632925,1.0,0.7854747275356575,full_ed
6,12.0,2.0,-0.5,56,7.210007769051404,9.624093932997042,0.9923982133429409,0.7778729408785984,full_ed
6,12.0,2.0,-0.5,57,7.210007769051405,9.624093932997043,0.992398213342941,0.7778729408785985,full_ed
6,12.0,2.0,-0.5,58,7.389936888469329,9.804023052414967,1.018705824087443,0.8041805516231004,full_ed
6,12.0,2.0,-0.5,59,7.59014964192167,10.004235805867308,1.0180131930944714,0.8034879206301289,full_ed
6,12.0,2.0,-0.5,60,7.596551808779646,10.010637972725284,1.0197967431470931,0.8052714706827506,full_ed
6,12.0,2.0,-0.5,61,7.5965518087796475,10.010637972725286,1.0197967431470971,0.8052714706827546,full_ed
6,12.0,2.0,-0.5,62,7.779746316636964,10.193832480582602,1.008699094206328,0.7941738217419856,full_ed
6,12.0,2.0,-0.5,63,7.817610840431392,10.23169700437703,1.0026647722808701,0.7881394998165276,full_ed
6,12.0,2.0,-0.5,64,7.817610840431395,10.231697004377033,1.0026647722808706,0.7881394998165281,full_ed
6,12.0,2.0,-0.5,65,8.316759113748574,10.730845277694213,0.954192473319613,0.7396672008552705,full_ed
6,12.0,2.0,-0.5,66,8.318680683006637,10.732766846952275,0.9570158204157667,0.7424905479514242,full_ed
6,12.0,2.0,-0.5,67,8.318680683006647,10.732766846952286,0.9570158204157653,0.7424905479514228,full_ed
6,12.0,2.0,-0.5,68,8.39123049044907,10.805316654394709,0.948632168329737,0.7341068958653945,full_ed
6,12.0,2.0,-0.5,69,8.391230490449075,10.805316654394714,0.9486321683297374,0.7341068958653949,full_ed
6,12.0,2.0,-0.5,70,8.395870959688677,10.809957123634316,0.9566191736172444,0.7420939011529019,full_ed
6,12.0,2.0,-0.5,71,8.401825224257477,10.815911388203116,0.9536064279931522,0.7390811555288097,full_ed
6,12.0,2.0,-0.5,72,8.401825224257486,10.815911388203125,0.9536064279931517,0.7390811555288092,full_ed
6,12.0,2.0,-0.5,73,8.490989380847733,10.905075544793371,0.9477829675039647,0.7332576950396222,full_ed
6,12.0,2.0,-0.5,74,10.916670939990125,13.330757103935763,1.0798483667381995,0.865323094273857,full_ed
6,12.0,2.0,-0.5,75,10.916670939990132,13.33075710393577,1.0798483667381962,0.8653230942738537,full_ed
6,12.0,2.0,-0.5,76,10.972998477887526,13.387084641833164,1.0751810551113055,0.860655782646963,full_ed
6,12.0,2.0,-0.5,77,10.97299847788753,13.387084641833168,1.075181055111305,0.8606557826469625,full_ed
6,12.0,2.0,-0.5,78,10.976085024638977,13.390171188584615,1.0758618099019117,0.8613365374375692,full_ed
6,12.0,2.0,-0.5,79,10.976085024638982,13.39017118858462,1.0758618099019133,0.8613365374375708,full_ed
6,12.0,2.0,-0.5,80,11.002944949695816,13.417031113641455,1.089404519974961,0.8748792475106184,full_ed
6,12.0,2.0,-0.5,81,11.005223090387101,13.41930925433274,1.0749960889109296,0.8604708164465871,full_ed
6,12.0,2.0,-0.5,82,11.00522309038711,13.419309254332749,1.0749960889109298,0.8604708164465873,full_ed
6,12.0,2.0,-0.5,83,11.023665004800808,13.437751168746447,1.0768883273715244,0.8623630549071819,full_ed
6,12.0,2.0,-0.5,84,11.04012117260469,13.45420733655033,1.0763241572748596,0.8617988848105171,full_ed
6,12.0,2.0,-0.5,85,11.055273572827062,13.4693597367727,1.0814557448843365,0.866930472419994,full_ed
6,12.0,2.0,-0.5,86,11.230906705723312,13.64499286966895,1.0604982105559027,0.8459729380915602,full_ed
6,12.0,2.0,-0.5,87,11.2416411469857,13.655727310931338,1.0562024989663068,0.8416772265019643,full_ed
6,12.0,2.0,-0.5,88,11.250337904652337,13.664424068597976,1.0620742030622239,0.8475489305978814,full_ed
6,12.0,2.0,-0.5,89,11.25033790465234,13.66442406859798,1.0620742030622234,0.847548930597881,full_ed
6,12.0,2.0,-0.5,90,11.261555440911923,13.675641604857562,1.0685519951712494,0.8540267227069069,full_ed
6,12.0,2.0,-0.5,91,11.287750389450403,13.701836553396042,1.0609388131813224,0.8464135407169799,full_ed
6,12.0,2.0,-0.5,92,11.28775038945041,13.70183655339605,1.0609388131813224,0.8464135407169799,full_ed
6,12.0,2.0,-0.5,93,11.306979822698231,13.72106598664387,1.063405867309871,0.8488805948455285,full_ed
6,12.0,2.0,-0.5,94,11.310449254045139,13.724535417990777,1.0632242495571076,0.8486989770927651,full_ed
6,12.0,2.0,-0.5,95,11.310449254045146,13.724535417990785,1.0632242495571083,0.8486989770927658,full_ed
6,12.0,2.0,-0.5,96,11.322779339382922,13.736865503328561,1.0627124890453217,0.8481872165809792,full_ed
6,12.0,2.0,-0.5,97,11.32277933938293,13.736865503328568,1.062712489045321,0.8481872165809785,full_ed
6,12.0,2.0,-0.5,98,11.715314317109176,14.129400481054814,1.0157760407788996,0.8012507683145571,full_ed
6,12.0,2.0,-0.5,99,11.733866865405492,14.14795302935113,0.9994428173344941,0.7849175448701516,full_ed
6,12.0,2.0,-0.5,100,11.733866865405496,14.147953029351134,0.9994428173344941,0.7849175448701516,full_ed
6,12.0,2.0,-0.5,101,11.756034098319008,14.170120262264646,1.0069948244619402,0.7924695519975977,full_ed
6,12.0,2.0,-0.5,102,11.758683048196632,14.17276921214227,1.0077874629738839,0.7932621905095414,full_ed
6,12.0,2.0,-0.5,103,11.758683048196632,14.17276921214227,1.0077874629738832,0.7932621905095407,full_ed
6,12.0,2.0,-0.5,104,11.769258205722256,14.183344369667894,0.9994662499430595,0.784940977478717,full_ed
6,12.0,2.0,-0.5,105,11.769258205722256,14.183344369667894,0.9994662499430595,0.784940977478717,full_ed
6,12.0,2.0,-0.5,106,11.779959986007377,14.194046149953016,1.007818355675454,0.7932930832111116,full_ed
6,12.0,2.0,-0.5,107,11.779959986007388,14.194046149953026,1.0078183556754539,0.7932930832111114,full_ed
6,12.0,2.0,-0.5,108,11.806961852401168,14.221048016346806,1.0074583406750819,0.7929330682107394,full_ed
6,12.0,2.0,-0.5,109,11.838594221447071,14.25268038539271,1.00494714037448,0.7904218679101376,full_ed
6,12.0,2.0,-0.5,110,11.84274646902881,14.256832632974449,1.0202338937175308,0.8057086212531883,full_ed
6,12.0,2.0,-0.5,111,11.84274646902882,14.256832632974458,1.0202338937175308,0.8057086212531883,full_ed
6,12.0,2.0,-0.5,112,11.893534326272782,14.30762049021842,1.015411871403702,0.8008865989393594,full_ed
6,12.0,2.0,-0.5,113,11.893534326272789,14.307620490218428,1.015411871403702,0.8008865989393594,full_ed
6,12.0,2.0,-0.5,114,11.899416509914833,14.313502673860471,1.0150438507458983,0.8005185782815558,full_ed
6,12.0,2.0,-0.5,115,11.923897282053195,14.337983445998834,1.0090992253641624,0.7945739528998199,full_ed
6,12.0,2.0,-0.5,116,11.923897282053197,14.337983445998836,1.009099225364163,0.7945739528998206,full_ed
6,12.0,2.0,-0.5,117,11.930692189018334,14.344778352963973,1.0086908251437494,0.7941655526794069,full_ed
6,12.0,2.0,-0.5,118,11.93264636331124,14.34673252725688,1.0080601167819048,0.7935348443175623,full_ed
6,12.0,2.0,-0.5,119,11.947262154458492,14.361348318404131,1.007916404460527,0.7933911319961846,full_ed
6,12.0,2.0,-0.5,120,11.947262154458508,14.361348318404147,1.0079164044605284,0.7933911319961859,full_ed
6,12.0,2.0,-0.5,121,11.96470789250938,14.37879405645502,1.0026077846113632,0.7880825121470207,full_ed
6,12.0,2.0,-0.5,122,11.999999999999996,14.414086163945635,0.9999999999999997,0.7854747275356572,full_ed
6,12.0,2.0,-0.5,123,12.000000000000009,14.414086163945647,1.0000000000000009,0.7854747275356584,full_ed
6,12.0,2.0,-0.5,124,12.000000000000012,14.414086163945651,1.0000000000000009,0.7854747275356584,full_ed
6,12.0,2.0,-0.5,125,12.000000000000012,14.414086163945651,0.9999999999999998,0.7854747275356573,full_ed
6,12.0,2.0,-0.5,126,12.033309912115257,14.447396076060896,1.0089218170543308,0.7943965445899883,full_ed
6,12.0,2.0,-0.5,127,12.033309912115264,14.447396076060903,1.0089218170543304,0.7943965445899879,full_ed
6,12.0,2.0,-0.5,128,12.06275180642544,14.47683797037108,1.0045062442035544,0.7899809717392119,full_ed
6,12.0,2.0,-0.5,129,12.062751806425446,14.476837970371085,1.004506244203554,0.7899809717392114,full_ed
6,12.0,2.0,-0.5,130,12.112924019766139,14.527010183711777,1.010769446057067,0.7962441735927246,full_ed
6,12.0,2.0,-0.5,131,12.112924019766139,14.527010183711777,1.0107694460570673,0.7962441735927248,full_ed
6,12.0,2.0,-0.5,132,12.138326273325236,14.552412437270874,1.0050547379379942,0.7905294654736517,full_ed
6,12.0,2.0,-0.5,133,12.138326273325239,14.552412437270878,1.0050547379379937,0.7905294654736512,full_ed
6,12.0,2.0,-0.5,134,12.162720585511927,14.576806749457566,1.0042073162318652,0.7896820437675227,full_ed
6,12.0,2.0,-0.5,135,12.16272058551193,14.57680674945757,1.0042073162318648,0.7896820437675223,full_ed
6,12.0,2.0,-0.5,136,12.162981671953808,14.577067835899447,1.0062388648429375,0.791713592378595,full_ed
6,12.0,2.0,-0.5,137,12.16298167195381,14.577067835899449,1.0062388648429363,0.7917135923785938,full_ed
6,12.0,2.0,-0.5,138,12.16539704803704,14.579483211982678,1.0115647839835091,0.7970395115191666,full_ed
6,12.0,2.0,-0.5,139,12.177207194548835,14.591293358494474,1.0044993988930804,0.7899741264287379,full_ed
6,12.0,2.0,-0.5,140,12.206650163368666,14.620736327314305,1.0052090550121495,0.790683782547807,full_ed
6,12.0,2.0,-0.5,141,12.243171302813856,14.657257466759495,0.9994987252024139,0.7849734527380714,full_ed
6,12.0,2.0,-0.5,142,12.243171302813863,14.657257466759502,0.9994987252024143,0.7849734527380718,full_ed
6,12.0,2.0,-0.5,143,12.249999719493491,14.66408588343913,1.0024073087634813,0.7878820362991388,full_ed
6,12.0,2.0,-0.5,144,12.27913907033199,14.693225234277628,0.999475330899647,0.7849500584353045,full_ed
6,12.0,2.0,-0.5,145,12.279139070332006,14.693225234277644,0.9994753308996503,0.7849500584353079,full_ed
6,12.0,2.0,-0.5,146,14.804500864436694,17.21858702838233,1.1225092458986012,0.9079839734342587,full_ed
6,12.0,2.0,-0.5,147,14.825056782466252,17.23914294641189,1.1237159956391527,0.9091907231748102,full_ed
6,12.0,2.0,-0.5,148,14.825056782466264,17.239142946411903,1.1237159956391523,0.9091907231748098,full_ed
6,12.0,2.0,-0.5,149,15.129037648357519,17.543123812303158,1.9582934910803602,1.7437682186160177,full_ed
6,12.0,2.0,-0.5,150,15.365149857429241,17.779236021374878,1.9252772461865133,1.7107519737221708,full_ed
6,12.0,2.0,-0.5,151,15.397570125296898,17.811656289242535,1.9362732364681527,1.7217479640038102,full_ed
6,12.0,2.0,-0.5,152,15.3975701252969,17.81165628924254,1.936273236468155,1.7217479640038125,full_ed
6,12.0,2.0,-0.5,153,15.405605383418475,17.819691547364112,1.9411427253292084,1.726617452864866,full_ed
6,12.0,2.0,-0.5,154,15.40560538341849,17.819691547364126,1.9411427253292075,1.726617452864865,full_ed
6,12.0,2.0,-0.5,155,15.474242534421478,17.888328698367115,1.1299437375496488,0.9154184650853063,full_ed
6,12.0,2.0,-0.5,156,15.482892866201528,17.896979030147165,1.9342856248150455,1.719760352350703,full_ed
6,12.0,2.0,-0.5,157,15.482892866201537,17.896979030147175,1.9342856248150446,1.7197603523507021,full_ed
6,12.0,2.0,-0.5,158,15.524571286680793,17.93865745062643,1.1036063338531579,0.8890810613888154,full_ed
6,12.0,2.0,-0.5,159,15.5245712866808,17.938657450626437,1.1036063338531683,0.8890810613888258,full_ed
6,12.0,2.0,-0.5,160,15.576088798400985,17.99017496234662,1.1392769808457357,0.9247517083813932,full_ed
6,12.0,2.0,-0.5,161,15.576088798401011,17.99017496234665,1.1392769808457244,0.9247517083813819,full_ed
6,12.0,2.0,-0.5,162,15.592939859699857,18.007026023645494,1.9197427420701445,1.705217469605802,full_ed
6,12.0,2.0,-0.5,163,15.621541493435313,18.03562765738095,1.867757514726771,1.6532322422624286,full_ed
6,12.0,2.0,-0.5,164,15.626728304008006,18.040814467953645,1.0518745190618826,0.8373492465975401,full_ed
6,12.0,2.0,-0.5,165,15.655863762066051,18.069949926011688,1.7949124085305852,1.5803871360662427,full_ed
6,12.0,2.0,-0.5,166,15.655863762066053,18.06994992601169,1.794912408530652,1.5803871360663095,full_ed
6,12.0,2.0,-0.5,167,16.057554486772606,18.471640650718243,1.0940450206996322,0.8795197482352897,full_ed
6,12.0,2.0,-0.5,168,16.078336359320666,18.492422523266303,1.346388957800868,1.1318636853365256,full_ed
6,12.0,2.0,-0.5,169,16.07833635932067,18.492422523266306,1.3463889578008663,1.1318636853365238,full_ed
6,12.0,2.0,-0.5,170,16.1475707700762,18.561656934021837,1.05264344750069,0.8381181750363476,full_ed
6,12.0,2.0,-0.5,171,16.14757077007621,18.561656934021848,1.0526434475006923,0.8381181750363498,full_ed
6,12.0,2.0,-0.5,172,16.164709671356388,18.578795835302024,1.0297108624425992,0.8151855899782567,full_ed
6,12.0,2.0,-0.5,173,16.19039544904655,18.60448161299219,1.0665592620190452,0.8520339895547027,full_ed
6,12.0,2.0,-0.5,174,16.21631942670731,18.63040559065295,1.1198864977036282,0.9053612252392857,full_ed
6,12.0,2.0,-0.5,175,16.216319426707322,18.63040559065296,1.11988649770361,0.9053612252392675,full_ed
6,12.0,2.0,-0.5,176,16.25899908554667,18.673085249492306,1.012090363703062,0.7975650912387195,full_ed
6,12.0,2.0,-0.5,177,16.258999085546673,18.67308524949231,1.0120903637030647,0.7975650912387222,full_ed
6,12.0,2.0,-0.5,178,16.264450618563323,18.67853678250896,0.984181752527888,0.7696564800635455,full_ed
6,12.0,2.0,-0.5,179,16.272059875431694,18.68614603937733,1.1445511822177499,0.9300259097534074,full_ed
6,12.0,2.0,-0.5,180,16.293808747662347,18.707894911607983,0.996329297493233,0.7818040250288905,full_ed
6,12.0,2.0,-0.5,181,16.293808747662354,18.70789491160799,0.9963292974932334,0.7818040250288909,full_ed
6,12.0,2.0,-0.5,182,16.342422526064414,18.75650869001005,1.025741366287824,0.8112160938234816,full_ed
6,12.0,2.0,-0.5,183,16.35493823153213,18.769024395477768,0.9843509069633439,0.7698256344990014,full_ed
6,12.0,2.0,-0.5,184,16.35493823153213,18.769024395477768,0.9843509069633434,0.7698256344990009,full_ed
6,12.0,2.0,-0.5,185,16.36319039429901,18.777276558244647,1.0665702124480827,0.8520449399837402,full_ed
6,12.0,2.0,-0.5,186,16.363190394299014,18.77727655824465,1.0665702124480858,0.8520449399837433,full_ed
6,12.0,2.0,-0.5,187,16.37032765480356,18.784413818749197,1.037384153271605,0.8228588808072625,full_ed
6,12.0,2.0,-0.5,188,16.381317948099774,18.79540411204541,1.635116948007365,1.4205916755430226,full_ed
6,12.0,2.0,-0.5,189,16.381317948099777,18.795404112045414,1.6351169480073495,1.420591675543007,full_ed
6,12.0,2.0,-0.5,190,16.57909212562966,18.993178289575297,1.816613341607841,1.6020880691434984,full_ed
6,12.0,2.0,-0.5,191,16.72243355052919,19.136519714474826,1.153399595552382,0.9388743230880394,full_ed
6,12.0,2.0,-0.5,192,16.722433550529193,19.13651971447483,1.1533995955523468,0.9388743230880043,full_ed
6,12.0,2.0,-0.5,193,16.795831523312724,19.20991768725836,0.9999999999999998,0.7854747275356573,full_ed
6,12.0,2.0,-0.5,194,16.807082481738494,19.22116864568413,1.2007023523702158,0.9861770799058733,full_ed
6,12.0,2.0,-0.5,195,16.835286482567618,19.249372646513255,1.2332358825059493,1.0187106100416068,full_ed
6,12.0,2.0,-0.5,196,16.835286482567625,19.24937264651326,1.2332358825059375,1.018710610041595,full_ed
6,12.0,2.0,-0.5,197,16.85841561012998,19.272501774075618,1.0152154277816068,0.8006901553172643,full_ed
6,12.0,2.0,-0.5,198,16.85841561012998,19.272501774075618,1.0152154277816055,0.800690155317263,full_ed
6,12.0,2.0,-0.5,199,16.894269665894576,19.308355829840213,1.013219229290491,0.7986939568261484,full_ed
6,12.0,2.0,-0.5,200,16.93350947511077,19.347595639056408,0.9971148625274675,0.782589590063125,full_ed
6,12.0,2.0,-0.5,201,16.933509475110778,19.347595639056415,0.9971148625274674,0.7825895900631249,full_ed
6,12.0,2.0,-0.5,202,16.935819336738586,19.349905500684223,1.008614673200159,0.7940894007358166,full_ed
6,12.0,2.0,-0.5,203,17.026000557928477,19.440086721874113,1.4116727802054365,1.197147507741094,full_ed
6,12.0,2.0,-0.5,204,17.034981564916485,19.449067728862122,1.4807848451663777,1.2662595727020352,full_ed
6,12.0,2.0,-0.5,205,17.034981564916492,19.44906772886213,1.4807848451663914,1.266259572702049,full_ed
6,12.0,2.0,-0.5,206,17.03555096951819,19.449637133463828,1.0103564662484892,0.7958311937841467,full_ed
6,12.0,2.0,-0.5,207,17.104858848227032,19.51894501217267,1.0142254704494964,0.7997001979851539,full_ed
6,12.0,2.0,-0.5,208,17.104858848227043,19.51894501217268,1.0142254704494973,0.7997001979851548,full_ed
6,12.0,2.0,-0.5,209,17.15153893627685,19.565625100222487,1.017010765547063,0.8024854930827205,full_ed
6,12.0,2.0,-0.5,210,17.151538936276857,19.565625100222494,1.017010765547065,0.8024854930827225,full_ed
6,12.0,2.0,-0.5,211,17.197022620823045,19.611108784768682,1.2999641547106964,1.0854388822463539,full_ed
6,12.0,2.0,-0.5,212,17.215143335755517,19.629229499701154,0.9997416213005287,0.7852163488361862,full_ed
6,12.0,2.0,-0.5,213,17.21514333575553,19.629229499701168,0.9997416213005268,0.7852163488361843,full_ed
6,12.0,2.0,-0.5,214,17.21936597209844,19.633452136044077,1.0198881257966037,0.8053628533322612,full_ed
6,12.0,2.0,-0.5,215,17.284994966464374,19.69908113041001,1.0460185692398234,0.8314932967754809,full_ed
6,12.0,2.0,-0.5,216,17.284994966464392,19.69908113041003,1.0460185692398247,0.8314932967754822,full_ed
6,12.0,2.0,-0.5,217,17.43492691848896,19.849013082434595,0.9964629752395265,0.781937702775184,full_ed
6,12.0,2.0,-0.5,218,19.035730278106257,21.449816442051894,1.9920888570628597,1.7775635845985172,full_ed
6,12.0,2.0,-0.5,219,19.035730278106268,21.449816442051905,1.9920888570628599,1.7775635845985174,full_ed
6,12.0,2.0,-0.5,220,19.040257124012538,21.454343287958174,1.9916335256828581,1.7771082532185156,full_ed
6,12.0,2.0,-0.5,221,19.042743440915714,21.45682960486135,1.9917671725517672,1.7772419000874247,full_ed
6,12.0,2.0,-0.5,222,19.04325266008424,21.457338824029875,1.9924621465060586,1.777936874041716,full_ed
6,12.0,2.0,-0.5,223,19.043252660084242,21.45733882402988,1.9924621465060603,1.7779368740417179,full_ed
6,12.0,2.0,-0.5,224,19.043289638139345,21.457375802084982,1.9920655341904696,1.7775402617261271,full_ed
6,12.0,2.0,-0.5,225,19.044315202458336,21.458401366403972,1.9912072544249386,1.7766819819605961,full_ed
6,12.0,2.0,-0.5,226,19.044315202458343,21.45840136640398,1.9912072544249382,1.7766819819605957,full_ed
6,12.0,2.0,-0.5,227,19.061259751276857,21.475345915222494,1.9917207766198963,1.7771955041555538,full_ed
6,12.0,2.0,-0.5,228,19.064667720406824,21.47875388435246,1.9913974676986579,1.7768721952343154,full_ed
6,12.0,2.0,-0.5,229,19.06466772040683,21.478753884352468,1.9913974676986559,1.7768721952343134,full_ed
6,12.0,2.0,-0.5,230,20.32486775703039,22.738953920976027,1.955246357222021,1.7407210847576784,full_ed
6,12.0,2.0,-0.5,231,20.333412532713236,22.747498696658873,1.9554932497476436,1.740967977283301,full_ed
6,12.0,2.0,-0.5,232,20.333412532713243,22.74749869665888,1.9554932497476405,1.740967977283298,full_ed
6,12.0,2.0,-0.5,233,20.358231616469148,22.772317780414784,1.952843850130009,1.7383185776656664,full_ed
6,12.0,2.0,-0.5,234,20.36002833369099,22.774114497636628,1.952282854745155,1.7377575822808125,full_ed
6,12.0,2.0,-0.5,235,20.360028333690995,22.77411449763663,1.9522828547451563,1.7377575822808138,full_ed
6,12.0,2.0,-0.5,236,20.376846090127295,22.79093225407293,1.9505436281390276,1.736018355674685,full_ed
6,12.0,2.0,-0.5,237,20.37684609012731,22.790932254072946,1.9505436281390276,1.736018355674685,full_ed
6,12.0,2.0,-0.5,238,20.376907962440907,22.790994126386543,1.950773357356097,1.7362480848917545,full_ed
6,12.0,2.0,-0.5,239,20.38703653177148,22.801122695717115,1.9507102243605976,1.736184951896255,full_ed
6,12.0,2.0,-0.5,240,20.395842505228195,22.809928669173832,1.9510228112283203,1.7364975387639778,full_ed
6,12.0,2.0,-0.5,241,20.3958425052282,22.809928669173836,1.9510228112283212,1.7364975387639787,full_ed
6,12.0,2.0,-0.5,242,20.479343273285536,22.893429437231173,1.9441372035599152,1.7296119310955727,full_ed
6,12.0,2.0,-0.5,243,20.532100001340538,22.946186165286175,1.9411803486508608,1.7266550761865183,full_ed
6,12.0,2.0,-0.5,244,20.532100001340545,22.946186165286182,1.9411803486508583,1.7266550761865158,full_ed
6,12.0,2.0,-0.5,245,20.5474412706546,22.961527434600235,1.935094567610372,1.7205692951460294,full_ed
6,12.0,2.0,-0.5,246,20.56821397281917,22.982300136764806,1.9328676073966784,1.718342334932336,full_ed
6,12.0,2.0,-0.5,247,20.568213972819187,22.982300136764824,1.9328676073966813,1.7183423349323388,full_ed
