sample,gamma0,d1,d2,d3,d4,d5
43,-0.9906618699019043,0.23863060532074054,0.7622955922626806,0.9143257155085701,0.8937630246061452,0.9740545257193253
44,-1.20599736805444,0.19599021953971701,0.5633561465062062,0.6741232933867155,0.6904536523191409,0.9206410728704686
45,-1.2421988617292063,0.15598017575782558,0.5450869582587217,0.6839119708406165,0.7610118104433807,0.8139437544696432
46,-1.0667101490124007,0.2148043707047436,0.6220429978506006,0.7253574156321749,0.7328841834314099,0.828413932458631
47,-1.2101080122011443,0.15279300916107572,0.5513393146367893,0.6747977407922218,0.7372877549484249,0.8229999880037134
48,-1.1014837262310633,0.1610343201478744,0.6456658825692191,0.7209548943653447,0.6898316497874716,0.8474648622175917
49,-1.2343297939531737,0.21603350075234734,0.5260809750167061,0.6332358846663445,0.6753829958612487,0.7884761508594249
50,-1.2461453349965002,0.13266674807974746,0.5813586774365932,0.7197956470333752,0.8403368383376721,0.7760545435197476
51,-1.0480611325251126,0.1535447063709682,0.6829992053690127,0.7712277842549903,0.769242744550742,0.8447862257200158
52,-1.2146008300212396,0.26774511850575194,0.5171202387205376,0.6466149599966203,0.6647091621745849,0.806546799223646
53,-1.2382285363305576,0.2010700438327839,0.46929456753335513,0.6387868864545008,0.7216008745427367,0.7242945442550341
54,-1.2386911665524347,0.2758616975296755,0.45439545272254783,0.706317297975215,0.7166032424352985,0.8061439260731647
55,-1.05473324732856,0.2406071632588267,0.6132496403405223,0.7991453561975835,0.8280893674500186,0.9050679712524389
56,-1.0700064912906722,0.20339330427107075,0.5727188294063882,0.646236735633215,0.8735586657802425,0.9482252461761306
57,-1.0460814834830892,0.1407870144549671,0.6224475055969255,0.7490844370104434,0.8264383337533158,0.765297713046565
58,-1.1278697267248896,0.18217706377348283,0.4882559085009135,0.6655630479873761,0.6872857733332737,0.8645364323137921
59,-1.0879933725126212,0.1438099106696929,0.5234004309970514,0.7405209256357846,0.780772377934377,0.8110570009118895
60,-1.1658789402064085,0.12306284193694345,0.5614815170186399,0.7191468481449467,0.7807437905985766,0.895644838922994
61,-1.0809975090343817,0.1898643419953728,0.5974901081810046,0.7351969484352202,0.823035657718747,0.9700067219659535
62,-1.0557197995657421,0.21637015639606827,0.6414207584526554,0.7702756895808607,0.8264103166617317,0.9113828902450847
63,-0.9106592579276328,0.10883139099978786,0.7068142181879564,0.8356030300454272,0.9348546880661747,1.0102053467597223
64,-1.1930354505832632,0.15148910841694846,0.5117137095667721,0.6033847766165841,0.71481375210484,0.8051046156621725
65,-1.126466128545462,0.1716731142340823,0.6663821866227567,0.7218751874517985,0.8590557698965475,0.9126250454577343
66,-1.091778705044784,0.1842051841220595,0.6864434162484615,0.7958982456471406,0.7852791359761271,0.8708403427944422
67,-1.1858708717582305,0.236268578641992,0.4686121619455106,0.6959320344087757,0.8665344875237561,0.8609924895358076
68,-1.1150570744044603,0.11802851070928741,0.601607003961871,0.7380260261579297,0.9434106794555672,0.9333147825380862
69,-1.0942897201916568,0.053358436691651,0.7132999109785404,0.768842330985179,0.9181231353532293,0.9210671197391144
70,-1.2184937028526295,0.08799388855631346,0.6789552507693698,0.6794165594117674,0.743823353608489,0.7641289705143651
71,-0.9643869962296533,0.2944235886677878,0.609671935321937,0.7576130289195082,0.8454320872053879,0.9300217841724943
72,-1.1350068284229309,0.1489134004665625,0.6816406520158789,0.6695670371878178,0.6995112379578977,0.8755027978755374
73,-1.0600226091211775,0.20625905717260773,0.645007231987845,0.8156646893814715,0.8247384020339971,0.909177433478739
74,-1.1422128899486053,0.2248744184521689,0.5237302529692364,0.6556560685101798,0.7565142990492119,0.7621141927142449
75,-1.015596945284419,0.1870396334592866,0.7046458662666092,0.8228610685283929,0.8339015237151401,0.9584780965981963
76,-1.1668622102234372,0.15902622001570416,0.4845542603173772,0.7169632752038002,0.811622514999747,0.861683172918245
77,-1.186542681986274,0.19384397013876953,0.5504559877029187,0.6893017720127457,0.7314794028497629,0.7865542205543957
78,-1.048450979010061,0.232567754544842,0.6367501268573709,0.7515457373848189,0.8806158663563063,0.8984022878115681
79,-1.0484053284579375,0.19840754206713468,0.5665492842377865,0.6642761096262674,0.7681950175027521,0.7832154241728918
80,-0.9732242619190343,0.24068029780017225,0.6164212005396114,0.8632922692956803,0.8774588112854685,0.9180097423910293
81,-1.1879585152624983,0.14645043609069755,0.5129953538791168,0.7183502827791877,0.7185424625636707,0.7855819706309053
82,-1.1556933485026777,0.18314864650914014,0.42851456226130397,0.6538581676631479,0.7326287292207615,0.744132394262583
83,-1.1439808107747433,0.15774468639703754,0.5998766951149178,0.7605320577446624,0.8220981662464578,0.8518338413566383
84,-0.9958347008294781,0.2386285549533793,0.5602313066942679,0.8419054691524299,0.8522281077277771,0.8900755131994833
85,-1.2776008611024166,0.15904490088767995,0.47727056349839847,0.705865824580233,0.7460044816256127,0.7911181417172993
86,-0.9976192771691235,0.18236925001823961,0.6744071353231816,0.912754141350809,0.8990620836681069,0.9686067641763945
87,-1.1415793998253028,0.24229721047859645,0.5530953465042703,0.6917928726730144,0.7055368552333954,0.8043373650462134
88,-1.093177855066924,0.21380837335190997,0.6341415363237192,0.7981679684680657,0.807872049583519,0.8742575765559937
89,-1.1212470547582454,0.08572604211736634,0.6108279844004006,0.5926199608639977,0.7909449751975216,0.8722411828179623
90,-1.0822393171356224,0.23202639389883728,0.6617591653661783,0.8262269093634474,0.8714896220647944,0.9409500034644362
91,-1.1647691459857041,0.05611799212120995,0.6495124831029851,0.700718458339578,0.796988265241188,0.8706172964682086
92,-1.2134261633231924,0.1528455771064539,0.5226945126061608,0.6310207133540612,0.698803338928102,0.7073206891690541
93,-1.348525902222965,0.1306386460571404,0.5023870824627995,0.557928150139717,0.7331377776042878,0.7743857901954984
94,-1.1801156805612936,0.17045592559902661,0.48123656038541757,0.7208766703058233,0.777467255893237,0.816705357728853
95,-1.0797585721298013,0.15758950237892275,0.6878862011728553,0.7949414446077617,0.7985780202353338,0.9222362570195315
96,-1.0276195707209705,0.15165663674221164,0.6614905106653012,0.7889227601479273,0.8577095308385677,0.8845439307075563
97,-1.0520110439203445,0.09568819925490266,0.601012666036536,0.756335375147815,0.7469148432747811,0.8205456965013539
98,-1.0769907095908138,0.24132982265145062,0.5584194618919706,0.7587207740622702,0.8151253948784157,0.771971839095191
99,-1.1458248274022473,0.08699055645455907,0.6258166039724221,0.7011677770762473,0.8120427526235939,0.8077948897122318
100,-1.2229526213389041,0.13498711148115736,0.5077660668342003,0.6852516664054012,0.6981926101603326,0.7933604554117374
