run_kind,stage,Lx,Ly,boundary,J,h,beta_index,beta,replicas,warmup_sweeps,measurement_sweeps_per_replica,bin_size,qmc_energy_per_site,qmc_within_mcse,qmc_between_mcse,qmc_final_mcse,qmc_relative_mcse,qmc_calibration_ratio,peps_energy_per_site,peps_statistical_se,peps_minus_qmc,combined_statistical_se,statistical_z,precision_pass,calibration_pass,cutoff_pass,complete_pass,passed,wall_seconds
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,14,1.4,32,20000,1048576,4096,-1.8345236654792405,4.041881060494467e-5,4.0778105811004884e-5,4.0778105811004884e-5,2.2228171038803276e-5,0.9897303039451807,-1.8348095306968843,0.00012681520149315564,-0.00028586521764384365,0.00013321016944393987,-2.1459714287365057,true,true,true,true,true,435.914327588
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,15,1.5,32,20000,1048576,4096,-1.8351144748926043,3.8999738407886896e-5,4.3226041031223445e-5,4.3226041031223445e-5,2.3554956174465982e-5,0.9008213286881417,-1.8351371389210498,0.00010864368042459398,-2.2664028445529283e-5,0.00011692707094353437,-0.19383046425984657,true,true,true,true,true,452.881343087
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,16,1.6,32,20000,1048576,4096,-1.8354401230812645,3.8172939573046705e-5,4.2123056049679387e-5,4.2123056049679387e-5,2.294983939817381e-5,0.9024200687662881,-1.83543618842517,6.763912715571347e-5,3.934656094495281e-6,7.968314359606558e-5,0.04937877594841223,true,true,true,true,true,483.654483028
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,17,1.7,32,20000,1048576,4096,-1.8356010377407,3.729622188978759e-5,4.2753272443130544e-5,4.2753272443130544e-5,2.32911572635371e-5,0.8612134269379108,-1.8356498509744765,2.9692550134630097e-5,-4.881323377659008e-5,5.205276013905571e-5,-0.9377645613064237,true,true,true,true,true,498.757765949
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,18,1.8,32,20000,1048576,4096,-1.835703385704111,3.620123583340637e-5,3.408929311518016e-5,3.620123583340637e-5,1.9720634670791793e-5,1.0578448102329694,-1.835679818200657,3.7525085721726705e-5,2.3567503453891803e-5,5.214078570839572e-5,0.45199747440892435,true,true,true,true,true,508.3032177
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,19,1.9,32,20000,1048576,4096,-1.8357676259780966,3.573736222031666e-5,3.159844867769753e-5,3.573736222031666e-5,1.9467258118399273e-5,1.1336018581588396,-1.835764733514914,2.5691144965607882e-5,2.8924631825244518e-6,4.4013565955396026e-5,0.06571753775769305,true,true,true,true,true,454.749095821
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,20,2.0,32,20000,1048576,4096,-1.8358727301657183,3.5311964255720634e-5,3.392380259658684e-5,3.5311964255720634e-5,1.9234429312827766e-5,1.0325965716919334,-1.8358170540433891,2.1191569350451223e-5,5.567612232915131e-5,4.1182732196058524e-5,1.351928814826907,true,true,true,true,true,544.383338234
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,21,2.1,32,20000,1048576,4096,-1.835877647002512,3.4584243632792115e-5,3.508415193209219e-5,3.508415193209219e-5,1.9110288743574527e-5,0.9899778146868388,-1.8358609080711208,7.784298563995755e-6,1.6738931391202527e-5,3.5937348551716425e-5,0.46578092335092564,true,true,true,true,true,488.490788104
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,22,2.2,32,20000,1048576,4096,-1.8358869780193654,3.430826972717953e-5,3.43747821481358e-5,3.43747821481358e-5,1.8723800843786587e-5,1.0020108500729834,-1.8358590713770924,1.0315722891503168e-5,2.790664227303452e-5,3.5889271189396956e-5,0.7775761766173507,true,true,true,true,true,545.839856448
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,23,2.3,32,20000,1048576,4096,-1.8359112152586725,3.354631039860158e-5,2.5148687218724876e-5,3.354631039860158e-5,1.8272294498661274e-5,1.3245013610829546,-1.835881920760326,4.249261174433138e-6,2.9294498346432718e-5,3.3814363248298335e-5,0.8663329878881255,true,true,true,true,true,586.111362964
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,24,2.4,32,20000,1048576,4096,-1.8358939943214452,3.298456584067413e-5,3.404166077366879e-5,3.404166077366879e-5,1.854228015286402e-5,0.9608881871341196,-1.8358865428581754,3.2910364657511187e-6,7.451463269747549e-6,3.420037410977318e-5,0.21787665964794817,true,true,true,true,true,594.273369347
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,25,2.5,32,20000,1048576,4096,-1.835905848979916,3.241219788829379e-5,3.413124671816297e-5,3.413124671816297e-5,1.8590957012924877e-5,0.941480064544066,-1.835893741836513,1.948474889642807e-6,1.2107143402939613e-5,3.41868184675275e-5,0.35414653792483314,true,true,true,true,true,627.14905345
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,26,2.6,32,20000,1048576,4096,-1.8358447234218058,3.202841702496329e-5,2.934953155017063e-5,3.202841702496329e-5,1.7446147060447443e-5,1.0900400031694035,-1.835898698733821,3.2167284781872616e-7,-5.397531201523087e-5,3.2030032321962804e-5,-1.68514697308689,true,true,true,true,true,655.969576316
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,27,2.7,32,20000,1048576,4096,-1.835883928780195,3.121540705812693e-5,2.9709257530437062e-5,3.121540705812693e-5,1.7002930614936638e-5,1.0553654923799398,-1.8358976899181796,1.0025862656269367e-6,-1.376113798468026e-5,3.1231503598523464e-5,-0.4406172101598992,true,true,true,true,true,765.815422392
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,28,2.8,32,20000,1048576,4096,-1.8359262278037374,3.126161959427083e-5,3.6773239768146725e-5,3.6773239768146725e-5,2.0029802511257454e-5,0.848814108230456,-1.8358988218621508,9.078102666546428e-7,2.740594158656684e-5,3.678444348533564e-5,0.7450416260203148,true,true,true,true,true,821.404734343
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,29,2.9,32,20000,1048576,4096,-1.835907351970663,3.0838008797184246e-5,3.0959658227118034e-5,3.0959658227118034e-5,1.6863409906761326e-5,0.9922989661650551,-1.8359000692833771,4.631224970467434e-7,7.282687285892209e-6,3.096312193541259e-5,0.23520519994991151,true,true,true,true,true,836.124447515
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,30,3.0,32,20000,1048576,4096,-1.8358746148149265,3.0485565288697478e-5,2.4887642456752756e-5,3.0485565288697478e-5,1.6605472423164754e-5,1.2191553104652897,-1.8359008589399162,2.676829640277515e-7,-2.624412498963835e-5,3.048674048075109e-5,-0.8608373534129873,true,true,true,true,true,867.406401787
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,31,3.1,32,20000,1048576,4096,-1.835971721045441,3.0317439838442507e-5,3.448408555953052e-5,3.448408555953052e-5,1.8782470973950815e-5,0.8824844520991498,-1.8359014348648899,1.1351711020282703e-7,7.028618055104907e-5,3.448427240078193e-5,2.0382097593410538,true,true,true,true,true,893.636287692
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,32,3.2,32,20000,1048576,4096,-1.8358499578200789,3.002428013009461e-5,3.617860736739057e-5,3.617860736739057e-5,1.970673431850046e-5,0.8328010464088242,-1.835901307984129,1.6652271886853834e-7,-5.135016405022341e-5,3.6178990600343e-5,-1.4193365596478689,true,true,true,true,true,896.39768863
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,33,3.3,32,20000,1048576,4096,-1.8358808729684934,2.940162741950211e-5,3.644417736636995e-5,3.644417736636995e-5,1.9851057823508023e-5,0.8114553461441423,-1.8359016799440555,8.309278552794123e-8,-2.0806975562059904e-5,3.6444272092092034e-5,-0.5709258099457216,true,true,true,true,true,918.116083086
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,34,3.4,32,20000,1048576,4096,-1.8359514538856043,2.845113933098256e-5,2.5853056619715916e-5,2.845113933098256e-5,1.549667300340029e-5,1.0929884079043954,-1.8359017563106155,6.296813154844071e-8,4.9697574988849524e-5,2.8451209011509044e-5,1.7467649606294737,true,true,true,true,true,928.601116157
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,35,3.5,32,20000,1048576,4096,-1.8358799904585066,2.8374312720657264e-5,2.7223036579626525e-5,2.8374312720657264e-5,1.545542893224238e-5,1.0424852230652994,-1.8359018311367823,4.224276049303857e-8,-2.184067827570857e-5,2.8374344165468683e-5,-0.7697333248776362,true,true,true,true,true,950.878785008
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,36,3.6,32,20000,1048576,4096,-1.8358713499373795,2.8209251692416007e-5,2.8182820416770607e-5,2.8209251692416007e-5,1.536559285234132e-5,1.000769130504843,-1.8359018512268235,5.8405017814986615e-8,-3.050128944392938e-5,2.82093121538293e-5,-1.0812489605418811,true,true,true,true,true,950.809164896
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,37,3.7,32,20000,1048576,4096,-1.8359040603444186,2.7900780205482845e-5,2.8367648003347285e-5,2.8367648003347285e-5,1.5451596091587415e-5,0.9748069610498489,-1.8359019120183162,3.751283573791991e-8,2.1483261023469424e-6,2.836767280646508e-5,0.07573148904401253,true,true,true,true,true,976.432025062
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,38,3.8,32,20000,1048576,4096,-1.8358881111991998,2.782148574553515e-5,2.628337717865406e-5,2.782148574553515e-5,1.515423819993158e-5,1.0616758478363468,-1.8359019390800926,1.828338570961299e-8,-1.3827880892769429e-5,2.7821491753161056e-5,-0.49702154778232965,true,true,true,true,true,984.258149705
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,39,3.9,32,20000,1048576,4096,-1.8359550712964534,2.7193458903141536e-5,2.804181207642818e-5,2.804181207642818e-5,1.5273691886494015e-5,0.9678683241121814,-1.8359019826876724,4.659499742500916e-9,5.308860878106003e-5,2.8041812463545417e-5,1.893194630342659,true,true,true,true,true,996.040519534
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,40,4.0,32,20000,1048576,4096,-1.83592435218395,2.674068060883245e-5,3.1365608265916783e-5,3.1365608265916783e-5,1.7084368551789935e-5,0.8504098822029068,-1.8359019721673298,1.182878897236532e-8,2.238001662013822e-5,3.136561049638913e-5,0.7135208359076783,true,true,true,true,true,1025.0487499
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,41,4.1,32,20000,1048576,4096,-1.8359045195870252,2.644591837725609e-5,2.3560793393989197e-5,2.644591837725609e-5,1.4404844094618237e-5,1.1250005074879073,-1.8359019916896762,2.8855109288975536e-9,2.527897349002828e-6,2.644591853467496e-5,0.09558742857383976,true,true,true,true,true,908.800907813
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,42,4.2,32,20000,1048576,4096,-1.8359112879349926,2.6483696803710967e-5,2.8141674312895245e-5,2.8141674312895245e-5,1.5328449962606095e-5,0.9356203861614347,-1.8359019908883445,2.9495430172001234e-9,9.297046648093499e-6,2.8141674467466788e-5,0.33036579464528165,true,true,true,true,true,1055.684153299
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,43,4.3,32,20000,1048576,4096,-1.8358647720758263,2.564495693045279e-5,2.5746377530418718e-5,2.5746377530418718e-5,1.4024114369440779e-5,0.9852295936090936,-1.8359019989266903,9.63470729175898e-10,-3.722685086393618e-5,2.574637754844603e-5,-1.4459063529961742,true,true,true,true,true,1060.999325548
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,44,4.4,32,20000,1048576,4096,-1.8359081128781547,2.5774132266226798e-5,2.4621487297856763e-5,2.5774132266226798e-5,1.4038901013308705e-5,1.044885941541514,-1.835901996092675,2.4424642268379035e-9,6.116785479681752e-6,2.5774132381955845e-5,0.23732265315607826,true,true,true,true,true,1081.908545872
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,45,4.5,32,20000,1048576,4096,-1.83594863620071,2.5254890667528424e-5,2.696070221869911e-5,2.696070221869911e-5,1.4684889155990366e-5,0.9302555324262753,-1.8359020002136746,7.179294537692241e-10,4.663598703547045e-5,2.6960702228257886e-5,1.729776422017325,true,true,true,true,true,1092.1860272
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,46,4.6,32,20000,1048576,4096,-1.8359449402145511,2.52649782794058e-5,2.785329147266581e-5,2.785329147266581e-5,1.5171093022762891e-5,0.9072168963740057,-1.8359020014234062,4.0611896341599693e-10,4.293879114491972e-5,2.785329147562655e-5,1.5416056368955162,true,true,true,true,true,1132.134491886
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,47,4.7,32,20000,1048576,4096,-1.8358937240027444,2.489755635839701e-5,2.3018874399507948e-5,2.489755635839701e-5,1.3561545547480608e-5,1.0893912058713062,-1.8359020000040769,8.146480927029041e-10,-8.276001332463423e-6,2.4897556371724654e-5,-0.3324021526008958,true,true,true,true,true,1133.895287991
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,48,4.8,32,20000,1048576,4096,-1.8358775400246437,2.4840630052544414e-5,2.324560712289056e-5,2.4840630052544414e-5,1.353065741640424e-5,1.0550008599447114,-1.835902002221947,1.8308986575499947e-10,-2.4462197303343203e-5,2.4840630053219154e-5,-0.9847655736160803,true,true,true,true,true,1055.290685325
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,49,4.9,32,20000,1048576,4096,-1.8359149550296632,2.4450832053549996e-5,2.074729410653572e-5,2.4450832053549996e-5,1.3318063555484758e-5,1.1785469300253766,-1.8359020023393484,1.5218241369256258e-10,1.2952690314760318e-5,2.445083205402359e-5,0.5297443574166157,true,true,true,true,true,1171.48935645
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,50,5.0,32,20000,1048576,4096,-1.8359051091671095,2.3939044828327108e-5,2.3820886542195794e-5,2.3939044828327108e-5,1.3039369359992399e-5,1.001955923645495,-1.8359020023347674,1.459270795892674e-10,3.106832342059107e-6,2.393904482877188e-5,0.12978096512543663,true,true,true,true,true,1204.073967487
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,51,5.1,32,20000,1048576,4096,-1.8359118252992914,2.3811667489205292e-5,2.606438104422855e-5,2.606438104422855e-5,1.4196967787371553e-5,0.9132221541661577,-1.8359020025898687,1.0663947874902505e-10,9.822709422735443e-6,2.60643810444467e-5,0.37686332953716073,true,true,true,true,true,1213.26509599
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,52,5.2,32,20000,1048576,4096,-1.8359106278763377,2.3834733652458662e-5,2.6191450971512274e-5,2.6191450971512274e-5,1.4266190616156977e-5,0.9071437289035524,-1.8359020027594664,4.584396974195351e-11,8.625116871385785e-6,2.6191450971552396e-5,0.3293103876052486,true,true,true,true,true,1233.728474806
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,53,5.3,32,20000,1048576,4096,-1.8358859389457738,2.320375898651092e-5,2.4558801527590208e-5,2.4558801527590208e-5,1.3377084603465442e-5,0.946860294255085,-1.8359020028515518,1.9663922387500434e-11,-1.606390577801875e-5,2.4558801527598082e-5,-0.6540997434246476,true,true,true,true,true,1242.130835292
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,54,5.4,32,20000,1048576,4096,-1.8359121111808037,2.291556901528162e-5,1.9398044749029528e-5,2.291556901528162e-5,1.2481844242828711e-5,1.179396747317155,-1.8359020028737414,1.3608204143595135e-11,1.010830706227317e-5,2.291556901528566e-5,0.4411108908328001,true,true,true,true,true,1255.171950987
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,55,5.5,32,20000,1048576,4096,-1.8359439830346869,2.2827252861389728e-5,2.470653572172973e-5,2.470653572172973e-5,1.3457129384139246e-5,0.9220571983556725,-1.8359020028689492,1.613675211835633e-11,4.198016573764285e-5,2.4706535721735e-5,1.6991522490428221,true,true,true,true,true,1166.568013661
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,56,5.6,32,20000,1048576,4096,-1.8358793770628363,2.277230577713242e-5,2.0119853024646123e-5,2.277230577713242e-5,1.2404031583798872e-5,1.1246072905068316,-1.8359020028972222,8.714484066985784e-12,-2.262583438583654e-5,2.2772305777134087e-5,-0.9935680034893691,true,true,true,true,true,1488.961636364
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,57,5.7,32,20000,1048576,4096,-1.8358867581475948,2.275428847320274e-5,2.266656418972525e-5,2.275428847320274e-5,1.2394167762374276e-5,1.0047760686370617,-1.835902002897905,1.459192002079799e-11,-1.5244750310117183e-5,2.2754288473207418e-5,-0.6699726219990346,true,true,true,true,true,1769.006526238
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,58,5.8,32,20000,1048576,4096,-1.8358753386242608,2.2376717722577073e-5,2.4293100009333686e-5,2.4293100009333686e-5,1.3232434413296312e-5,0.9235609700302267,-1.8359020029096653,5.769914678791207e-12,-2.666428540454291e-5,2.429310000933437e-5,-1.0976073615264184,true,true,true,true,true,1807.550037082
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,59,5.9,32,20000,1048576,4096,-1.8358748082387315,2.2010938768388917e-5,2.334385193068066e-5,2.334385193068066e-5,1.2715383328929636e-5,0.9472879467125087,-1.8359020029193693,2.8079057440148893e-12,-2.7194680637832036e-5,2.334385193068083e-5,-1.164961152023504,true,true,true,true,true,1810.329368785
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,60,6.0,32,20000,1048576,4096,-1.8359125338494628,2.183337017049446e-5,2.0128672945820526e-5,2.183337017049446e-5,1.1892380365591374e-5,1.0788174904924233,-1.8359020029248503,1.3410511428821293e-12,1.0530924612561776e-5,2.18333701704945e-5,0.4823316112137929,true,true,true,true,true,2096.415863928
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,61,6.1,32,20000,1048576,4096,-1.8359143016768247,2.182277661230837e-5,2.7033518374825927e-5,2.7033518374825927e-5,1.4724825853872904e-5,0.7980571976372066,-1.8359020029240207,1.4473599209152129e-12,1.2298752803951984e-5,2.7033518374825964e-5,0.454944585215544,true,true,true,true,true,1879.709021608
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,62,6.2,32,20000,1048576,4096,-1.8358888707814636,2.1664976058731216e-5,1.9727266566564333e-5,2.1664976058731216e-5,1.1800810170775376e-5,1.0985877508150539,-1.8359020029271529,6.44299540452237e-13,-1.3132145689320751e-5,2.1664976058731226e-5,-0.6061463282359987,true,true,true,true,true,1872.448026854
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,63,6.3,32,20000,1048576,4096,-1.8359117756760153,2.125817258186189e-5,2.367407335832611e-5,2.367407335832611e-5,1.2894995103786453e-5,0.9076201435739434,-1.835902002926552,1.029306604780139e-12,9.7727494632327e-6,2.3674073358326135e-5,0.4128038853016242,true,true,true,true,true,1879.441800566
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,64,6.4,32,20000,1048576,4096,-1.8358825092669733,2.123575062972384e-5,1.6273454067520923e-5,2.123575062972384e-5,1.1567053186972624e-5,1.2966396647713196,-1.8359020029270439,6.427340151611136e-13,-1.9493660070590835e-5,2.123575062972385e-5,-0.917964258033121,true,true,true,true,true,1929.860043313
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,65,6.5,32,20000,1048576,4096,-1.8359061056833887,2.1119385053976906e-5,1.8260476013948888e-5,2.1119385053976906e-5,1.1503521334014807e-5,1.1609359066937834,-1.8359020029268607,5.519962383319668e-13,4.102756528068241e-6,2.1119385053976912e-5,0.1942649616730041,true,true,true,true,true,2175.872401645
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,66,6.6,32,20000,1048576,4096,-1.8359039315671648,2.114706150740867e-5,2.1577882935416573e-5,2.1577882935416573e-5,1.175327453926048e-5,0.9715420293109139,-1.8359020029274773,3.4625080770220006e-13,1.928639687509559e-6,2.1577882935416576e-5,0.08938039441969589,true,true,true,true,true,1960.617818859
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,67,6.7,32,20000,1048576,4096,-1.8359219013310426,2.112041871376278e-5,1.96718572391808e-5,2.112041871376278e-5,1.1503985381104984e-5,1.0690626792078968,-1.8359020029275632,3.0792688785482565e-13,1.9898403479379212e-5,2.1120418713762784e-5,0.9421405772799729,true,true,true,true,true,1955.87601885
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,68,6.8,32,20000,1048576,4096,-1.835927851936404,2.063374170134988e-5,2.0238642226919694e-5,2.063374170134988e-5,1.123886305204581e-5,1.0068318255676552,-1.8359020029275492,2.5018559080845007e-13,2.584900885471697e-5,2.063374170134988e-5,1.2527543103355754,true,true,true,true,true,1946.403173295
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,69,6.9,32,20000,1048576,4096,-1.8358936084785373,2.071747002654614e-5,2.151075640297101e-5,2.151075640297101e-5,1.1716777216081518e-5,0.9606415507818412,-1.8359020029275432,2.154382913993682e-13,-8.394449005910687e-6,2.151075640297101e-5,-0.3902442503022008,true,true,true,true,true,2265.994392341
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,70,7.0,32,20000,1048576,4096,-1.8359034241523027,2.0162788840854513e-5,1.6467336988134463e-5,2.0162788840854513e-5,1.0982488825720415e-5,1.2275911805690578,-1.8359020029279216,1.171817814633751e-13,1.4212243810707292e-6,2.0162788840854513e-5,0.07048749021221694,true,true,true,true,true,1992.791381902
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,71,7.1,32,20000,1048576,4096,-1.8358878948318917,2.0553981229982366e-5,1.8496120955543975e-5,2.0553981229982366e-5,1.1195662484535554e-5,1.1158605087022295,-1.8359020029279953,9.991124583030765e-14,-1.4108096103582213e-5,2.0553981229982366e-5,-0.686392380421295,true,true,true,true,true,2020.098846905
FORMAL,PRELEARNING_BASELINE,10,10,OBC,1.0,0.5,72,7.2,32,20000,1048576,4096,-1.8359203169329366,2.0237061191167953e-5,2.0190823207032443e-5,2.0237061191167953e-5,1.1022842878592743e-5,0.9988893078879117,-1.8359020029277766,1.4612368812687994e-13,1.83140051599473e-5,2.0237061191167953e-5,0.9049735525798612,true,true,true,true,true,2292.080843749
