series,plot_record_kind,series_kind,sampling_scheme,beta0,beta,temperature,method,energy_per_site,energy_error_per_site,energy_error_available,error_definition,sse_energy_per_site_at_same_beta,sse_energy_mcse_at_same_beta,difference_from_sse,absolute_difference_from_sse,combined_statistical_error,difference_over_combined_error,contributes_to_energy_panel,specific_heat_per_site,specific_heat_error_per_site,specific_heat_error_available,specific_heat_definition,specific_heat_error_definition,specific_heat_beta_left,specific_heat_beta_right,specific_heat_temperature_left,specific_heat_temperature_right,contributes_to_specific_heat_panel,contributes_to_absolute_error_panel,number_of_bootstrap_replicates,number_of_samples,D,DSETTN,source_path
SSE,data_knot,reference,SSE,,9,0.1111111111111111,SSE,-3.1699802803463553,2.2386639750152277e-05,true,energy_final_mcse,,,,,,,true,-0.0066141722764989008,0.015287848836530966,true,SSE fluctuation estimator from input aggregate,heat_capacity_final_mcse,,,,,true,false,,,,,/Users/jxgao/project/2026-Hackathon/HarnessingQuantum-2026/QuantumMC-Methods/results/prelearning/tables/tfim-sse-l10-h3-critical-beta16-aggregate-2026-07-29.csv
SSE,data_knot,reference,SSE,,10,0.10000000000000001,SSE,-3.1699609834353737,2.1568712764459014e-05,true,energy_final_mcse,,,,,,,true,-0.024774618626195604,0.014871565121443964,true,SSE fluctuation estimator from input aggregate,heat_capacity_final_mcse,,,,,true,false,,,,,/Users/jxgao/project/2026-Hackathon/HarnessingQuantum-2026/QuantumMC-Methods/results/prelearning/tables/tfim-sse-l10-h3-critical-beta16-aggregate-2026-07-29.csv
SSE,data_knot,reference,SSE,,11,0.090909090909090912,SSE,-3.1699935445785701,2.0356766568949295e-05,true,energy_final_mcse,,,,,,,true,-0.01685951546117085,0.016351042543371268,true,SSE fluctuation estimator from input aggregate,heat_capacity_final_mcse,,,,,true,false,,,,,/Users/jxgao/project/2026-Hackathon/HarnessingQuantum-2026/QuantumMC-Methods/results/prelearning/tables/tfim-sse-l10-h3-critical-beta16-aggregate-2026-07-29.csv
SSE,data_knot,reference,SSE,,12,0.083333333333333329,SSE,-3.1699690398904976,1.9739267008127378e-05,true,energy_final_mcse,,,,,,,true,-0.0046965157126646305,0.017824149880846525,true,SSE fluctuation estimator from input aggregate,heat_capacity_final_mcse,,,,,true,false,,,,,/Users/jxgao/project/2026-Hackathon/HarnessingQuantum-2026/QuantumMC-Methods/results/prelearning/tables/tfim-sse-l10-h3-critical-beta16-aggregate-2026-07-29.csv
SSE,data_knot,reference,SSE,,13,0.076923076923076927,SSE,-3.1699980550668365,1.9000291621177575e-05,true,energy_final_mcse,,,,,,,true,-0.019013545008334142,0.019314866020962423,true,SSE fluctuation estimator from input aggregate,heat_capacity_final_mcse,,,,,true,false,,,,,/Users/jxgao/project/2026-Hackathon/HarnessingQuantum-2026/QuantumMC-Methods/results/prelearning/tables/tfim-sse-l10-h3-critical-beta16-aggregate-2026-07-29.csv
SSE,data_knot,reference,SSE,,14,0.071428571428571425,SSE,-3.1699494120053333,2.0206270432997582e-05,true,energy_final_mcse,,,,,,,true,0.0055776562738143612,0.020758726596278414,true,SSE fluctuation estimator from input aggregate,heat_capacity_final_mcse,,,,,true,false,,,,,/Users/jxgao/project/2026-Hackathon/HarnessingQuantum-2026/QuantumMC-Methods/results/prelearning/tables/tfim-sse-l10-h3-critical-beta16-aggregate-2026-07-29.csv
SSE,data_knot,reference,SSE,,15,0.066666666666666666,SSE,-3.1700175520791465,1.7887569196158749e-05,true,energy_final_mcse,,,,,,,true,-0.024926886065432811,0.023040498459290307,true,SSE fluctuation estimator from input aggregate,heat_capacity_final_mcse,,,,,true,false,,,,,/Users/jxgao/project/2026-Hackathon/HarnessingQuantum-2026/QuantumMC-Methods/results/prelearning/tables/tfim-sse-l10-h3-critical-beta16-aggregate-2026-07-29.csv
SSE,data_knot,reference,SSE,,16,0.0625,SSE,-3.1699823721448563,2.0250299964097677e-05,true,energy_final_mcse,,,,,,,true,0.0070007232459904038,0.028330061314211761,true,SSE fluctuation estimator from input aggregate,heat_capacity_final_mcse,,,,,true,false,,,,,/Users/jxgao/project/2026-Hackathon/HarnessingQuantum-2026/QuantumMC-Methods/results/prelearning/tables/tfim-sse-l10-h3-critical-beta16-aggregate-2026-07-29.csv
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,3.0517578125e-05,32768,Born-sampled stoMPS,-0.029454931523966613,0.023365786869759219,true,weighted_sample_standard_error,,,,,,,true,,,false,,,,,,,false,false,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,6.103515625e-05,16384,Born-sampled stoMPS,-0.029804395025856915,0.023364133731316662,true,weighted_sample_standard_error,,,,,,,true,,,false,,,,,,,false,false,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,0.0001220703125,8192,Born-sampled stoMPS,-0.030503259963133127,0.023360974526480449,true,weighted_sample_standard_error,,,,,,,true,,,false,,,,,,,false,false,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,0.000244140625,4096,Born-sampled stoMPS,-0.031900736976448123,0.023355244656329387,true,weighted_sample_standard_error,,,,,,,true,,,false,,,,,,,false,false,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,0.00048828125,2048,Born-sampled stoMPS,-0.034694642699430095,0.023346140902000809,true,weighted_sample_standard_error,,,,,,,true,,,false,,,,,,,false,false,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,0.0009765625,1024,Born-sampled stoMPS,-0.040277964569094722,0.023337368849082482,true,weighted_sample_standard_error,,,,,,,true,,,false,,,,,,,false,false,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,0.001953125,512,Born-sampled stoMPS,-0.051424257207108942,0.023357602973056623,true,weighted_sample_standard_error,,,,,,,true,,,false,,,,,,,false,false,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,0.00390625,256,Born-sampled stoMPS,-0.073616010250744338,0.023548408185265796,true,weighted_sample_standard_error,,,,,,,true,,,false,,,,,,,false,false,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,0.0078125,128,Born-sampled stoMPS,-0.11743836930865775,0.024503914677053769,true,weighted_sample_standard_error,,,,,,,true,,,false,,,,,,,false,false,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,0.015625,64,Born-sampled stoMPS,-0.20160857382113323,0.028144249104431873,true,weighted_sample_standard_error,,,,,,,true,,,false,,,,,,,false,false,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,0.03125,32,Born-sampled stoMPS,-0.34860451268892673,0.036267125747864337,true,weighted_sample_standard_error,,,,,,,true,,,false,,,,,,,false,false,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,0.0625,16,Born-sampled stoMPS,-0.55011333052110489,0.04091885452054897,true,weighted_sample_standard_error,,,,,,,true,,,false,,,,,,,false,false,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,0.125,8,Born-sampled stoMPS,-0.79119506116914506,0.038223352910198558,true,weighted_sample_standard_error,,,,,,,true,,,false,,,,,,,false,false,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,0.25,4,Born-sampled stoMPS,-1.3508932129161983,0.030827670567506543,true,weighted_sample_standard_error,,,,,,,true,,,false,,,,,,,false,false,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,0.5,2,Born-sampled stoMPS,-2.6395173817099415,0.01361102822414258,true,weighted_sample_standard_error,-2.9067928962707699,8.6957843385190029e-05,0.26727551456082832,0.26727551456082832,0.013611305998504778,19.636287259296715,true,,,false,,,,,,,false,true,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,1,1,Born-sampled stoMPS,-3.0949085368133034,0.0034716448367658227,true,weighted_sample_standard_error,-3.1389534854889081,5.9308109328284641e-05,0.044044948675604711,0.044044948675604711,0.0034721513971131632,12.685203966689016,true,,,false,,,,,,,false,true,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,1.5,0.66666666666666663,Born-sampled stoMPS,-3.1442847669437088,0.00092695859172716583,true,weighted_sample_standard_error,,,,,,,true,,,false,,,,,,,false,false,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,2,0.5,Born-sampled stoMPS,-3.1558374246137508,0.00073192010946933686,true,weighted_sample_standard_error,-3.1670337573687259,4.3875955397721998e-05,0.011196332754975113,0.011196332754975113,0.00073323403228960191,15.269794174737585,true,,,false,,,,,,,false,true,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,3,0.33333333333333331,Born-sampled stoMPS,-3.160439646553725,0.0013706442138469168,true,weighted_sample_standard_error,-3.1693065201441639,3.6483270651704813e-05,0.0088668735904389173,0.0088668735904389173,0.0013711296765767556,6.4668380693039076,true,,,false,,,,,,,false,true,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,4,0.25,Born-sampled stoMPS,-3.1623116443279184,0.0014703665999790208,true,weighted_sample_standard_error,-3.1698331457773445,3.8692992591750324e-05,0.0075215014494260934,0.0075215014494260934,0.0014708756188099559,5.1136216776178047,true,,,false,,,,,,,false,true,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,5,0.20000000000000001,Born-sampled stoMPS,-3.1647131270444344,0.0015110699056672791,true,weighted_sample_standard_error,-3.1699199651718346,2.9543246561417826e-05,0.0052068381274001929,0.0052068381274001929,0.0015113586811973882,3.4451372742802695,true,,,false,,,,,,,false,true,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,6,0.16666666666666666,Born-sampled stoMPS,-3.1671254148255752,0.0015500600829061243,true,weighted_sample_standard_error,-3.1699495888286267,2.6858954285257616e-05,0.0028241740030514606,0.0028241740030514606,0.0015502927672037428,1.8217036567521454,true,,,false,,,,,,,false,true,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,7,0.14285714285714285,Born-sampled stoMPS,-3.1687102904063136,0.0015486742662181002,true,weighted_sample_standard_error,-3.1699605157488882,2.5059348866873719e-05,0.0012502253425745735,0.0012502253425745735,0.0015488769976379024,0.80718181268184352,true,,,false,,,,,,,false,true,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,8,0.125,Born-sampled stoMPS,-3.1694727874059709,0.0015129659653061022,true,weighted_sample_standard_error,-3.16998120558261,2.3693167659023988e-05,0.0005084181766390472,0.0005084181766390472,0.0015131514723808533,0.33599952544016076,true,,,false,,,,,,,false,true,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,9,0.1111111111111111,Born-sampled stoMPS,-3.1697843433702992,0.0014850768904493255,true,weighted_sample_standard_error,-3.1699802803463553,2.2386639750152277e-05,0.00019593697605602145,0.00019593697605602145,0.0014852456134208714,0.13192227217202973,true,,,false,,,,,,,false,true,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,10,0.10000000000000001,Born-sampled stoMPS,-3.1699030463652353,0.0014713465991852853,true,weighted_sample_standard_error,-3.1699609834353737,2.1568712764459014e-05,5.793707013834748e-05,5.793707013834748e-05,0.0014715046803542354,0.039372671328779113,true,,,false,,,,,,,false,true,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,11,0.090909090909090912,Born-sampled stoMPS,-3.1699470871691751,0.0014303322971466609,true,weighted_sample_standard_error,-3.1699935445785701,2.0356766568949295e-05,4.6457409395017635e-05,4.6457409395017635e-05,0.0014304771505361373,0.032476862267674517,true,,,false,,,,,,,false,true,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,12,0.083333333333333329,Born-sampled stoMPS,-3.1699632790646786,0.0013375981765502958,true,weighted_sample_standard_error,-3.1699690398904976,1.9739267008127378e-05,5.7608258190455786e-06,5.7608258190455786e-06,0.0013377438172433071,0.0043063744678087396,true,,,false,,,,,,,false,true,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,13,0.076923076923076927,Born-sampled stoMPS,-3.1699692204566063,0.0012121503284899778,true,weighted_sample_standard_error,-3.1699980550668365,1.9000291621177575e-05,2.8834610230177304e-05,2.8834610230177304e-05,0.0012122992328381845,0.023785060197283894,true,,,false,,,,,,,false,true,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,14,0.071428571428571425,Born-sampled stoMPS,-3.1699714073510803,0.0010921759199205862,true,weighted_sample_standard_error,-3.1699494120053333,2.0206270432997582e-05,-2.1995345746983475e-05,2.1995345746983475e-05,0.0010923628213277813,-0.020135567887826722,true,,,false,,,,,,,false,true,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,15,0.066666666666666666,Born-sampled stoMPS,-3.169972217517218,0.0010177456142212208,true,weighted_sample_standard_error,-3.1700175520791465,1.7887569196158749e-05,4.5334561928456196e-05,4.5334561928456196e-05,0.0010179027951618352,0.04453722118058287,true,,,false,,,,,,,false,true,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
stoMPS,data_knot,born_hybrid,purification_born_sequential_v1,3.0517578125e-05,16,0.0625,Born-sampled stoMPS,-3.1699725259833031,0.00099950280423741775,true,weighted_sample_standard_error,-3.1699823721448563,2.0250299964097677e-05,9.8461615531952873e-06,9.8461615531952873e-06,0.0009997079225089185,0.0098490382355726994,true,,,false,,,,,,,false,true,,100,256,128,/Users/jxgao/project/stoMPS/example/Z2transverseIsing/data/Z2TFIM_Open_W10xL10_J1.0_h3.0_D256_DSETTN128_Dfilterexact_born_beta03.0517578125e-5_bmax16.0_tdvptol1.0e-12_filtertol1.0e-14/energy_temperature.jld2
